models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9995833333333334,0.35333333333333333,0.0,1621,30
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.99875,0.35333333333333333,0.000625,1609,30
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.99875,0.35333333333333333,0.00125,1609,30
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.99875,0.35333333333333333,0.001875,1609,30
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.9983333333333333,0.35333333333333333,0.0025416666666666665,1605,30
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9979166666666667,0.35333333333333333,0.003236111111111111,1601,30
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.9966666666666667,0.355,0.003950396825396826,1589,30
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.9966666666666667,0.355,0.00466468253968254,1589,30
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.9966666666666667,0.355,0.005378968253968254,1589,30
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9954166666666666,0.35333333333333333,0.006108134920634921,1577,30
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9954166666666666,0.35333333333333333,0.006837301587301588,1577,30
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9954166666666666,0.35333333333333333,0.007566468253968255,1577,30
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.995,0.35333333333333333,0.008307208994708996,1573,30
"DecisionTreeClassifier(ccp_alpha=0.00037499999999999995, random_state=0)",0.00037499999999999995,0.9933333333333333,0.3566666666666667,0.009807208994708995,1557,30
"DecisionTreeClassifier(ccp_alpha=0.00037499999999999995, random_state=0)",0.00037499999999999995,0.9933333333333333,0.3566666666666667,0.011307208994708995,1557,30
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.99125,0.3566666666666667,0.012057208994708996,1537,30
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.99125,0.3566666666666667,0.012807208994708996,1537,30
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.99125,0.3566666666666667,0.013557208994708997,1537,30
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.99125,0.3566666666666667,0.014307208994708998,1537,30
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.99125,0.3566666666666667,0.015057208994708998,1537,30
"DecisionTreeClassifier(ccp_alpha=0.00037878787878787884, random_state=0)",0.00037878787878787884,0.9895833333333334,0.355,0.015814784752284757,1521,30
"DecisionTreeClassifier(ccp_alpha=0.00037878787878787884, random_state=0)",0.00037878787878787884,0.9895833333333334,0.355,0.016572360509860516,1521,30
"DecisionTreeClassifier(ccp_alpha=0.00037878787878787884, random_state=0)",0.00037878787878787884,0.9895833333333334,0.355,0.017329936267436275,1521,30
"DecisionTreeClassifier(ccp_alpha=0.00037878787878787884, random_state=0)",0.00037878787878787884,0.9895833333333334,0.355,0.018087512025012034,1521,30
"DecisionTreeClassifier(ccp_alpha=0.00038194444444444446, random_state=0)",0.00038194444444444446,0.9879166666666667,0.3566666666666667,0.018851400913900924,1505,28
"DecisionTreeClassifier(ccp_alpha=0.00038194444444444446, random_state=0)",0.00038194444444444446,0.9879166666666667,0.3566666666666667,0.019615289802789815,1505,28
"DecisionTreeClassifier(ccp_alpha=0.00038194444444444446, random_state=0)",0.00038194444444444446,0.9879166666666667,0.3566666666666667,0.020379178691678705,1505,28
"DecisionTreeClassifier(ccp_alpha=0.00038194444444444446, random_state=0)",0.00038194444444444446,0.9879166666666667,0.3566666666666667,0.021143067580567595,1505,28
"DecisionTreeClassifier(ccp_alpha=0.00038461538461538445, random_state=0)",0.00038461538461538445,0.9866666666666667,0.355,0.021912298349798364,1493,28
"DecisionTreeClassifier(ccp_alpha=0.00038461538461538445, random_state=0)",0.00038461538461538445,0.9866666666666667,0.355,0.022681529119029133,1493,28
"DecisionTreeClassifier(ccp_alpha=0.00038461538461538445, random_state=0)",0.00038461538461538445,0.9866666666666667,0.355,0.0234507598882599,1493,28
"DecisionTreeClassifier(ccp_alpha=0.000386904761904762, random_state=0)",0.000386904761904762,0.985,0.355,0.024224569412069425,1477,28
"DecisionTreeClassifier(ccp_alpha=0.000386904761904762, random_state=0)",0.000386904761904762,0.985,0.355,0.02499837893587895,1477,28
"DecisionTreeClassifier(ccp_alpha=0.000386904761904762, random_state=0)",0.000386904761904762,0.985,0.355,0.025772188459688473,1477,28
"DecisionTreeClassifier(ccp_alpha=0.000386904761904762, random_state=0)",0.000386904761904762,0.985,0.355,0.026545997983497997,1477,28
"DecisionTreeClassifier(ccp_alpha=0.000390625, random_state=0)",0.000390625,0.9833333333333333,0.355,0.027327247983497997,1461,28
"DecisionTreeClassifier(ccp_alpha=0.000390625, random_state=0)",0.000390625,0.9833333333333333,0.355,0.028108497983497998,1461,28
"DecisionTreeClassifier(ccp_alpha=0.000390625, random_state=0)",0.000390625,0.9833333333333333,0.355,0.028889747983498,1461,28
"DecisionTreeClassifier(ccp_alpha=0.000390625, random_state=0)",0.000390625,0.9833333333333333,0.355,0.029670997983498,1461,28
"DecisionTreeClassifier(ccp_alpha=0.00039215686274509813, random_state=0)",0.00039215686274509813,0.9829166666666667,0.35333333333333333,0.030455311708988197,1457,28
"DecisionTreeClassifier(ccp_alpha=0.0003977272727272729, random_state=0)",0.0003977272727272729,0.9825,0.35333333333333333,0.031250766254442744,1453,28
"DecisionTreeClassifier(ccp_alpha=0.0004006410256410259, random_state=0)",0.0004006410256410259,0.9820833333333333,0.35333333333333333,0.03205204830572479,1449,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.97125,0.3566666666666667,0.03246871497239146,1397,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.97125,0.3566666666666667,0.03288538163905813,1397,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.97125,0.3566666666666667,0.03371871497239146,1397,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.97125,0.3566666666666667,0.03413538163905813,1397,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.97125,0.3566666666666667,0.0345520483057248,1397,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.97125,0.3566666666666667,0.03496871497239147,1397,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.97125,0.3566666666666667,0.03538538163905814,1397,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.97125,0.3566666666666667,0.03580204830572481,1397,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.97125,0.3566666666666667,0.03621871497239148,1397,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.97125,0.3566666666666667,0.03663538163905815,1397,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.97125,0.3566666666666667,0.03705204830572482,1397,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.97125,0.3566666666666667,0.03746871497239149,1397,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.97125,0.3566666666666667,0.037885381639058156,1397,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.97125,0.3566666666666667,0.038302048305724826,1397,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.97125,0.3566666666666667,0.038718714972391495,1397,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.97125,0.3566666666666667,0.039135381639058164,1397,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.97125,0.3566666666666667,0.039552048305724834,1397,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.97125,0.3566666666666667,0.040385381639058165,1397,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.97125,0.3566666666666667,0.040802048305724835,1397,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.97125,0.3566666666666667,0.041218714972391504,1397,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.97125,0.3566666666666667,0.041635381639058174,1397,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.97125,0.3566666666666667,0.04205204830572484,1397,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.97125,0.3566666666666667,0.04246871497239151,1397,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.97125,0.3566666666666667,0.04288538163905818,1397,28
"DecisionTreeClassifier(ccp_alpha=0.0005, random_state=0)",0.0005,0.9679166666666666,0.3566666666666667,0.04388538163905818,1381,28
"DecisionTreeClassifier(ccp_alpha=0.0005, random_state=0)",0.0005,0.9679166666666666,0.3566666666666667,0.04488538163905818,1381,28
"DecisionTreeClassifier(ccp_alpha=0.0005, random_state=0)",0.0005,0.9679166666666666,0.3566666666666667,0.045885381639058184,1381,28
"DecisionTreeClassifier(ccp_alpha=0.0005, random_state=0)",0.0005,0.9679166666666666,0.3566666666666667,0.046885381639058185,1381,28
"DecisionTreeClassifier(ccp_alpha=0.0005000000000000001, random_state=0)",0.0005000000000000001,0.9666666666666667,0.3566666666666667,0.047385381639058186,1373,28
"DecisionTreeClassifier(ccp_alpha=0.0005000000000000001, random_state=0)",0.0005000000000000001,0.9666666666666667,0.3566666666666667,0.04888538163905819,1373,28
"DecisionTreeClassifier(ccp_alpha=0.0005277777777777778, random_state=0)",0.0005277777777777778,0.9658333333333333,0.3566666666666667,0.04941315941683597,1369,28
"DecisionTreeClassifier(ccp_alpha=0.0005277777777777778, random_state=0)",0.0005277777777777778,0.9658333333333333,0.3566666666666667,0.049940937194613746,1369,28
"DecisionTreeClassifier(ccp_alpha=0.0005416666666666668, random_state=0)",0.0005416666666666668,0.9654166666666667,0.3566666666666667,0.050482603861280416,1367,28
"DecisionTreeClassifier(ccp_alpha=0.0005439814814814814, random_state=0)",0.0005439814814814814,0.9641666666666666,0.36,0.052658529787206344,1359,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.053214085342761897,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.05376964089831745,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.054325196453873,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.05488075200942855,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.055436307564984105,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.05599186312053966,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.05654741867609521,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.05710297423165076,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.057658529787206314,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.058214085342761866,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.05876964089831742,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.05932519645387297,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.05988075200942852,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.060436307564984075,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.06099186312053963,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.06321408534276185,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.06376964089831741,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.06432519645387297,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.06488075200942853,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.06543630756498409,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.06599186312053965,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.0665474186760952,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.06710297423165076,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.06765852978720632,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.06821408534276188,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.06876964089831744,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.069325196453873,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.06988075200942856,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.07099186312053966,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.07154741867609522,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.07210297423165078,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.07265852978720634,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.0732140853427619,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.07376964089831746,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.07432519645387302,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.07543630756498412,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.07599186312053968,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.07654741867609524,1233,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9375,0.35833333333333334,0.0771029742316508,1233,28
