models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.998125,0.5075,0.0,769,24
"DecisionTreeClassifier(ccp_alpha=0.00040598290598290566, random_state=0)",0.00040598290598290566,0.9975,0.51,0.001217948717948717,763,24
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333333, random_state=0)",0.0005208333333333333,0.996875,0.51,0.0022596153846153834,759,24
"DecisionTreeClassifier(ccp_alpha=0.0005357142857142858, random_state=0)",0.0005357142857142858,0.996875,0.51,0.003331043956043955,755,24
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.995,0.5075,0.004424793956043956,739,24
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.995,0.5075,0.005518543956043956,739,24
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.995,0.5075,0.006612293956043956,739,24
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.995,0.5075,0.007706043956043956,739,24
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.99375,0.5075,0.008817155067155066,731,24
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.99375,0.5075,0.009928266178266178,731,24
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.9925,0.5075,0.011074099511599511,723,24
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.9925,0.5075,0.012219932844932845,723,24
"DecisionTreeClassifier(ccp_alpha=0.000575, random_state=0)",0.000575,0.99125,0.505,0.014519932844932845,715,24
"DecisionTreeClassifier(ccp_alpha=0.000580357142857143, random_state=0)",0.000580357142857143,0.990625,0.505,0.01568064713064713,711,24
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.989375,0.5025,0.016847313797313797,703,24
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.989375,0.5025,0.018013980463980464,703,24
"DecisionTreeClassifier(ccp_alpha=0.0005859375, random_state=0)",0.0005859375,0.98875,0.5025,0.019185855463980463,699,24
"DecisionTreeClassifier(ccp_alpha=0.0005882352941176472, random_state=0)",0.0005882352941176472,0.9875,0.5075,0.02036232605221576,691,24
"DecisionTreeClassifier(ccp_alpha=0.0005882352941176472, random_state=0)",0.0005882352941176472,0.9875,0.5075,0.021538796640451052,691,24
"DecisionTreeClassifier(ccp_alpha=0.0005902777777777779, random_state=0)",0.0005902777777777779,0.986875,0.505,0.02271935219600661,687,24
"DecisionTreeClassifier(ccp_alpha=0.0005921052631578951, random_state=0)",0.0005921052631578951,0.98625,0.505,0.0239035627223224,683,24
"DecisionTreeClassifier(ccp_alpha=0.0005999999999999998, random_state=0)",0.0005999999999999998,0.985625,0.505,0.0251035627223224,679,24
"DecisionTreeClassifier(ccp_alpha=0.0006034482758620685, random_state=0)",0.0006034482758620685,0.985,0.5075,0.026310459274046537,675,24
"DecisionTreeClassifier(ccp_alpha=0.000625, random_state=0)",0.000625,0.98375,0.5075,0.027560459274046538,671,24
"DecisionTreeClassifier(ccp_alpha=0.0006510416666666666, random_state=0)",0.0006510416666666666,0.9825,0.505,0.02886254260737987,667,24
"DecisionTreeClassifier(ccp_alpha=0.0007142857142857145, random_state=0)",0.0007142857142857145,0.98125,0.505,0.031005399750237014,661,24
"DecisionTreeClassifier(ccp_alpha=0.0007371794871794873, random_state=0)",0.0007371794871794873,0.98,0.505,0.033216938211775474,655,24
"DecisionTreeClassifier(ccp_alpha=0.0007404047734236413, random_state=0)",0.0007404047734236413,0.9775,0.5075,0.03765936685231732,643,24
"DecisionTreeClassifier(ccp_alpha=0.0007407407407407407, random_state=0)",0.0007407407407407407,0.97625,0.51,0.03988158907453954,637,24
"DecisionTreeClassifier(ccp_alpha=0.0007456140350877192, random_state=0)",0.0007456140350877192,0.975,0.51,0.0421184311798027,631,24
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.97125,0.51,0.0436184311798027,619,24
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.97125,0.51,0.0451184311798027,619,24
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.97125,0.51,0.0466184311798027,619,24
"DecisionTreeClassifier(ccp_alpha=0.0007500000000000002, random_state=0)",0.0007500000000000002,0.969375,0.5125,0.051118431179802706,607,22
"DecisionTreeClassifier(ccp_alpha=0.0007692307692307689, random_state=0)",0.0007692307692307689,0.968125,0.51,0.053426123487495016,601,22
"DecisionTreeClassifier(ccp_alpha=0.0008167613636363635, random_state=0)",0.0008167613636363635,0.966875,0.51,0.05505964621476774,597,22
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.9575,0.5125,0.055892979548101074,567,22
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.9575,0.5125,0.056726312881434406,567,22
