models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9966666666666667,0.3566666666666667,0.0,1635,27
"DecisionTreeClassifier(ccp_alpha=0.0002777777777777778, random_state=0)",0.0002777777777777778,0.9970833333333333,0.3566666666666667,0.0011111111111111111,1623,27
"DecisionTreeClassifier(ccp_alpha=0.0002777777777777778, random_state=0)",0.0002777777777777778,0.9970833333333333,0.3566666666666667,0.0016666666666666666,1623,27
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.9966666666666667,0.3566666666666667,0.002333333333333333,1619,27
"DecisionTreeClassifier(ccp_alpha=0.0003472222222222222, random_state=0)",0.0003472222222222222,0.9958333333333333,0.35833333333333334,0.003722222222222222,1611,27
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9933333333333333,0.35333333333333333,0.004416666666666666,1587,27
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9933333333333333,0.35333333333333333,0.0051111111111111105,1587,27
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9933333333333333,0.35333333333333333,0.005805555555555555,1587,27
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9933333333333333,0.35333333333333333,0.0065,1587,27
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9933333333333333,0.35333333333333333,0.007194444444444444,1587,27
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9933333333333333,0.35333333333333333,0.007888888888888888,1587,27
"DecisionTreeClassifier(ccp_alpha=0.00036111111111111115, random_state=0)",0.00036111111111111115,0.9925,0.35333333333333333,0.009333333333333332,1579,26
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9916666666666667,0.35333333333333333,0.010062499999999999,1571,26
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9916666666666667,0.35333333333333333,0.010791666666666665,1571,26
"DecisionTreeClassifier(ccp_alpha=0.00036764705882352935, random_state=0)",0.00036764705882352935,0.9908333333333333,0.3516666666666667,0.012262254901960782,1563,26
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.98875,0.3516666666666667,0.013002995642701524,1545,26
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.98875,0.3516666666666667,0.013743736383442265,1545,26
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.98875,0.3516666666666667,0.014854847494553377,1545,26
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.98875,0.3516666666666667,0.015595588235294118,1545,26
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.9879166666666667,0.3516666666666667,0.01634558823529412,1537,26
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.9879166666666667,0.3516666666666667,0.01709558823529412,1537,26
"DecisionTreeClassifier(ccp_alpha=0.00037878787878787884, random_state=0)",0.00037878787878787884,0.9866666666666667,0.3516666666666667,0.01785316399286988,1525,26
"DecisionTreeClassifier(ccp_alpha=0.00037878787878787884, random_state=0)",0.00037878787878787884,0.9866666666666667,0.3516666666666667,0.018610739750445637,1525,26
"DecisionTreeClassifier(ccp_alpha=0.00037878787878787884, random_state=0)",0.00037878787878787884,0.9866666666666667,0.3516666666666667,0.019368315508021396,1525,26
"DecisionTreeClassifier(ccp_alpha=0.00038194444444444446, random_state=0)",0.00038194444444444446,0.98625,0.3516666666666667,0.020132204396910287,1521,26
"DecisionTreeClassifier(ccp_alpha=0.00038461538461538445, random_state=0)",0.00038461538461538445,0.985,0.3516666666666667,0.020901435166141055,1509,26
"DecisionTreeClassifier(ccp_alpha=0.00038461538461538445, random_state=0)",0.00038461538461538445,0.985,0.3516666666666667,0.021670665935371824,1509,26
"DecisionTreeClassifier(ccp_alpha=0.00038461538461538445, random_state=0)",0.00038461538461538445,0.985,0.3516666666666667,0.022439896704602592,1509,26
"DecisionTreeClassifier(ccp_alpha=0.000388888888888889, random_state=0)",0.000388888888888889,0.9845833333333334,0.3516666666666667,0.02321767448238037,1505,26
"DecisionTreeClassifier(ccp_alpha=0.000390625, random_state=0)",0.000390625,0.98375,0.3516666666666667,0.02399892448238037,1497,26
"DecisionTreeClassifier(ccp_alpha=0.000390625, random_state=0)",0.000390625,0.98375,0.3516666666666667,0.02478017448238037,1497,26
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9679166666666666,0.35333333333333333,0.025196841149047036,1419,26
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9679166666666666,0.35333333333333333,0.025613507815713702,1419,26
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9679166666666666,0.35333333333333333,0.026030174482380368,1419,26
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9679166666666666,0.35333333333333333,0.026446841149047034,1419,26
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9679166666666666,0.35333333333333333,0.0268635078157137,1419,26
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9679166666666666,0.35333333333333333,0.027280174482380366,1419,26
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9679166666666666,0.35333333333333333,0.02769684114904703,1419,26
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9679166666666666,0.35333333333333333,0.028113507815713697,1419,26
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9679166666666666,0.35333333333333333,0.028530174482380363,1419,26
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9679166666666666,0.35333333333333333,0.02894684114904703,1419,26
