models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,1.0,0.485,0.0,745,30
"DecisionTreeClassifier(ccp_alpha=0.0005357142857142858, random_state=0)",0.0005357142857142858,0.999375,0.485,0.0010714285714285717,741,30
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.99875,0.485,0.002165178571428572,737,30
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.996875,0.485,0.0032762896825396827,725,30
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.996875,0.485,0.004387400793650794,725,30
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.996875,0.485,0.005498511904761905,725,30
"DecisionTreeClassifier(ccp_alpha=0.000575, random_state=0)",0.000575,0.995625,0.485,0.007798511904761905,717,30
"DecisionTreeClassifier(ccp_alpha=0.0005769230769230767, random_state=0)",0.0005769230769230767,0.994375,0.485,0.008952358058608058,709,30
"DecisionTreeClassifier(ccp_alpha=0.0005769230769230767, random_state=0)",0.0005769230769230767,0.994375,0.485,0.010106204212454211,709,30
"DecisionTreeClassifier(ccp_alpha=0.0005882352941176472, random_state=0)",0.0005882352941176472,0.99375,0.485,0.011282674800689505,705,30
"DecisionTreeClassifier(ccp_alpha=0.0005937499999999999, random_state=0)",0.0005937499999999999,0.993125,0.485,0.012470174800689505,701,30
"DecisionTreeClassifier(ccp_alpha=0.0005965909090909094, random_state=0)",0.0005965909090909094,0.991875,0.485,0.013663356618871324,693,30
"DecisionTreeClassifier(ccp_alpha=0.0005965909090909094, random_state=0)",0.0005965909090909094,0.991875,0.485,0.014856538437053143,693,30
"DecisionTreeClassifier(ccp_alpha=0.0005978260869565219, random_state=0)",0.0005978260869565219,0.99125,0.4875,0.01605219061096619,689,30
"DecisionTreeClassifier(ccp_alpha=0.0006034482758620685, random_state=0)",0.0006034482758620685,0.990625,0.4875,0.017259087162690326,685,30
"DecisionTreeClassifier(ccp_alpha=0.0006163194444444444, random_state=0)",0.0006163194444444444,0.99,0.4875,0.018491726051579213,681,30
"DecisionTreeClassifier(ccp_alpha=0.0006818181818181819, random_state=0)",0.0006818181818181819,0.98875,0.4875,0.020537180597033758,675,30
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.985,0.4875,0.02203718059703376,663,30
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.985,0.4875,0.02353718059703376,663,30
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.985,0.4875,0.025037180597033762,663,30
"DecisionTreeClassifier(ccp_alpha=0.0007500000000000007, random_state=0)",0.0007500000000000007,0.985,0.4875,0.025787180597033763,661,30
"DecisionTreeClassifier(ccp_alpha=0.000777777777777778, random_state=0)",0.000777777777777778,0.98375,0.49,0.028120513930367096,655,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.975,0.4925,0.028953847263700427,627,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.975,0.4925,0.02978718059703376,627,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.975,0.4925,0.03062051393036709,627,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.975,0.4925,0.032287180597033754,627,30
