models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9985,0.192,0.0,3507,28
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.99775,0.192,0.000375,3495,28
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.99775,0.192,0.00075,3495,28
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.99775,0.192,0.0011250000000000001,3495,28
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9965,0.192,0.001525,3475,28
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9965,0.192,0.001925,3475,28
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9965,0.192,0.002325,3475,28
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9965,0.192,0.0027249999999999996,3475,28
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9965,0.192,0.0031249999999999993,3475,28
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.99575,0.192,0.003541666666666666,3463,28
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.99575,0.192,0.003958333333333333,3463,28
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.99575,0.192,0.0043749999999999995,3463,28
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.99525,0.192,0.004803571428571428,3455,28
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.99525,0.192,0.005232142857142856,3455,28
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.9935,0.192,0.005669642857142857,3427,28
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.9935,0.192,0.006107142857142857,3427,28
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.9935,0.192,0.006544642857142857,3427,28
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.9935,0.192,0.006982142857142858,3427,28
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.9935,0.192,0.007419642857142858,3427,28
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.9935,0.192,0.007857142857142858,3427,28
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.9935,0.192,0.008294642857142858,3427,28
"DecisionTreeClassifier(ccp_alpha=0.00022058823529411763, random_state=0)",0.00022058823529411763,0.99275,0.192,0.009618172268907564,3415,28
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.99075,0.19,0.01006261671335201,3383,28
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.99075,0.19,0.010507061157796455,3383,28
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.99075,0.19,0.0109515056022409,3383,28
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.99075,0.19,0.011395950046685345,3383,28
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.99075,0.19,0.01184039449112979,3383,28
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.99075,0.19,0.012284838935574235,3383,28
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.99075,0.19,0.01272928338001868,3383,28
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.99075,0.19,0.013173727824463126,3383,28
"DecisionTreeClassifier(ccp_alpha=0.00022500000000000005, random_state=0)",0.00022500000000000005,0.9905,0.19,0.013623727824463127,3379,28
"DecisionTreeClassifier(ccp_alpha=0.0002272727272727273, random_state=0)",0.0002272727272727273,0.99025,0.19,0.01407827327900858,3375,28
