         11159025653 function calls (10944996819 primitive calls) in 7676.283 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       84    0.021    0.000 5245.003   62.441 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/decision_tree_classifier/decision_tree_classifier.py:201(run_model)
       84    0.029    0.000 5206.655   61.984 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/decision_tree_classifier/decision_tree_classifier.py:185(plotter)
      336    0.006    0.000 3865.479   11.504 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/pyplot.py:1218(savefig)
      336    0.017    0.000 3865.464   11.504 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/figure.py:3232(savefig)
      336    0.023    0.000 3865.444   11.504 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:2077(print_figure)
      420    0.001    0.000 3862.630    9.197 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:2068(<lambda>)
      420    0.001    0.000 3862.628    9.197 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:449(print_png)
      420    0.023    0.000 3862.627    9.197 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:439(_print_pil)
      420    0.003    0.000 3840.018    9.143 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:93(draw_wrapper)
2955858/420    7.113    0.000 3840.015    9.143 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:54(draw_wrapper)
      420    0.028    0.000 3840.013    9.143 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/figure.py:3135(draw)
 1008/420    5.553    0.006 3839.193    9.141 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/image.py:114(_draw_list_compositing_images)
      588    0.026    0.000 3838.804    6.529 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:3044(draw)
      420    0.010    0.000 3837.901    9.138 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:380(draw)
   969708    4.057    0.000 3818.100    0.004 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:1975(draw)
       84    0.236    0.003 1909.601   22.733 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/decision_tree_classifier/decision_tree_classifier.py:92(get_best_model)
970296/969624    1.735    0.000 1862.501    0.002 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:31(draw_wrapper)
   969540    3.898    0.000 1860.480    0.002 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:4438(draw)
   969540    6.744    0.000 1798.300    0.002 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:4413(_get_path_in_displaycoord)
   969540    6.137    0.000 1720.702    0.002 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:2810(__call__)
  1939080    6.006    0.000 1700.060    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:2790(_clip)
  2908620   48.455    0.000 1693.518    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/bezier.py:351(split_path_inout)
    46184    0.268    0.000 1554.847    0.034 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/base.py:1456(wrapper)
    46184    2.061    0.000 1543.682    0.033 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_classes.py:978(fit)
93040/92368    0.726    0.000 1542.986    0.017 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/_param_validation.py:182(wrapper)
    46184 1339.362    0.029 1541.621    0.033 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_classes.py:231(_fit)
   985342   25.290    0.000 1402.205    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:734(draw)
  2719014    5.129    0.000 1362.526    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/bezier.py:316(split_bezier_intersecting_with_closedpath)
       84    0.517    0.006 1359.368   16.183 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_export.py:77(plot_tree)
       84    2.715    0.032 1358.847   16.177 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_export.py:636(export)
  2719014   53.788    0.000 1309.680    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/bezier.py:113(find_bezier_t_intersecting_with_closedpath)
 14289130   14.251    0.000 1209.688    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:2787(<lambda>)
 14289130   77.871    0.000 1195.437    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:126(contains)
  4879945  118.048    0.000  887.593    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:358(_get_layout)
  4368280   19.283    0.000  836.787    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:186(draw_text)
       84    3.148    0.037  721.528    8.590 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_export.py:671(<listcomp>)
   972396    1.870    0.000  717.737    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:644(get_window_extent)
  5233121  710.372    0.000  710.372    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
  2908956   21.585    0.000  694.670    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:556(update_bbox_position_size)
 30517424  142.397    0.000  693.830    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:4016(get_path)
   972396   28.522    0.000  680.942    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/path.py:607(get_extents)
 87568273  138.191    0.000  662.595    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/path.py:99(__init__)
  2908620   34.966    0.000  600.018    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:26(_get_textbox)
 26726630   38.893    0.000  535.922    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:65(_get_text_metrics_with_cache)
       84    0.042    0.001  521.754    6.211 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/decision_tree_classifier/decision_tree_classifier.py:20(__init__)
       84    0.059    0.001  521.712    6.211 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/parsers/readers.py:868(read_csv)
       84    0.442    0.005  521.633    6.210 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/parsers/readers.py:583(_read)
       84    0.009    0.000  520.702    6.199 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/parsers/readers.py:1907(read)
       84   33.673    0.401  517.581    6.162 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/parsers/c_parser_wrapper.py:222(read)
 75600000   68.419    0.000  481.888    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/ast.py:54(literal_eval)
  9695400   64.589    0.000  426.351    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/bezier.py:283(axis_aligned_extrema)
110927609/96638479   61.399    0.000  387.149    0.000 {built-in method builtins.any}
   837612   10.658    0.000  370.305    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/validation.py:721(check_array)
 30517424   53.481    0.000  345.687    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:2564(__call__)
   969708    9.250    0.000  335.983    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:1910(update_positions)
    92032    2.369    0.000  322.719    0.004 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/base.py:738(score)
 75600000   21.302    0.000  303.910    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/ast.py:33(parse)
 28578260   18.198    0.000  290.038    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:172(<genexpr>)
969540/84    5.911    0.000  283.577    3.376 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_export.py:687(recurse)
 75600000  278.357    0.000  278.357    0.000 {built-in method builtins.compile}
   996194    6.758    0.000  278.077    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:915(get_window_extent)
 42815623  132.373    0.000  264.750    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/bezier.py:208(__call__)
   969708    2.508    0.000  264.120    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_axes.py:749(annotate)
   969708    3.577    0.000  246.943    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:1634(__init__)
280540014/279940882  186.466    0.000  233.135    0.000 {built-in method numpy.asarray}
 33120223   28.551    0.000  223.746    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/bezier.py:226(point_at_t)
   138300    0.710    0.000  223.044    0.002 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/base.py:537(_validate_data)
 94154269  144.243    0.000  212.702    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/font_manager.py:642(__hash__)
  7756320   47.715    0.000  196.903    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/polynomial.py:172(roots)
   987080    1.493    0.000  188.722    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:104(__init__)
