         9388876558 function calls (8942252491 primitive calls) in 4283.773 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       80    4.788    0.060 1992.541   24.907 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/classification/logistic_regression/logistic_regression.py:210(calculate_shap_values)
      160    0.006    0.000 1985.970   12.412 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/npyio.py:475(save)
 10881223   10.540    0.000 1878.008    0.000 {built-in method numpy.asanyarray}
  4123920   15.908    0.000 1870.107    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/_explanation.py:285(__getitem__)
       80    0.022    0.000 1710.806   21.385 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/classification/logistic_regression/logistic_regression.py:226(plot_shap_values)
      300    0.135    0.000 1614.420    5.381 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/classification/logistic_regression/logistic_regression.py:308(plot_shap_values_one_target)
  4123920   44.626    0.000 1191.233    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer.py:102(__getitem__)
107882260/31707040   56.866    0.000  794.526    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:53(__getitem__)
  7633600   36.263    0.000  668.758    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer.py:71(_init_slicer)
14226624/10099184   10.217    0.000  655.679    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/copy.py:66(copy)
  4127440   15.340    0.000  640.891    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/_explanation.py:403(__copy__)
265926120/152677120  205.561    0.000  630.633    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer.py:148(__setattr__)
  4129760   23.904    0.000  608.319    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/_explanation.py:72(__init__)
107882260/31707040   79.570    0.000  599.291    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:576(slice)
     4240    0.280    0.000  590.397    0.139 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/figure.py:3232(savefig)
     4240    0.159    0.000  590.100    0.139 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:2077(print_figure)
      320    0.112    0.000  588.353    1.839 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/plots/_heatmap.py:11(heatmap)
     1280    0.011    0.000  563.278    0.440 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/plots/_utils.py:21(convert_ordering)
     1280    0.059    0.000  563.171    0.440 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/utils/_general.py:273(apply)
      320    0.020    0.000  562.618    1.758 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/_explanation.py:589(hclust)
