models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9975,0.38,0.0029166666666666664,603,26
"DecisionTreeClassifier(ccp_alpha=0.00027777777777777783, random_state=0)",0.00027777777777777783,0.9975,0.38,0.003472222222222222,599,26
"DecisionTreeClassifier(ccp_alpha=0.0003749999999999998, random_state=0)",0.0003749999999999998,0.9975,0.38,0.004222222222222222,595,25
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.995,0.38,0.006097222222222222,587,25
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.995,0.38,0.00797222222222222,587,25
"DecisionTreeClassifier(ccp_alpha=0.0009836805555555556, random_state=0)",0.0009836805555555556,0.9925,0.38,0.012890625,577,24
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.99125,0.37,0.014890625,573,24
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.99,0.37,0.016973958333333334,569,24
"DecisionTreeClassifier(ccp_alpha=0.0010714285714285717, random_state=0)",0.0010714285714285717,0.98875,0.375,0.019116815476190478,565,24
"DecisionTreeClassifier(ccp_alpha=0.0010795454545454543, random_state=0)",0.0010795454545454543,0.98625,0.375,0.023434997294372296,557,24
"DecisionTreeClassifier(ccp_alpha=0.00109375, random_state=0)",0.00109375,0.985,0.375,0.0256224972943723,553,24
"DecisionTreeClassifier(ccp_alpha=0.0011458333333333333, random_state=0)",0.0011458333333333333,0.9825,0.375,0.030205830627705633,545,24
"DecisionTreeClassifier(ccp_alpha=0.001171875, random_state=0)",0.001171875,0.98,0.37,0.03489333062770563,537,24
"DecisionTreeClassifier(ccp_alpha=0.0011749999999999998, random_state=0)",0.0011749999999999998,0.9775,0.37,0.039593330627705633,529,24
"DecisionTreeClassifier(ccp_alpha=0.0011764705882352944, random_state=0)",0.0011764705882352944,0.97625,0.37,0.04194627180417622,525,24
