models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9904166666666666,0.3416666666666667,0.011527777777777777,1747,32
"DecisionTreeClassifier(ccp_alpha=1.3888888888888805e-05, random_state=0)",1.3888888888888805e-05,0.9904166666666666,0.3416666666666667,0.011541666666666665,1745,32
"DecisionTreeClassifier(ccp_alpha=2.9761904761905046e-05, random_state=0)",2.9761904761905046e-05,0.9904166666666666,0.3416666666666667,0.011571428571428571,1743,32
"DecisionTreeClassifier(ccp_alpha=6.944444444444446e-05, random_state=0)",6.944444444444446e-05,0.9904166666666666,0.3416666666666667,0.011640873015873016,1741,32
"DecisionTreeClassifier(ccp_alpha=7.936507936507947e-05, random_state=0)",7.936507936507947e-05,0.9904166666666666,0.3416666666666667,0.011720238095238096,1739,32
"DecisionTreeClassifier(ccp_alpha=8.597883597883564e-05, random_state=0)",8.597883597883564e-05,0.9904166666666666,0.3416666666666667,0.011806216931216931,1737,32
"DecisionTreeClassifier(ccp_alpha=0.00013888888888888892, random_state=0)",0.00013888888888888892,0.99,0.3416666666666667,0.012083994708994709,1733,30
"DecisionTreeClassifier(ccp_alpha=0.00019444444444444435, random_state=0)",0.00019444444444444435,0.99,0.3416666666666667,0.012278439153439154,1731,30
"DecisionTreeClassifier(ccp_alpha=0.0002777777777777778, random_state=0)",0.0002777777777777778,0.9891666666666666,0.34,0.013111772486772488,1725,30
"DecisionTreeClassifier(ccp_alpha=0.0002876984126984128, random_state=0)",0.0002876984126984128,0.9883333333333333,0.3416666666666667,0.013974867724867727,1719,30
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9879166666666667,0.3416666666666667,0.014599867724867727,1715,30
"DecisionTreeClassifier(ccp_alpha=0.00032986111111111107, random_state=0)",0.00032986111111111107,0.9870833333333333,0.3416666666666667,0.015259589947089949,1711,29
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.9858333333333333,0.34,0.015926256613756615,1699,29
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.9858333333333333,0.34,0.01659292328042328,1699,29
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.9858333333333333,0.34,0.017259589947089947,1699,29
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9833333333333333,0.34,0.017954034391534392,1675,29
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9833333333333333,0.34,0.018648478835978838,1675,29
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9833333333333333,0.34,0.019342923280423283,1675,29
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9833333333333333,0.34,0.02003736772486773,1675,29
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9833333333333333,0.34,0.020731812169312174,1675,29
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9833333333333333,0.34,0.02142625661375662,1675,29
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.98125,0.3433333333333333,0.022140542328042336,1655,29
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.98125,0.3433333333333333,0.02285482804232805,1655,29
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.98125,0.3433333333333333,0.023569113756613767,1655,29
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.98125,0.3433333333333333,0.024283399470899483,1655,29
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.98125,0.3433333333333333,0.0249976851851852,1655,29
"DecisionTreeClassifier(ccp_alpha=0.0003603825224760173, random_state=0)",0.0003603825224760173,0.9795833333333334,0.3416666666666667,0.026078832752613253,1649,27
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9766666666666667,0.3416666666666667,0.02680799941927992,1621,27
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9766666666666667,0.3416666666666667,0.027537166085946585,1621,27
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9766666666666667,0.3416666666666667,0.02826633275261325,1621,27
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9766666666666667,0.3416666666666667,0.028995499419279917,1621,27
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9766666666666667,0.3416666666666667,0.029724666085946583,1621,27
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9766666666666667,0.3416666666666667,0.03045383275261325,1621,27
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9766666666666667,0.3416666666666667,0.031182999419279916,1621,27
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9733333333333334,0.3416666666666667,0.0326644809007614,1589,27
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9733333333333334,0.3416666666666667,0.03340522164150214,1589,27
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9733333333333334,0.3416666666666667,0.034145962382242885,1589,27
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9733333333333334,0.3416666666666667,0.03488670312298363,1589,27
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9733333333333334,0.3416666666666667,0.03562744386372437,1589,27
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9733333333333334,0.3416666666666667,0.036368184604465115,1589,27
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9733333333333334,0.3416666666666667,0.03710892534520586,1589,27
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.9708333333333333,0.3433333333333333,0.03785892534520586,1565,27
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.9708333333333333,0.3433333333333333,0.03860892534520586,1565,27
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.9708333333333333,0.3433333333333333,0.03935892534520586,1565,27
