models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.99875,0.5025,0.0014583333333333332,825,27
"DecisionTreeClassifier(ccp_alpha=4.166666666666685e-05, random_state=0)",4.166666666666685e-05,0.99875,0.5025,0.0015,823,26
"DecisionTreeClassifier(ccp_alpha=0.0003749999999999999, random_state=0)",0.0003749999999999999,0.99875,0.5025,0.001875,821,26
"DecisionTreeClassifier(ccp_alpha=0.00048611111111111104, random_state=0)",0.00048611111111111104,0.9975,0.4975,0.003819444444444444,813,26
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333333, random_state=0)",0.0005208333333333333,0.996875,0.4925,0.00486111111111111,809,26
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.99625,0.4925,0.00595486111111111,805,26
"DecisionTreeClassifier(ccp_alpha=0.000551470588235294, random_state=0)",0.000551470588235294,0.995,0.4925,0.008160743464052286,797,26
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.994375,0.4925,0.009271854575163397,793,26
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.990625,0.4925,0.010396854575163398,769,26
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.990625,0.4925,0.0115218545751634,769,26
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.990625,0.4925,0.0126468545751634,769,26
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.990625,0.4925,0.013771854575163401,769,26
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.990625,0.4925,0.014896854575163402,769,26
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.990625,0.4925,0.0160218545751634,769,26
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818183, random_state=0)",0.0005681818181818183,0.989375,0.495,0.018294581847890675,761,26
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.98875,0.495,0.019440415181224007,757,26
"DecisionTreeClassifier(ccp_alpha=0.0005769230769230767, random_state=0)",0.0005769230769230767,0.988125,0.4925,0.02059426133507016,753,26
"DecisionTreeClassifier(ccp_alpha=0.000580357142857143, random_state=0)",0.000580357142857143,0.985625,0.4925,0.021754975620784447,737,26
"DecisionTreeClassifier(ccp_alpha=0.000580357142857143, random_state=0)",0.000580357142857143,0.985625,0.4925,0.022915689906498733,737,26
"DecisionTreeClassifier(ccp_alpha=0.000580357142857143, random_state=0)",0.000580357142857143,0.985625,0.4925,0.02407640419221302,737,26
"DecisionTreeClassifier(ccp_alpha=0.000580357142857143, random_state=0)",0.000580357142857143,0.985625,0.4925,0.025237118477927305,737,26
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.984375,0.49,0.02640378514459397,729,26
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.984375,0.49,0.027570451811260638,729,26
"DecisionTreeClassifier(ccp_alpha=0.0005882352941176472, random_state=0)",0.0005882352941176472,0.98375,0.4875,0.02874692239949593,725,26
"DecisionTreeClassifier(ccp_alpha=0.0005921052631578951, random_state=0)",0.0005921052631578951,0.983125,0.4875,0.02993113292581172,721,26
"DecisionTreeClassifier(ccp_alpha=0.0005965909090909094, random_state=0)",0.0005965909090909094,0.9825,0.4925,0.03112431474399354,717,26
"DecisionTreeClassifier(ccp_alpha=0.0005978260869565219, random_state=0)",0.0005978260869565219,0.981875,0.4925,0.03231996691790658,713,26
"DecisionTreeClassifier(ccp_alpha=0.0006000000000000001, random_state=0)",0.0006000000000000001,0.979375,0.495,0.036519966917906585,699,26
"DecisionTreeClassifier(ccp_alpha=0.000625, random_state=0)",0.000625,0.97875,0.4975,0.037144966917906586,697,26
"DecisionTreeClassifier(ccp_alpha=0.0007183441558441557, random_state=0)",0.0007183441558441557,0.9775,0.4975,0.03929999938543905,691,26
"DecisionTreeClassifier(ccp_alpha=0.0007407407407407407, random_state=0)",0.0007407407407407407,0.97625,0.495,0.041522221607661274,685,26
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.975,0.495,0.043022221607661275,681,26
"DecisionTreeClassifier(ccp_alpha=0.0007500000000000002, random_state=0)",0.0007500000000000002,0.97375,0.4925,0.04527222160766128,675,26
"DecisionTreeClassifier(ccp_alpha=0.0007716049382716049, random_state=0)",0.0007716049382716049,0.9725,0.495,0.047587036422476095,669,26
"DecisionTreeClassifier(ccp_alpha=0.0007894736842105264, random_state=0)",0.0007894736842105264,0.970625,0.4925,0.0507449311593182,661,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.953125,0.4925,0.05157826449265153,605,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.953125,0.4925,0.05324493115931819,605,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.953125,0.4925,0.054078264492651525,605,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.953125,0.4925,0.05574493115931819,605,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.953125,0.4925,0.05657826449265152,605,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.953125,0.4925,0.05741159782598485,605,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.953125,0.4925,0.059078264492651515,605,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.953125,0.4925,0.05991159782598485,605,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.953125,0.4925,0.06074493115931818,605,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.953125,0.4925,0.06241159782598484,605,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.953125,0.4925,0.06324493115931817,605,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.953125,0.4925,0.06407826449265151,605,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.953125,0.4925,0.06574493115931818,605,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.953125,0.4925,0.06657826449265151,605,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.953125,0.4925,0.06741159782598485,605,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.953125,0.4925,0.06824493115931819,605,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.953125,0.4925,0.06907826449265153,605,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.953125,0.4925,0.06991159782598487,605,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.953125,0.4925,0.07074493115931821,605,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.953125,0.4925,0.07157826449265155,605,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.953125,0.4925,0.07241159782598489,605,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.953125,0.4925,0.07407826449265155,605,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333335, random_state=0)",0.0008333333333333335,0.951875,0.4875,0.07491159782598489,603,26
"DecisionTreeClassifier(ccp_alpha=0.0008437499999999999, random_state=0)",0.0008437499999999999,0.95125,0.485,0.07575534782598489,601,26
"DecisionTreeClassifier(ccp_alpha=0.0008437500000000001, random_state=0)",0.0008437500000000001,0.94875,0.4925,0.0791303478259849,593,24
"DecisionTreeClassifier(ccp_alpha=0.0008480769230769236, random_state=0)",0.0008480769230769236,0.948125,0.49,0.07997842474906182,591,24
"DecisionTreeClassifier(ccp_alpha=0.0008653846153846155, random_state=0)",0.0008653846153846155,0.94625,0.4875,0.08257457859521566,585,24
"DecisionTreeClassifier(ccp_alpha=0.0009077380952380952, random_state=0)",0.0009077380952380952,0.945,0.48,0.08529779288092995,579,24
"DecisionTreeClassifier(ccp_alpha=0.0009204545454545453, random_state=0)",0.0009204545454545453,0.943125,0.48,0.0862182474263845,573,24
"DecisionTreeClassifier(ccp_alpha=0.0009204545454545453, random_state=0)",0.0009204545454545453,0.943125,0.48,0.08713870197183904,573,24
"DecisionTreeClassifier(ccp_alpha=0.0009204545454545453, random_state=0)",0.0009204545454545453,0.943125,0.48,0.08805915651729358,573,24
"DecisionTreeClassifier(ccp_alpha=0.0009262820512820511, random_state=0)",0.0009262820512820511,0.9425,0.4825,0.08898543856857563,571,24
"DecisionTreeClassifier(ccp_alpha=0.0009356725146198834, random_state=0)",0.0009356725146198834,0.941875,0.4825,0.08992111108319552,569,24
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.935,0.4775,0.09085861108319551,549,24
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.935,0.4775,0.0917961110831955,549,24
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.935,0.4775,0.0927336110831955,549,24
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.935,0.4775,0.0936711110831955,549,24
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.935,0.4775,0.09648361108319549,549,24
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.935,0.4775,0.09835861108319549,549,24
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.935,0.4775,0.09929611108319548,549,24
"DecisionTreeClassifier(ccp_alpha=0.0009444444444444445, random_state=0)",0.0009444444444444445,0.933125,0.475,0.10212944441652883,543,24
"DecisionTreeClassifier(ccp_alpha=0.0009523809523809524, random_state=0)",0.0009523809523809524,0.93125,0.475,0.10308182536890978,537,24
"DecisionTreeClassifier(ccp_alpha=0.0009523809523809524, random_state=0)",0.0009523809523809524,0.93125,0.475,0.10403420632129073,537,24
"DecisionTreeClassifier(ccp_alpha=0.0009523809523809524, random_state=0)",0.0009523809523809524,0.93125,0.475,0.10498658727367169,537,24
"DecisionTreeClassifier(ccp_alpha=0.0009532563025210087, random_state=0)",0.0009532563025210087,0.93125,0.4775,0.1059398435761927,535,24
"DecisionTreeClassifier(ccp_alpha=0.0009642857142857144, random_state=0)",0.0009642857142857144,0.930625,0.4775,0.1069041292904784,533,24
"DecisionTreeClassifier(ccp_alpha=0.0009735576923076924, random_state=0)",0.0009735576923076924,0.929375,0.475,0.10885124467509379,529,24
"DecisionTreeClassifier(ccp_alpha=0.0009736842105263163, random_state=0)",0.0009736842105263163,0.928125,0.475,0.11079861309614641,525,24
"DecisionTreeClassifier(ccp_alpha=0.0009821428571428572, random_state=0)",0.0009821428571428572,0.926875,0.4725,0.11276289881043212,521,24
"DecisionTreeClassifier(ccp_alpha=0.000986149267399268, random_state=0)",0.000986149267399268,0.92625,0.4725,0.11473519734523066,517,24
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.924375,0.475,0.11573519734523066,511,24
