models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.99375,0.255,0.00625,713,27
"DecisionTreeClassifier(ccp_alpha=0.0005357142857142856, random_state=0)",0.0005357142857142856,0.99375,0.255,0.007321428571428572,709,26
"DecisionTreeClassifier(ccp_alpha=0.0007499999999999996, random_state=0)",0.0007499999999999996,0.99375,0.255,0.008071428571428571,707,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.99125,0.255,0.009738095238095238,699,26
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.99125,0.255,0.011404761904761905,699,26
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.99,0.255,0.013279761904761905,695,26
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.98875,0.255,0.015279761904761905,691,26
"DecisionTreeClassifier(ccp_alpha=0.0010173160173160174, random_state=0)",0.0010173160173160174,0.9875,0.26,0.017314393939393942,687,26
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.985,0.26,0.019397727272727275,679,26
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.985,0.26,0.021481060606060608,679,26
"DecisionTreeClassifier(ccp_alpha=0.0010714285714285717, random_state=0)",0.0010714285714285717,0.98125,0.26,0.023623917748917752,667,26
"DecisionTreeClassifier(ccp_alpha=0.0010714285714285717, random_state=0)",0.0010714285714285717,0.98125,0.26,0.025766774891774896,667,26
"DecisionTreeClassifier(ccp_alpha=0.0010714285714285717, random_state=0)",0.0010714285714285717,0.98125,0.26,0.02790963203463204,667,26
"DecisionTreeClassifier(ccp_alpha=0.00109375, random_state=0)",0.00109375,0.97875,0.26,0.03009713203463204,659,26
"DecisionTreeClassifier(ccp_alpha=0.00109375, random_state=0)",0.00109375,0.97875,0.26,0.03228463203463204,659,26
"DecisionTreeClassifier(ccp_alpha=0.0011111111111111111, random_state=0)",0.0011111111111111111,0.9775,0.26,0.034506854256854264,655,26
"DecisionTreeClassifier(ccp_alpha=0.0011250000000000003, random_state=0)",0.0011250000000000003,0.97375,0.265,0.036756854256854266,643,26
"DecisionTreeClassifier(ccp_alpha=0.0011250000000000003, random_state=0)",0.0011250000000000003,0.97375,0.265,0.04125685425685427,643,26
"DecisionTreeClassifier(ccp_alpha=0.0011328125, random_state=0)",0.0011328125,0.97125,0.265,0.04578810425685427,635,26
"DecisionTreeClassifier(ccp_alpha=0.0011363636363636365, random_state=0)",0.0011363636363636365,0.97,0.265,0.048060831529581544,631,26
"DecisionTreeClassifier(ccp_alpha=0.0012391774891774877, random_state=0)",0.0012391774891774877,0.96875,0.265,0.04930000901875903,629,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94,0.28,0.05055000901875903,583,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94,0.28,0.05180000901875903,583,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94,0.28,0.05305000901875903,583,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94,0.28,0.05430000901875903,583,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94,0.28,0.05555000901875903,583,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94,0.28,0.056800009018759035,583,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94,0.28,0.058050009018759036,583,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94,0.28,0.05930000901875904,583,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94,0.28,0.06055000901875904,583,26
