models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9895833333333334,0.3283333333333333,0.012291666666666666,1717,39
"DecisionTreeClassifier(ccp_alpha=1.3888888888888805e-05, random_state=0)",1.3888888888888805e-05,0.9895833333333334,0.3283333333333333,0.012305555555555556,1715,38
"DecisionTreeClassifier(ccp_alpha=4.48717948717944e-05, random_state=0)",4.48717948717944e-05,0.9895833333333334,0.3283333333333333,0.012350427350427351,1713,38
"DecisionTreeClassifier(ccp_alpha=6.944444444444446e-05, random_state=0)",6.944444444444446e-05,0.9895833333333334,0.3283333333333333,0.012419871794871796,1709,38
"DecisionTreeClassifier(ccp_alpha=6.944444444444446e-05, random_state=0)",6.944444444444446e-05,0.9895833333333334,0.3283333333333333,0.01248931623931624,1709,38
"DecisionTreeClassifier(ccp_alpha=8.333333333333326e-05, random_state=0)",8.333333333333326e-05,0.9895833333333334,0.3283333333333333,0.012572649572649574,1707,38
"DecisionTreeClassifier(ccp_alpha=0.00013888888888888886, random_state=0)",0.00013888888888888886,0.9895833333333334,0.3283333333333333,0.012711538461538462,1705,37
"DecisionTreeClassifier(ccp_alpha=0.00017129629629629613, random_state=0)",0.00017129629629629613,0.9895833333333334,0.3283333333333333,0.012882834757834758,1703,37
"DecisionTreeClassifier(ccp_alpha=0.0002093225704336814, random_state=0)",0.0002093225704336814,0.98875,0.32666666666666666,0.013510802469135802,1697,37
"DecisionTreeClassifier(ccp_alpha=0.00021885521885521867, random_state=0)",0.00021885521885521867,0.98875,0.32666666666666666,0.013729657687991021,1695,37
"DecisionTreeClassifier(ccp_alpha=0.00030303030303030287, random_state=0)",0.00030303030303030287,0.98875,0.32666666666666666,0.014335718294051628,1691,37
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9875,0.325,0.014960718294051628,1679,37
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9875,0.325,0.015585718294051629,1679,37
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9875,0.325,0.01621071829405163,1679,37
"DecisionTreeClassifier(ccp_alpha=0.00031275720164609076, random_state=0)",0.00031275720164609076,0.98625,0.325,0.0171489898989899,1673,37
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.9854166666666667,0.3233333333333333,0.017815656565656566,1665,37
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.9854166666666667,0.3233333333333333,0.018482323232323232,1665,37
"DecisionTreeClassifier(ccp_alpha=0.0003472222222222222, random_state=0)",0.0003472222222222222,0.9845833333333334,0.325,0.01987121212121212,1657,37
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9825,0.32666666666666666,0.020565656565656565,1637,37
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9825,0.32666666666666666,0.02126010101010101,1637,37
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9825,0.32666666666666666,0.021954545454545456,1637,37
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9825,0.32666666666666666,0.0226489898989899,1637,37
