models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9995,0.8645,0.0008696581196581196,1413,44
"DecisionTreeClassifier(ccp_alpha=1.3736263736265119e-06, random_state=0)",1.3736263736265119e-06,0.9995,0.8645,0.0008710317460317461,1411,44
"DecisionTreeClassifier(ccp_alpha=2.7777777777778423e-06, random_state=0)",2.7777777777778423e-06,0.9995,0.8645,0.000873809523809524,1409,44
"DecisionTreeClassifier(ccp_alpha=5.769230769230634e-06, random_state=0)",5.769230769230634e-06,0.9995,0.8645,0.0008795787545787546,1407,44
"DecisionTreeClassifier(ccp_alpha=6.978400040326562e-06, random_state=0)",6.978400040326562e-06,0.9995,0.8645,0.0009074923547400609,1399,44
"DecisionTreeClassifier(ccp_alpha=2.0833333333333316e-05, random_state=0)",2.0833333333333316e-05,0.9995,0.8645,0.0009283256880733942,1397,44
"DecisionTreeClassifier(ccp_alpha=7.264762881387014e-05, random_state=0)",7.264762881387014e-05,0.999,0.865,0.001945392491467576,1369,44
"DecisionTreeClassifier(ccp_alpha=7.954545454545458e-05, random_state=0)",7.954545454545458e-05,0.998875,0.865,0.0021840288551039397,1363,44
"DecisionTreeClassifier(ccp_alpha=8.064516129032253e-05, random_state=0)",8.064516129032253e-05,0.99875,0.865,0.0024259643389749072,1357,44
"DecisionTreeClassifier(ccp_alpha=8.244680851063839e-05, random_state=0)",8.244680851063839e-05,0.998625,0.865,0.0026733047645068225,1351,44
"DecisionTreeClassifier(ccp_alpha=8.29646017699115e-05, random_state=0)",8.29646017699115e-05,0.9985,0.865,0.0029221985698165568,1345,44
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.998375,0.865,0.0030888652364832233,1341,44
"DecisionTreeClassifier(ccp_alpha=9.374999999999999e-05, random_state=0)",9.374999999999999e-05,0.998,0.865,0.0036513652364832234,1329,44
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.99775,0.865,0.0038388652364832235,1321,44
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.99775,0.865,0.004026365236483223,1321,44
"DecisionTreeClassifier(ccp_alpha=9.775641025641035e-05, random_state=0)",9.775641025641035e-05,0.997625,0.865,0.004319634467252455,1315,44
"DecisionTreeClassifier(ccp_alpha=9.870129870129863e-05, random_state=0)",9.870129870129863e-05,0.997375,0.866,0.004813140960758948,1305,44
"DecisionTreeClassifier(ccp_alpha=9.933110367893008e-05, random_state=0)",9.933110367893008e-05,0.997125,0.8655,0.005309796479153598,1295,44
