models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.98875,0.196,0.01292101370851371,3807,38
"DecisionTreeClassifier(ccp_alpha=2.0833333333333343e-05, random_state=0)",2.0833333333333343e-05,0.98875,0.196,0.012962680375180377,3803,38
"DecisionTreeClassifier(ccp_alpha=8.333333333333332e-05, random_state=0)",8.333333333333332e-05,0.98875,0.196,0.01304601370851371,3801,38
"DecisionTreeClassifier(ccp_alpha=9.395424836601306e-05, random_state=0)",9.395424836601306e-05,0.98875,0.196,0.01332787645361175,3795,38
"DecisionTreeClassifier(ccp_alpha=0.00011038961038960997, random_state=0)",0.00011038961038960997,0.9885,0.198,0.01354865567439097,3791,36
"DecisionTreeClassifier(ccp_alpha=0.0001240740740740739, random_state=0)",0.0001240740740740739,0.98825,0.198,0.013920877896613192,3785,36
"DecisionTreeClassifier(ccp_alpha=0.0001296296296296297, random_state=0)",0.0001296296296296297,0.988,0.198,0.014309766785502082,3779,36
"DecisionTreeClassifier(ccp_alpha=0.00014182692307692312, random_state=0)",0.00014182692307692312,0.988,0.199,0.014593420631655928,3775,36
"DecisionTreeClassifier(ccp_alpha=0.00014583333333333335, random_state=0)",0.00014583333333333335,0.98775,0.199,0.015030920631655929,3769,36
"DecisionTreeClassifier(ccp_alpha=0.00014999999999999985, random_state=0)",0.00014999999999999985,0.98775,0.198,0.015180920631655928,3767,36
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.98675,0.198,0.01551425396498926,3751,36
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.98675,0.198,0.015847587298322596,3751,36
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.98675,0.198,0.01618092063165593,3751,36
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.98675,0.198,0.016514253964989265,3751,36
"DecisionTreeClassifier(ccp_alpha=0.00016862745098039254, random_state=0)",0.00016862745098039254,0.98675,0.198,0.016682881415969658,3749,36
"DecisionTreeClassifier(ccp_alpha=0.00017051282051281985, random_state=0)",0.00017051282051281985,0.9865,0.197,0.016853394236482477,3747,36
"DecisionTreeClassifier(ccp_alpha=0.00017094861660079015, random_state=0)",0.00017094861660079015,0.98625,0.197,0.01702434285308327,3745,35
"DecisionTreeClassifier(ccp_alpha=0.00017613224637681168, random_state=0)",0.00017613224637681168,0.9855,0.193,0.017905004084967327,3735,35
"DecisionTreeClassifier(ccp_alpha=0.00018333333333333342, random_state=0)",0.00018333333333333342,0.98525,0.193,0.01808833741830066,3733,35
"DecisionTreeClassifier(ccp_alpha=0.00018373015873015847, random_state=0)",0.00018373015873015847,0.9845,0.196,0.018823258053221294,3725,35
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.9825,0.196,0.019198258053221295,3693,35
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.9825,0.196,0.019573258053221295,3693,35
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.9825,0.196,0.019948258053221295,3693,35
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.9825,0.196,0.020323258053221296,3693,35
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.9825,0.196,0.020698258053221296,3693,35
