models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9886003799873337,0.13164556962025317,0.012032932235592144,1687,32
"DecisionTreeClassifier(ccp_alpha=0.00021110407430863405, random_state=0)",0.00021110407430863405,0.9886003799873337,0.13164556962025317,0.012244036309900778,1683,32
"DecisionTreeClassifier(ccp_alpha=0.00021110407430863405, random_state=0)",0.00021110407430863405,0.9886003799873337,0.13164556962025317,0.012455140384209413,1683,32
"DecisionTreeClassifier(ccp_alpha=0.00021110407430863449, random_state=0)",0.00021110407430863449,0.9886003799873337,0.13164556962025317,0.012666244458518047,1681,32
"DecisionTreeClassifier(ccp_alpha=0.00035184012384772365, random_state=0)",0.00035184012384772365,0.9879670677644079,0.13164556962025317,0.013721764830061217,1675,32
"DecisionTreeClassifier(ccp_alpha=0.0003694321300401096, random_state=0)",0.0003694321300401096,0.9879670677644079,0.13164556962025317,0.014091196960101327,1673,32
"DecisionTreeClassifier(ccp_alpha=0.0003799873337555419, random_state=0)",0.0003799873337555419,0.987333755541482,0.1341772151898734,0.01485117162761241,1669,32
"DecisionTreeClassifier(ccp_alpha=0.00042220814861726827, random_state=0)",0.00042220814861726827,0.9854338188727042,0.1341772151898734,0.015695587924846946,1657,30
"DecisionTreeClassifier(ccp_alpha=0.00042220814861726827, random_state=0)",0.00042220814861726827,0.9854338188727042,0.1341772151898734,0.016540004222081482,1657,30
"DecisionTreeClassifier(ccp_alpha=0.00042220814861726827, random_state=0)",0.00042220814861726827,0.9854338188727042,0.1341772151898734,0.01738442051931602,1657,30
"DecisionTreeClassifier(ccp_alpha=0.0004485961579058476, random_state=0)",0.0004485961579058476,0.9848005066497784,0.1341772151898734,0.018281612835127713,1653,30
"DecisionTreeClassifier(ccp_alpha=0.00047498416719442683, random_state=0)",0.00047498416719442683,0.9835338822039266,0.1341772151898734,0.019231581169516565,1645,30
