models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.99625,0.3233333333333333,0.002638888888888889,1729,37
"DecisionTreeClassifier(ccp_alpha=0.00013888888888888886, random_state=0)",0.00013888888888888886,0.9958333333333333,0.3233333333333333,0.002777777777777778,1719,37
"DecisionTreeClassifier(ccp_alpha=0.00013888888888888886, random_state=0)",0.00013888888888888886,0.9958333333333333,0.3233333333333333,0.002916666666666667,1719,37
"DecisionTreeClassifier(ccp_alpha=0.00013888888888888886, random_state=0)",0.00013888888888888886,0.9958333333333333,0.3233333333333333,0.0030555555555555557,1719,37
"DecisionTreeClassifier(ccp_alpha=0.00013888888888888886, random_state=0)",0.00013888888888888886,0.9958333333333333,0.3233333333333333,0.0031944444444444446,1719,37
"DecisionTreeClassifier(ccp_alpha=0.00013888888888888886, random_state=0)",0.00013888888888888886,0.9958333333333333,0.3233333333333333,0.0033333333333333335,1719,37
"DecisionTreeClassifier(ccp_alpha=0.000150462962962963, random_state=0)",0.000150462962962963,0.9954166666666666,0.3233333333333333,0.0037847222222222223,1713,37
"DecisionTreeClassifier(ccp_alpha=0.0002777777777777778, random_state=0)",0.0002777777777777778,0.99375,0.3233333333333333,0.004340277777777778,1699,37
"DecisionTreeClassifier(ccp_alpha=0.0002777777777777778, random_state=0)",0.0002777777777777778,0.99375,0.3233333333333333,0.004895833333333334,1699,37
"DecisionTreeClassifier(ccp_alpha=0.0002777777777777778, random_state=0)",0.0002777777777777778,0.99375,0.3233333333333333,0.005729166666666667,1699,37
"DecisionTreeClassifier(ccp_alpha=0.00027777777777777783, random_state=0)",0.00027777777777777783,0.9933333333333333,0.3233333333333333,0.006006944444444445,1695,37
"DecisionTreeClassifier(ccp_alpha=0.00027777777777777783, random_state=0)",0.00027777777777777783,0.9933333333333333,0.3233333333333333,0.006284722222222223,1695,37
"DecisionTreeClassifier(ccp_alpha=0.0003055555555555556, random_state=0)",0.0003055555555555556,0.9929166666666667,0.325,0.006895833333333334,1691,37
"DecisionTreeClassifier(ccp_alpha=0.00032118055555555546, random_state=0)",0.00032118055555555546,0.9916666666666667,0.325,0.008180555555555555,1683,37
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.99,0.325,0.008847222222222222,1667,37
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.99,0.325,0.009513888888888888,1667,37
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.99,0.325,0.010180555555555554,1667,37
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.99,0.325,0.01084722222222222,1667,37
"DecisionTreeClassifier(ccp_alpha=0.0003385416666666667, random_state=0)",0.0003385416666666667,0.9891666666666666,0.3233333333333333,0.012201388888888887,1659,37
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9875,0.32166666666666666,0.01289583333333333,1647,37
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9875,0.32166666666666666,0.013590277777777774,1647,37
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9875,0.32166666666666666,0.014284722222222218,1647,37
"DecisionTreeClassifier(ccp_alpha=0.00035256410256410254, random_state=0)",0.00035256410256410254,0.9866666666666667,0.3233333333333333,0.015694978632478627,1639,37
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.985,0.3233333333333333,0.016409264346764343,1623,37
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.985,0.3233333333333333,0.01712355006105006,1623,37
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.985,0.3233333333333333,0.017837835775335775,1623,37
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.985,0.3233333333333333,0.01855212148962149,1623,37
"DecisionTreeClassifier(ccp_alpha=0.0003598484848484848, random_state=0)",0.0003598484848484848,0.9841666666666666,0.3233333333333333,0.01999151542901543,1615,37
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9816666666666667,0.3283333333333333,0.020720682095682095,1591,36
