models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.999375,0.874,0.001115493881118881,1457,49
"DecisionTreeClassifier(ccp_alpha=1.3736263736265119e-06, random_state=0)",1.3736263736265119e-06,0.999375,0.874,0.0011168675074925073,1455,49
"DecisionTreeClassifier(ccp_alpha=1.736111111111182e-06, random_state=0)",1.736111111111182e-06,0.999375,0.874,0.0011186036186036185,1453,48
"DecisionTreeClassifier(ccp_alpha=4.789272030651488e-06, random_state=0)",4.789272030651488e-06,0.999375,0.874,0.0011281821626649216,1449,47
"DecisionTreeClassifier(ccp_alpha=5.389317889317547e-06, random_state=0)",5.389317889317547e-06,0.999375,0.874,0.0011443501163328742,1443,47
"DecisionTreeClassifier(ccp_alpha=5.90034965034967e-06, random_state=0)",5.90034965034967e-06,0.999375,0.874,0.001150250465983224,1441,46
"DecisionTreeClassifier(ccp_alpha=3.578513930120971e-05, random_state=0)",3.578513930120971e-05,0.999375,0.874,0.0012218207445856433,1437,46
"DecisionTreeClassifier(ccp_alpha=7.870370370370373e-05, random_state=0)",7.870370370370373e-05,0.99925,0.8745,0.0014579318556967545,1431,46
"DecisionTreeClassifier(ccp_alpha=7.92233968162564e-05, random_state=0)",7.92233968162564e-05,0.999125,0.875,0.0016956020461455236,1425,45
"DecisionTreeClassifier(ccp_alpha=8.119658119658112e-05, random_state=0)",8.119658119658112e-05,0.999,0.875,0.001939191789735267,1419,45
"DecisionTreeClassifier(ccp_alpha=8.194444444444449e-05, random_state=0)",8.194444444444449e-05,0.998875,0.875,0.0021850251230686006,1413,45
"DecisionTreeClassifier(ccp_alpha=8.223684210526316e-05, random_state=0)",8.223684210526316e-05,0.998625,0.875,0.0026784461757001794,1401,45
"DecisionTreeClassifier(ccp_alpha=8.243727598566322e-05, random_state=0)",8.243727598566322e-05,0.998375,0.875,0.0031730698316141588,1389,45
"DecisionTreeClassifier(ccp_alpha=8.247422680412378e-05, random_state=0)",8.247422680412378e-05,0.99825,0.875,0.00342049251202653,1383,45
"DecisionTreeClassifier(ccp_alpha=8.250000000000016e-05, random_state=0)",8.250000000000016e-05,0.998125,0.8755,0.0036679925120265302,1377,45
"DecisionTreeClassifier(ccp_alpha=8.29081632653062e-05, random_state=0)",8.29081632653062e-05,0.998,0.876,0.0039167170018224486,1371,45
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9975,0.878,0.004166717001822449,1357,45
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9975,0.878,0.004333383668489115,1357,45
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9975,0.878,0.004500050335155782,1357,45
"DecisionTreeClassifier(ccp_alpha=8.653846153846155e-05, random_state=0)",8.653846153846155e-05,0.9975,0.878,0.004673127258232705,1353,45
"DecisionTreeClassifier(ccp_alpha=9.649122807017548e-05, random_state=0)",9.649122807017548e-05,0.99725,0.878,0.005155583398583583,1343,45
"DecisionTreeClassifier(ccp_alpha=9.888268156424565e-05, random_state=0)",9.888268156424565e-05,0.997,0.878,0.005649996806404811,1333,45
"DecisionTreeClassifier(ccp_alpha=9.893048128342237e-05, random_state=0)",9.893048128342237e-05,0.99675,0.878,0.006144649212821923,1323,45
"DecisionTreeClassifier(ccp_alpha=0.00010248447204968947, random_state=0)",0.00010248447204968947,0.996375,0.8785,0.006862040517169749,1309,45
"DecisionTreeClassifier(ccp_alpha=0.00010694444444444446, random_state=0)",0.00010694444444444446,0.99625,0.8785,0.007075929406058638,1305,45
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.996,0.879,0.007290215120344353,1297,45
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.996,0.879,0.007504500834630067,1297,45
"DecisionTreeClassifier(ccp_alpha=0.00010833333333333336, random_state=0)",0.00010833333333333336,0.99575,0.88,0.007937834167963401,1289,45
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.995625,0.88,0.008156584167963402,1285,45
"DecisionTreeClassifier(ccp_alpha=0.00011111111111111112, random_state=0)",0.00011111111111111112,0.995125,0.88,0.008712139723518957,1275,44
"DecisionTreeClassifier(ccp_alpha=0.00011250000000000002, random_state=0)",0.00011250000000000002,0.995,0.8815,0.008937139723518957,1271,44
"DecisionTreeClassifier(ccp_alpha=0.00011363636363636365, random_state=0)",0.00011363636363636365,0.994375,0.883,0.009164412450791684,1251,44
"DecisionTreeClassifier(ccp_alpha=0.00011363636363636365, random_state=0)",0.00011363636363636365,0.994375,0.883,0.009618957905337138,1251,44
"DecisionTreeClassifier(ccp_alpha=0.00011363636363636365, random_state=0)",0.00011363636363636365,0.994375,0.883,0.009846230632609865,1251,44
"DecisionTreeClassifier(ccp_alpha=0.00011363636363636365, random_state=0)",0.00011363636363636365,0.994375,0.883,0.010073503359882592,1251,44
"DecisionTreeClassifier(ccp_alpha=0.00011458333333333334, random_state=0)",0.00011458333333333334,0.994125,0.884,0.01030267002654926,1243,44
"DecisionTreeClassifier(ccp_alpha=0.00011458333333333334, random_state=0)",0.00011458333333333334,0.994125,0.884,0.010531836693215927,1243,44
"DecisionTreeClassifier(ccp_alpha=0.00011538461538461534, random_state=0)",0.00011538461538461534,0.994,0.884,0.010762605923985157,1239,44
"DecisionTreeClassifier(ccp_alpha=0.00011562500000000005, random_state=0)",0.00011562500000000005,0.993875,0.884,0.010993855923985158,1235,44
"DecisionTreeClassifier(ccp_alpha=0.0001160714285714286, random_state=0)",0.0001160714285714286,0.9935,0.8845,0.011225998781128016,1223,44
"DecisionTreeClassifier(ccp_alpha=0.0001160714285714286, random_state=0)",0.0001160714285714286,0.9935,0.8845,0.011458141638270873,1223,44
"DecisionTreeClassifier(ccp_alpha=0.0001160714285714286, random_state=0)",0.0001160714285714286,0.9935,0.8845,0.011690284495413731,1223,44
"DecisionTreeClassifier(ccp_alpha=0.00011666666666666669, random_state=0)",0.00011666666666666669,0.992875,0.885,0.011923617828747065,1203,44
"DecisionTreeClassifier(ccp_alpha=0.00011666666666666669, random_state=0)",0.00011666666666666669,0.992875,0.885,0.012156951162080399,1203,44
"DecisionTreeClassifier(ccp_alpha=0.00011666666666666669, random_state=0)",0.00011666666666666669,0.992875,0.885,0.012390284495413732,1203,44
"DecisionTreeClassifier(ccp_alpha=0.00011666666666666669, random_state=0)",0.00011666666666666669,0.992875,0.885,0.012623617828747066,1203,44
"DecisionTreeClassifier(ccp_alpha=0.00011666666666666669, random_state=0)",0.00011666666666666669,0.992875,0.885,0.0128569511620804,1203,44
"DecisionTreeClassifier(ccp_alpha=0.0001171875, random_state=0)",0.0001171875,0.992625,0.885,0.0130913261620804,1195,44
"DecisionTreeClassifier(ccp_alpha=0.0001171875, random_state=0)",0.0001171875,0.992625,0.885,0.0133257011620804,1195,44
"DecisionTreeClassifier(ccp_alpha=0.00011764705882352944, random_state=0)",0.00011764705882352944,0.992375,0.885,0.01356099527972746,1187,44
"DecisionTreeClassifier(ccp_alpha=0.00011764705882352944, random_state=0)",0.00011764705882352944,0.992375,0.885,0.013796289397374518,1187,44
"DecisionTreeClassifier(ccp_alpha=0.00011778271895328751, random_state=0)",0.00011778271895328751,0.99225,0.8855,0.014031854835281094,1183,43
"DecisionTreeClassifier(ccp_alpha=0.00011785714285714282, random_state=0)",0.00011785714285714282,0.992,0.8855,0.014503283406709665,1175,43
"DecisionTreeClassifier(ccp_alpha=0.00011795774647887324, random_state=0)",0.00011795774647887324,0.9915,0.8855,0.01544694537854065,1159,43
"DecisionTreeClassifier(ccp_alpha=0.00011805555555555559, random_state=0)",0.00011805555555555559,0.99125,0.8855,0.01568305648965176,1151,43
"DecisionTreeClassifier(ccp_alpha=0.00011805555555555559, random_state=0)",0.00011805555555555559,0.99125,0.8855,0.01591916760076287,1151,43
"DecisionTreeClassifier(ccp_alpha=0.00011842105263157901, random_state=0)",0.00011842105263157901,0.9905,0.8865,0.016629693916552345,1127,43
"DecisionTreeClassifier(ccp_alpha=0.00011842105263157901, random_state=0)",0.00011842105263157901,0.9905,0.8865,0.016866536021815502,1127,43
"DecisionTreeClassifier(ccp_alpha=0.00011842105263157901, random_state=0)",0.00011842105263157901,0.9905,0.8865,0.01734022023234182,1127,43
"DecisionTreeClassifier(ccp_alpha=0.00011874999999999997, random_state=0)",0.00011874999999999997,0.99025,0.8865,0.01757772023234182,1119,43
"DecisionTreeClassifier(ccp_alpha=0.00011874999999999997, random_state=0)",0.00011874999999999997,0.99025,0.8865,0.017815220232341823,1119,43
"DecisionTreeClassifier(ccp_alpha=0.00011877705627705618, random_state=0)",0.00011877705627705618,0.990125,0.8865,0.018052774344895935,1115,43
"DecisionTreeClassifier(ccp_alpha=0.00011890243902439023, random_state=0)",0.00011890243902439023,0.989875,0.886,0.018528384100993497,1107,43
"DecisionTreeClassifier(ccp_alpha=0.00011931818181818187, random_state=0)",0.00011931818181818187,0.989625,0.886,0.01876702046462986,1099,43
"DecisionTreeClassifier(ccp_alpha=0.00011931818181818187, random_state=0)",0.00011931818181818187,0.989625,0.886,0.019005656828266226,1099,43
"DecisionTreeClassifier(ccp_alpha=0.00011968085106382982, random_state=0)",0.00011968085106382982,0.989375,0.886,0.019484380232521546,1091,43
