models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.99375,0.235,0.00625,741,36
"DecisionTreeClassifier(ccp_alpha=0.00041666666666666653, random_state=0)",0.00041666666666666653,0.99375,0.235,0.006666666666666667,739,36
"DecisionTreeClassifier(ccp_alpha=0.0006250000000000001, random_state=0)",0.0006250000000000001,0.99375,0.235,0.007291666666666667,735,36
"DecisionTreeClassifier(ccp_alpha=0.0006250000000000001, random_state=0)",0.0006250000000000001,0.99375,0.235,0.007916666666666667,735,36
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.9925,0.235,0.009583333333333334,731,36
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.99,0.235,0.011458333333333334,723,36
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.99,0.235,0.013333333333333334,723,36
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.98625,0.235,0.015333333333333334,711,34
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.98625,0.235,0.017333333333333333,711,34
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.98625,0.235,0.01933333333333333,711,34
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.98125,0.23,0.021416666666666664,695,34
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.98125,0.23,0.023499999999999997,695,34
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.98125,0.23,0.02558333333333333,695,34
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.98125,0.23,0.027666666666666662,695,34
"DecisionTreeClassifier(ccp_alpha=0.0010795454545454543, random_state=0)",0.0010795454545454543,0.97875,0.23,0.03198484848484848,687,34
"DecisionTreeClassifier(ccp_alpha=0.00109375, random_state=0)",0.00109375,0.9775,0.23,0.03417234848484848,683,34
"DecisionTreeClassifier(ccp_alpha=0.0011057692307692305, random_state=0)",0.0011057692307692305,0.975,0.23,0.038595425407925404,675,34
"DecisionTreeClassifier(ccp_alpha=0.0011111111111111111, random_state=0)",0.0011111111111111111,0.9725,0.225,0.04081764763014763,667,34
"DecisionTreeClassifier(ccp_alpha=0.0011111111111111111, random_state=0)",0.0011111111111111111,0.9725,0.225,0.04303986985236985,667,34
"DecisionTreeClassifier(ccp_alpha=0.0011160714285714285, random_state=0)",0.0011160714285714285,0.97125,0.225,0.045272012709512706,663,34
"DecisionTreeClassifier(ccp_alpha=0.001125, random_state=0)",0.001125,0.96875,0.225,0.0497720127095127,655,34
"DecisionTreeClassifier(ccp_alpha=0.0011250000000000003, random_state=0)",0.0011250000000000003,0.965,0.23,0.052022012709512705,643,34
"DecisionTreeClassifier(ccp_alpha=0.0011250000000000003, random_state=0)",0.0011250000000000003,0.965,0.23,0.05427201270951271,643,34
"DecisionTreeClassifier(ccp_alpha=0.0011250000000000003, random_state=0)",0.0011250000000000003,0.965,0.23,0.05652201270951271,643,34
"DecisionTreeClassifier(ccp_alpha=0.0011363636363636365, random_state=0)",0.0011363636363636365,0.96375,0.23,0.05879473998223998,639,34
"DecisionTreeClassifier(ccp_alpha=0.001160714285714286, random_state=0)",0.001160714285714286,0.9625,0.23,0.061116168553668554,635,34
"DecisionTreeClassifier(ccp_alpha=0.001171875, random_state=0)",0.001171875,0.96125,0.23,0.06345991855366856,631,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.06470991855366856,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.06720991855366856,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.06845991855366856,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.06970991855366857,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.07220991855366857,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.07470991855366857,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.07595991855366857,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.07720991855366857,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.07845991855366857,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.07970991855366857,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.08095991855366858,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.08345991855366858,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.08470991855366858,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.08595991855366858,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.08720991855366858,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.08845991855366858,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.08970991855366858,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.09220991855366859,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.09345991855366859,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.09470991855366859,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.09595991855366859,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.09845991855366859,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.10095991855366859,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.1022099185536686,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.1047099185536686,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.1059599185536686,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.1072099185536686,557,34
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.915,0.24,0.1097099185536686,557,34
"DecisionTreeClassifier(ccp_alpha=0.0013055555555555557, random_state=0)",0.0013055555555555557,0.9125,0.24,0.11362658522033527,551,34
"DecisionTreeClassifier(ccp_alpha=0.0013333333333333335, random_state=0)",0.0013333333333333335,0.91125,0.24,0.1149599185536686,549,34
"DecisionTreeClassifier(ccp_alpha=0.0013541666666666667, random_state=0)",0.0013541666666666667,0.90875,0.24,0.11766825188700195,545,34
"DecisionTreeClassifier(ccp_alpha=0.001369047619047619, random_state=0)",0.001369047619047619,0.9025,0.24,0.12314444236319243,537,32
"DecisionTreeClassifier(ccp_alpha=0.0014772727272727272, random_state=0)",0.0014772727272727272,0.89875,0.24,0.12609898781773787,533,32
"DecisionTreeClassifier(ccp_alpha=0.001488095238095238, random_state=0)",0.001488095238095238,0.8975,0.24,0.1275870830558331,531,32
"DecisionTreeClassifier(ccp_alpha=0.0014940476190476186, random_state=0)",0.0014940476190476186,0.89375,0.24,0.13356327353202357,523,32
"DecisionTreeClassifier(ccp_alpha=0.0014999999999999996, random_state=0)",0.0014999999999999996,0.8925,0.24,0.13506327353202358,521,32
"DecisionTreeClassifier(ccp_alpha=0.0015, random_state=0)",0.0015,0.8875,0.24,0.13806327353202358,513,32
"DecisionTreeClassifier(ccp_alpha=0.0015, random_state=0)",0.0015,0.8875,0.24,0.14106327353202358,513,32
"DecisionTreeClassifier(ccp_alpha=0.0015416666666666686, random_state=0)",0.0015416666666666686,0.88625,0.24,0.14260494019869024,511,32
"DecisionTreeClassifier(ccp_alpha=0.0015625, random_state=0)",0.0015625,0.88375,0.24,0.14416744019869024,505,32
"DecisionTreeClassifier(ccp_alpha=0.0015625, random_state=0)",0.0015625,0.88375,0.24,0.14729244019869023,505,32
"DecisionTreeClassifier(ccp_alpha=0.0015833333333333333, random_state=0)",0.0015833333333333333,0.8825,0.24,0.14887577353202355,503,32
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.85,0.235,0.1555424401986902,453,32
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.85,0.235,0.15720910686535688,453,32
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.85,0.235,0.15887577353202356,453,32
