models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,1.0,0.315,0.0,627,24
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.99875,0.315,0.0016666666666666666,623,23
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.9975,0.32,0.0035416666666666665,619,23
"DecisionTreeClassifier(ccp_alpha=0.0010714285714285717, random_state=0)",0.0010714285714285717,0.99625,0.32,0.0056845238095238095,615,23
"DecisionTreeClassifier(ccp_alpha=0.00109375, random_state=0)",0.00109375,0.99375,0.32,0.00787202380952381,607,23
"DecisionTreeClassifier(ccp_alpha=0.00109375, random_state=0)",0.00109375,0.99375,0.32,0.01005952380952381,607,23
"DecisionTreeClassifier(ccp_alpha=0.0011111111111111111, random_state=0)",0.0011111111111111111,0.9925,0.32,0.012281746031746033,603,23
"DecisionTreeClassifier(ccp_alpha=0.0011250000000000003, random_state=0)",0.0011250000000000003,0.99125,0.32,0.014531746031746033,599,23
"DecisionTreeClassifier(ccp_alpha=0.0011363636363636365, random_state=0)",0.0011363636363636365,0.99,0.32,0.016804473304473305,595,23
"DecisionTreeClassifier(ccp_alpha=0.0011419753086419756, random_state=0)",0.0011419753086419756,0.98625,0.325,0.02365632515632516,583,23
"DecisionTreeClassifier(ccp_alpha=0.0011458333333333333, random_state=0)",0.0011458333333333333,0.98375,0.325,0.025947991822991828,575,23
"DecisionTreeClassifier(ccp_alpha=0.0011458333333333333, random_state=0)",0.0011458333333333333,0.98375,0.325,0.028239658489658495,575,23
"DecisionTreeClassifier(ccp_alpha=0.0011562500000000004, random_state=0)",0.0011562500000000004,0.98125,0.325,0.0328646584896585,567,23
"DecisionTreeClassifier(ccp_alpha=0.001160714285714286, random_state=0)",0.001160714285714286,0.97875,0.325,0.03518608706108707,559,23
"DecisionTreeClassifier(ccp_alpha=0.001160714285714286, random_state=0)",0.001160714285714286,0.97875,0.325,0.03750751563251564,559,23
"DecisionTreeClassifier(ccp_alpha=0.001166666666666667, random_state=0)",0.001166666666666667,0.97625,0.325,0.039840848965848975,551,23
"DecisionTreeClassifier(ccp_alpha=0.001166666666666667, random_state=0)",0.001166666666666667,0.97625,0.325,0.04217418229918231,551,23
"DecisionTreeClassifier(ccp_alpha=0.0012142857142857142, random_state=0)",0.0012142857142857142,0.975,0.325,0.044602753727753734,547,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.047102753727753736,481,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.04835275372775374,481,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.05085275372775374,481,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.05210275372775374,481,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.05335275372775374,481,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.055852753727753744,481,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.057102753727753745,481,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.058352753727753746,481,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.06085275372775375,481,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.06460275372775375,481,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.06585275372775375,481,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.06710275372775375,481,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.06835275372775375,481,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.06960275372775375,481,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.07085275372775375,481,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.07210275372775375,481,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.07335275372775375,481,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.07460275372775375,481,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.07585275372775376,481,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.07710275372775376,481,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.07835275372775376,481,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.07960275372775376,481,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.08335275372775376,481,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.08460275372775376,481,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93375,0.345,0.08585275372775376,481,23
"DecisionTreeClassifier(ccp_alpha=0.00140625, random_state=0)",0.00140625,0.9325,0.345,0.08866525372775376,477,23
"DecisionTreeClassifier(ccp_alpha=0.0014583333333333336, random_state=0)",0.0014583333333333336,0.93125,0.345,0.0901235870610871,475,23
"DecisionTreeClassifier(ccp_alpha=0.0015, random_state=0)",0.0015,0.92625,0.34,0.0931235870610871,467,23
"DecisionTreeClassifier(ccp_alpha=0.0015, random_state=0)",0.0015,0.92625,0.34,0.0961235870610871,467,23
"DecisionTreeClassifier(ccp_alpha=0.0015624999999999999, random_state=0)",0.0015624999999999999,0.9225,0.34,0.1008110870610871,461,23
"DecisionTreeClassifier(ccp_alpha=0.0015625, random_state=0)",0.0015625,0.9125,0.345,0.1039360870610871,445,23
"DecisionTreeClassifier(ccp_alpha=0.0015625, random_state=0)",0.0015625,0.9125,0.345,0.11018608706108711,445,23
"DecisionTreeClassifier(ccp_alpha=0.0015625, random_state=0)",0.0015625,0.9125,0.345,0.11331108706108711,445,23
"DecisionTreeClassifier(ccp_alpha=0.0015833333333333333, random_state=0)",0.0015833333333333333,0.91,0.345,0.11489442039442045,441,23
"DecisionTreeClassifier(ccp_alpha=0.0015833333333333333, random_state=0)",0.0015833333333333333,0.91,0.345,0.11647775372775379,441,23
"DecisionTreeClassifier(ccp_alpha=0.0016071428571428565, random_state=0)",0.0016071428571428565,0.90875,0.345,0.1196920394420395,437,23
"DecisionTreeClassifier(ccp_alpha=0.0016249999999999997, random_state=0)",0.0016249999999999997,0.90625,0.345,0.1229420394420395,433,23
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.8925,0.34,0.12460870610870617,411,22
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.8925,0.34,0.12627537277537285,411,22
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.8925,0.34,0.12794203944203952,411,22
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.8925,0.34,0.1296087061087062,411,22
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.8925,0.34,0.13127537277537288,411,22
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.8925,0.34,0.1346087061087062,411,22
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.8925,0.34,0.13627537277537288,411,22
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.8925,0.34,0.13794203944203956,411,22
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.8925,0.34,0.13960870610870624,411,22
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.8925,0.34,0.14127537277537291,411,22
"DecisionTreeClassifier(ccp_alpha=0.001688912938912939, random_state=0)",0.001688912938912939,0.8875,0.34,0.15309776334776348,397,22
"DecisionTreeClassifier(ccp_alpha=0.001712962962962963, random_state=0)",0.001712962962962963,0.88375,0.335,0.15823665223665237,391,22
"DecisionTreeClassifier(ccp_alpha=0.0017499999999999998, random_state=0)",0.0017499999999999998,0.88125,0.335,0.15998665223665237,389,22
"DecisionTreeClassifier(ccp_alpha=0.0017500000000000003, random_state=0)",0.0017500000000000003,0.87875,0.335,0.16348665223665237,385,22
"DecisionTreeClassifier(ccp_alpha=0.0017522321428571435, random_state=0)",0.0017522321428571435,0.87625,0.335,0.16699111652236667,381,22
"DecisionTreeClassifier(ccp_alpha=0.0017857142857142857, random_state=0)",0.0017857142857142857,0.87375,0.34,0.17056254509379523,377,22
