models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,1.0,0.4455,0.0,4601,44
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.999875,0.4455,0.0001875,4597,44
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.999375,0.445,0.00038749999999999993,4581,44
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.999375,0.445,0.0005874999999999999,4581,44
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.999375,0.445,0.0007874999999999999,4581,44
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.999375,0.445,0.0009874999999999999,4581,44
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99875,0.445,0.0011958333333333333,4561,44
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99875,0.445,0.0014041666666666666,4561,44
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99875,0.445,0.0016125,4561,44
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99875,0.445,0.0018208333333333334,4561,44
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99875,0.445,0.0020291666666666665,4561,44
"DecisionTreeClassifier(ccp_alpha=0.00010576923076923077, random_state=0)",0.00010576923076923077,0.9985,0.4455,0.0024522435897435897,4553,44
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9975,0.445,0.002666529304029304,4521,44
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9975,0.445,0.002880815018315018,4521,44
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9975,0.445,0.003095100732600732,4521,44
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9975,0.445,0.0033093864468864463,4521,44
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9975,0.445,0.0035236721611721605,4521,44
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9975,0.445,0.0037379578754578747,4521,44
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9975,0.445,0.003952243589743589,4521,44
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9975,0.445,0.004166529304029304,4521,44
"DecisionTreeClassifier(ccp_alpha=0.00010795454545454544, random_state=0)",0.00010795454545454544,0.997,0.445,0.0045983474858474855,4505,44
"DecisionTreeClassifier(ccp_alpha=0.00010795454545454544, random_state=0)",0.00010795454545454544,0.997,0.445,0.005030165667665667,4505,44
"DecisionTreeClassifier(ccp_alpha=0.00010833333333333336, random_state=0)",0.00010833333333333336,0.9965,0.445,0.0054634990009990005,4489,44
"DecisionTreeClassifier(ccp_alpha=0.00010833333333333336, random_state=0)",0.00010833333333333336,0.9965,0.445,0.005896832334332334,4489,44
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.9955,0.4455,0.006115582334332334,4457,44
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.9955,0.4455,0.006334332334332334,4457,44
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.9955,0.4455,0.006553082334332334,4457,44
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.9955,0.4455,0.006771832334332335,4457,44
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.9955,0.4455,0.006990582334332335,4457,44
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.9955,0.4455,0.007209332334332335,4457,44
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.9955,0.4455,0.007428082334332335,4457,44
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.9955,0.4455,0.007646832334332335,4457,44
"DecisionTreeClassifier(ccp_alpha=0.00011057692307692306, random_state=0)",0.00011057692307692306,0.99525,0.4455,0.008089140026640027,4449,44
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.993125,0.4455,0.008533584471084472,4381,44
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.993125,0.4455,0.008755806693306695,4381,44
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.993125,0.4455,0.008978028915528917,4381,44
