models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,1.0,0.485,0.0,799,31
"DecisionTreeClassifier(ccp_alpha=0.0003999999999999999, random_state=0)",0.0003999999999999999,0.999375,0.4825,0.0011999999999999997,793,31
"DecisionTreeClassifier(ccp_alpha=0.0005357142857142858, random_state=0)",0.0005357142857142858,0.9975,0.485,0.0022714285714285714,781,29
"DecisionTreeClassifier(ccp_alpha=0.0005357142857142858, random_state=0)",0.0005357142857142858,0.9975,0.485,0.004414285714285714,781,29
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.99625,0.485,0.0055080357142857144,773,29
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.99625,0.485,0.0066017857142857145,773,29
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.994375,0.49,0.007712896825396826,761,29
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.994375,0.49,0.008824007936507937,761,29
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.994375,0.49,0.009935119047619049,761,29
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.993125,0.49,0.01106011904761905,753,29
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.993125,0.49,0.01218511904761905,753,29
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818183, random_state=0)",0.0005681818181818183,0.9925,0.49,0.013321482683982687,749,29
"DecisionTreeClassifier(ccp_alpha=0.0005684523809523807, random_state=0)",0.0005684523809523807,0.991875,0.49,0.014458387445887448,745,29
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.99,0.4875,0.015604220779220782,733,29
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.99,0.4875,0.016750054112554116,733,29
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.99,0.4875,0.017895887445887448,733,29
"DecisionTreeClassifier(ccp_alpha=0.000580357142857143, random_state=0)",0.000580357142857143,0.98875,0.4875,0.019056601731601733,725,29
"DecisionTreeClassifier(ccp_alpha=0.000580357142857143, random_state=0)",0.000580357142857143,0.98875,0.4875,0.02021731601731602,725,29
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.988125,0.4875,0.021383982683982686,721,29
