models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,1.0,0.191,0.0,3717,36
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.99975,0.191,0.0003333333333333333,3713,36
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.9985,0.191,0.0007083333333333334,3693,36
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.9985,0.191,0.0010833333333333333,3693,36
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.9985,0.191,0.0014583333333333332,3693,36
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.9985,0.191,0.001833333333333333,3693,36
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.9985,0.191,0.002208333333333333,3693,36
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9955,0.194,0.0026083333333333327,3645,36
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9955,0.194,0.0030083333333333325,3645,36
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9955,0.194,0.0034083333333333322,3645,36
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9955,0.194,0.003808333333333332,3645,36
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9955,0.194,0.004208333333333332,3645,36
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9955,0.194,0.004608333333333332,3645,36
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9955,0.194,0.0050083333333333325,3645,36
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9955,0.194,0.005408333333333333,3645,36
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9955,0.194,0.005808333333333333,3645,36
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9955,0.194,0.006208333333333333,3645,36
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9955,0.194,0.006608333333333333,3645,36
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9955,0.194,0.007008333333333333,3645,36
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.99325,0.194,0.007425,3609,36
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.99325,0.194,0.007841666666666667,3609,36
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.99325,0.194,0.008258333333333333,3609,36
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.99325,0.194,0.008674999999999999,3609,36
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.99325,0.194,0.009091666666666665,3609,36
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.99325,0.194,0.00950833333333333,3609,36
