models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,1.0,0.38,0.0,623,26
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.99875,0.38,0.0019999999999999996,619,26
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.9975,0.38,0.004083333333333333,615,26
"DecisionTreeClassifier(ccp_alpha=0.00109375, random_state=0)",0.00109375,0.99375,0.38,0.006270833333333333,603,26
"DecisionTreeClassifier(ccp_alpha=0.00109375, random_state=0)",0.00109375,0.99375,0.38,0.008458333333333333,603,26
"DecisionTreeClassifier(ccp_alpha=0.00109375, random_state=0)",0.00109375,0.99375,0.38,0.010645833333333334,603,26
"DecisionTreeClassifier(ccp_alpha=0.0011111111111111111, random_state=0)",0.0011111111111111111,0.99125,0.38,0.012868055555555556,595,26
"DecisionTreeClassifier(ccp_alpha=0.0011111111111111111, random_state=0)",0.0011111111111111111,0.99125,0.38,0.015090277777777779,595,26
"DecisionTreeClassifier(ccp_alpha=0.0011250000000000003, random_state=0)",0.0011250000000000003,0.98875,0.38,0.01734027777777778,587,24
"DecisionTreeClassifier(ccp_alpha=0.0011250000000000003, random_state=0)",0.0011250000000000003,0.98875,0.38,0.019590277777777783,587,24
"DecisionTreeClassifier(ccp_alpha=0.0011363636363636365, random_state=0)",0.0011363636363636365,0.985,0.39,0.021863005050505056,575,24
"DecisionTreeClassifier(ccp_alpha=0.0011363636363636365, random_state=0)",0.0011363636363636365,0.985,0.39,0.02413573232323233,575,24
"DecisionTreeClassifier(ccp_alpha=0.0011363636363636365, random_state=0)",0.0011363636363636365,0.985,0.39,0.026408459595959603,575,24
"DecisionTreeClassifier(ccp_alpha=0.0011513157894736845, random_state=0)",0.0011513157894736845,0.9825,0.39,0.03101372275385434,567,24
"DecisionTreeClassifier(ccp_alpha=0.0011749999999999998, random_state=0)",0.0011749999999999998,0.98,0.39,0.03571372275385434,559,24
"DecisionTreeClassifier(ccp_alpha=0.0011931818181818187, random_state=0)",0.0011931818181818187,0.97875,0.4,0.03810008639021798,555,24
"DecisionTreeClassifier(ccp_alpha=0.0011956521739130439, random_state=0)",0.0011956521739130439,0.9775,0.405,0.04049139073804407,551,24
"DecisionTreeClassifier(ccp_alpha=0.0011979166666666674, random_state=0)",0.0011979166666666674,0.97625,0.405,0.042887224071377406,547,24
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93875,0.415,0.04663722407137741,487,24
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93875,0.415,0.04788722407137741,487,24
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93875,0.415,0.04913722407137741,487,24
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93875,0.415,0.05163722407137741,487,24
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93875,0.415,0.052887224071377414,487,24
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93875,0.415,0.054137224071377416,487,24
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93875,0.415,0.05663722407137742,487,24
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93875,0.415,0.05788722407137742,487,24
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.93875,0.415,0.05913722407137742,487,24
