models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,1.0,0.468,0.0,4717,38
"DecisionTreeClassifier(ccp_alpha=8.045977011494246e-05, random_state=0)",8.045977011494246e-05,0.999875,0.468,0.0002413793103448274,4711,38
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.99975,0.468,0.00040804597701149406,4707,38
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.999125,0.4685,0.0005955459770114941,4687,38
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.999125,0.4685,0.0007830459770114941,4687,38
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.999125,0.4685,0.000970545977011494,4687,38
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.999125,0.4685,0.001158045977011494,4687,38
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.999125,0.4685,0.001345545977011494,4687,38
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.9985,0.4685,0.0015455459770114938,4667,38
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.9985,0.4685,0.0017455459770114937,4667,38
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.9985,0.4685,0.0019455459770114935,4667,38
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.9985,0.4685,0.0021455459770114934,4667,38
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.9985,0.4685,0.0023455459770114935,4667,38
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.998,0.4685,0.002553879310344827,4651,38
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.998,0.4685,0.0027622126436781603,4651,38
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.998,0.4685,0.0029705459770114936,4651,38
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.998,0.4685,0.003178879310344827,4651,38
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.996625,0.4685,0.003393165024630541,4607,38
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.996625,0.4685,0.0036074507389162553,4607,38
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.996625,0.4685,0.0038217364532019695,4607,38
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.996625,0.4685,0.004036022167487684,4607,38
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.996625,0.4685,0.004250307881773398,4607,38
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.996625,0.4685,0.004464593596059113,4607,38
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.996625,0.4685,0.0046788793103448275,4607,38
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.996625,0.4685,0.004893165024630542,4607,38
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.996625,0.4685,0.005107450738916257,4607,38
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.996625,0.4685,0.005321736453201971,4607,38
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.996625,0.4685,0.005536022167487686,4607,38
"DecisionTreeClassifier(ccp_alpha=0.00010795454545454544, random_state=0)",0.00010795454545454544,0.996375,0.4685,0.0059678403493058675,4599,38
"DecisionTreeClassifier(ccp_alpha=0.00010937499999999999, random_state=0)",0.00010937499999999999,0.996125,0.4685,0.006405340349305868,4591,38
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.994625,0.47,0.006624090349305868,4543,38
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.994625,0.47,0.006842840349305868,4543,38
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.994625,0.47,0.0070615903493058685,4543,38
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.994625,0.47,0.007280340349305869,4543,38
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.994625,0.47,0.007499090349305869,4543,38
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.994625,0.47,0.007717840349305869,4543,38
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.994625,0.47,0.00793659034930587,4543,38
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.994625,0.47,0.00815534034930587,4543,38
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.994625,0.47,0.00837409034930587,4543,38
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.994625,0.47,0.00859284034930587,4543,38
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.994625,0.47,0.00881159034930587,4543,38
