models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,1.0,0.54,0.0,791,30
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333333, random_state=0)",0.0005208333333333333,0.99875,0.5425,0.0010416666666666667,783,30
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333333, random_state=0)",0.0005208333333333333,0.99875,0.5425,0.0020833333333333333,783,30
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.998125,0.5425,0.0031770833333333334,779,30
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.996875,0.54,0.004288194444444444,771,30
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.996875,0.54,0.005399305555555556,771,30
"DecisionTreeClassifier(ccp_alpha=0.0005603448275862069, random_state=0)",0.0005603448275862069,0.995,0.54,0.008761374521072797,759,30
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.994375,0.54,0.009886374521072798,755,30
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818183, random_state=0)",0.0005681818181818183,0.993125,0.54,0.011022738157436434,747,30
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818183, random_state=0)",0.0005681818181818183,0.993125,0.54,0.012159101793800071,747,30
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.9925,0.5425,0.013304935127133405,743,30
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.990625,0.5425,0.014471601793800071,731,30
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.990625,0.5425,0.015638268460466738,731,30
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.990625,0.5425,0.016804935127133405,731,30
"DecisionTreeClassifier(ccp_alpha=0.0005859375, random_state=0)",0.0005859375,0.989375,0.54,0.017976810127133404,723,30
"DecisionTreeClassifier(ccp_alpha=0.0005859375, random_state=0)",0.0005859375,0.989375,0.54,0.019148685127133403,723,30
"DecisionTreeClassifier(ccp_alpha=0.0005882352941176472, random_state=0)",0.0005882352941176472,0.9875,0.535,0.0203251557153687,711,30
"DecisionTreeClassifier(ccp_alpha=0.0005882352941176472, random_state=0)",0.0005882352941176472,0.9875,0.535,0.021501626303603992,711,30
"DecisionTreeClassifier(ccp_alpha=0.0005882352941176472, random_state=0)",0.0005882352941176472,0.9875,0.535,0.022678096891839285,711,30
"DecisionTreeClassifier(ccp_alpha=0.0005902777777777779, random_state=0)",0.0005902777777777779,0.986875,0.535,0.02385865244739484,707,30
"DecisionTreeClassifier(ccp_alpha=0.0005921052631578951, random_state=0)",0.0005921052631578951,0.98625,0.535,0.025042862973710632,703,30
"DecisionTreeClassifier(ccp_alpha=0.0005937499999999999, random_state=0)",0.0005937499999999999,0.985625,0.5325,0.026230362973710633,699,30
"DecisionTreeClassifier(ccp_alpha=0.0005952380952380954, random_state=0)",0.0005952380952380954,0.98375,0.5325,0.027420839164186823,687,30
"DecisionTreeClassifier(ccp_alpha=0.0005952380952380954, random_state=0)",0.0005952380952380954,0.98375,0.5325,0.028611315354663013,687,30
"DecisionTreeClassifier(ccp_alpha=0.0005952380952380954, random_state=0)",0.0005952380952380954,0.98375,0.5325,0.029801791545139202,687,30
"DecisionTreeClassifier(ccp_alpha=0.0005975877192982455, random_state=0)",0.0005975877192982455,0.983125,0.5325,0.030996966983735694,683,30
"DecisionTreeClassifier(ccp_alpha=0.0006041666666666664, random_state=0)",0.0006041666666666664,0.9825,0.5325,0.03220530031706903,679,30
"DecisionTreeClassifier(ccp_alpha=0.00060546875, random_state=0)",0.00060546875,0.981875,0.5325,0.03341623781706903,675,30
"DecisionTreeClassifier(ccp_alpha=0.000625, random_state=0)",0.000625,0.980625,0.5325,0.03466623781706903,671,30
"DecisionTreeClassifier(ccp_alpha=0.0007407407407407407, random_state=0)",0.0007407407407407407,0.979375,0.5325,0.036888460039291256,665,30
"DecisionTreeClassifier(ccp_alpha=0.0007456140350877192, random_state=0)",0.0007456140350877192,0.978125,0.5325,0.03912530214455441,659,30
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.970625,0.5375,0.04062530214455441,635,30
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.970625,0.5375,0.04212530214455441,635,30
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.970625,0.5375,0.043625302144554415,635,30
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.970625,0.5375,0.045125302144554416,635,30
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.970625,0.5375,0.04662530214455442,635,30
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.970625,0.5375,0.04812530214455442,635,30
"DecisionTreeClassifier(ccp_alpha=0.0007575757575757577, random_state=0)",0.0007575757575757577,0.969375,0.54,0.05039802941728169,629,30
"DecisionTreeClassifier(ccp_alpha=0.0008250000000000002, random_state=0)",0.0008250000000000002,0.9675,0.54,0.05369802941728169,621,30
"DecisionTreeClassifier(ccp_alpha=0.0008289473684210528, random_state=0)",0.0008289473684210528,0.966875,0.54,0.0553559241541238,617,30
"DecisionTreeClassifier(ccp_alpha=0.0008305346700083542, random_state=0)",0.0008305346700083542,0.96375,0.54,0.06033913217417392,605,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.955,0.5375,0.061172465507507254,577,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.955,0.5375,0.06283913217417392,577,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.955,0.5375,0.06367246550750726,577,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.955,0.5375,0.0645057988408406,577,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.955,0.5375,0.06533913217417393,577,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.955,0.5375,0.0670057988408406,577,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.955,0.5375,0.06783913217417394,577,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.955,0.5375,0.06867246550750727,577,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.955,0.5375,0.06950579884084061,577,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.955,0.5375,0.07033913217417395,577,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.955,0.5375,0.07117246550750729,577,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.955,0.5375,0.07200579884084063,577,30
"DecisionTreeClassifier(ccp_alpha=0.0008437499999999999, random_state=0)",0.0008437499999999999,0.954375,0.54,0.07284954884084063,575,30
"DecisionTreeClassifier(ccp_alpha=0.0008506944444444441, random_state=0)",0.0008506944444444441,0.95375,0.5425,0.07370024328528507,573,30
"DecisionTreeClassifier(ccp_alpha=0.0008888888888888885, random_state=0)",0.0008888888888888885,0.9525,0.5425,0.07458913217417396,569,30
"DecisionTreeClassifier(ccp_alpha=0.0008888888888888885, random_state=0)",0.0008888888888888885,0.9525,0.5425,0.07547802106306284,569,30
"DecisionTreeClassifier(ccp_alpha=0.0009074074074074071, random_state=0)",0.0009074074074074071,0.950625,0.545,0.07820024328528506,563,30
"DecisionTreeClassifier(ccp_alpha=0.000909090909090909, random_state=0)",0.000909090909090909,0.94875,0.5425,0.08092751601255779,557,30
"DecisionTreeClassifier(ccp_alpha=0.0009204545454545453, random_state=0)",0.0009204545454545453,0.948125,0.5425,0.08184797055801234,555,30
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.9425,0.5375,0.08278547055801233,537,30
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.9425,0.5375,0.08372297055801232,537,30
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.9425,0.5375,0.08466047055801232,537,30
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.9425,0.5375,0.08559797055801231,537,30
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.9425,0.5375,0.0865354705580123,537,30
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.9425,0.5375,0.0874729705580123,537,30
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.9425,0.5375,0.0884104705580123,537,30
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.9425,0.5375,0.08934797055801229,537,30
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.9425,0.5375,0.09028547055801228,537,30
"DecisionTreeClassifier(ccp_alpha=0.000938133874239351, random_state=0)",0.000938133874239351,0.940625,0.5375,0.09309987218073033,531,30
"DecisionTreeClassifier(ccp_alpha=0.0009469696969696968, random_state=0)",0.0009469696969696968,0.939375,0.5375,0.09499381157466973,527,30
"DecisionTreeClassifier(ccp_alpha=0.0009506578947368421, random_state=0)",0.0009506578947368421,0.93875,0.54,0.09594446946940657,525,30
"DecisionTreeClassifier(ccp_alpha=0.0009523809523809524, random_state=0)",0.0009523809523809524,0.938125,0.5425,0.09689685042178753,523,30
"DecisionTreeClassifier(ccp_alpha=0.0009607843137254901, random_state=0)",0.0009607843137254901,0.936875,0.54,0.0988184190492385,519,30
"DecisionTreeClassifier(ccp_alpha=0.0009615384615384616, random_state=0)",0.0009615384615384616,0.935,0.54,0.1017030344338539,513,30
"DecisionTreeClassifier(ccp_alpha=0.0009631578947368417, random_state=0)",0.0009631578947368417,0.931875,0.5425,0.1065188239075381,503,30
"DecisionTreeClassifier(ccp_alpha=0.0009659090909090911, random_state=0)",0.0009659090909090911,0.92875,0.545,0.11134836936208356,493,30
"DecisionTreeClassifier(ccp_alpha=0.000969551282051282, random_state=0)",0.000969551282051282,0.928125,0.545,0.11231792064413484,491,30
"DecisionTreeClassifier(ccp_alpha=0.0009722222222222221, random_state=0)",0.0009722222222222221,0.926875,0.545,0.11426236508857929,487,30
"DecisionTreeClassifier(ccp_alpha=0.0009765625, random_state=0)",0.0009765625,0.925,0.5425,0.11816861508857929,479,30
"DecisionTreeClassifier(ccp_alpha=0.000997395833333333, random_state=0)",0.000997395833333333,0.92375,0.5425,0.12016340675524595,475,30
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.92,0.5425,0.12116340675524595,463,30
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.92,0.5425,0.12216340675524595,463,30
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.92,0.5425,0.12316340675524595,463,30
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.92,0.5425,0.12416340675524595,463,30
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.92,0.5425,0.12516340675524595,463,30
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.92,0.5425,0.12616340675524595,463,30
"DecisionTreeClassifier(ccp_alpha=0.001, random_state=0)",0.001,0.919375,0.54,0.12716340675524596,461,30
"DecisionTreeClassifier(ccp_alpha=0.0010256410256410256, random_state=0)",0.0010256410256410256,0.918125,0.5375,0.129214688806528,457,30
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.915625,0.54,0.13025635547319467,449,30
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.915625,0.54,0.13129802213986133,449,30
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.915625,0.54,0.132339688806528,449,30
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.915625,0.54,0.13338135547319466,449,30
"DecisionTreeClassifier(ccp_alpha=0.0010457516339869278, random_state=0)",0.0010457516339869278,0.915,0.54,0.1344271071071816,447,30
"DecisionTreeClassifier(ccp_alpha=0.0010714285714285717, random_state=0)",0.0010714285714285717,0.910625,0.5375,0.13549853567861017,433,30
"DecisionTreeClassifier(ccp_alpha=0.0010714285714285717, random_state=0)",0.0010714285714285717,0.910625,0.5375,0.13656996425003876,433,30
"DecisionTreeClassifier(ccp_alpha=0.0010714285714285717, random_state=0)",0.0010714285714285717,0.910625,0.5375,0.13764139282146734,433,30
"DecisionTreeClassifier(ccp_alpha=0.0010714285714285717, random_state=0)",0.0010714285714285717,0.910625,0.5375,0.13871282139289592,433,30
"DecisionTreeClassifier(ccp_alpha=0.0010714285714285717, random_state=0)",0.0010714285714285717,0.910625,0.5375,0.1397842499643245,433,30
"DecisionTreeClassifier(ccp_alpha=0.0010714285714285717, random_state=0)",0.0010714285714285717,0.910625,0.5375,0.1408556785357531,433,30
"DecisionTreeClassifier(ccp_alpha=0.0010714285714285717, random_state=0)",0.0010714285714285717,0.910625,0.5375,0.14192710710718168,433,30
"DecisionTreeClassifier(ccp_alpha=0.0010822510822510823, random_state=0)",0.0010822510822510823,0.91,0.5375,0.14300935818943275,431,30
"DecisionTreeClassifier(ccp_alpha=0.0010833333333333335, random_state=0)",0.0010833333333333335,0.90875,0.5375,0.14517602485609943,427,30
"DecisionTreeClassifier(ccp_alpha=0.001084821428571428, random_state=0)",0.001084821428571428,0.9075,0.535,0.14626084628467084,425,30
"DecisionTreeClassifier(ccp_alpha=0.00109375, random_state=0)",0.00109375,0.905625,0.535,0.14735459628467085,419,30
"DecisionTreeClassifier(ccp_alpha=0.00109375, random_state=0)",0.00109375,0.905625,0.535,0.14954209628467086,419,30
"DecisionTreeClassifier(ccp_alpha=0.001111111111111111, random_state=0)",0.001111111111111111,0.904375,0.5375,0.15065320739578197,415,30
"DecisionTreeClassifier(ccp_alpha=0.001111111111111111, random_state=0)",0.001111111111111111,0.904375,0.5375,0.1517643185068931,415,30
"DecisionTreeClassifier(ccp_alpha=0.0011111111111111122, random_state=0)",0.0011111111111111122,0.9025,0.54,0.1528754296180042,413,30
"DecisionTreeClassifier(ccp_alpha=0.0011250000000000003, random_state=0)",0.0011250000000000003,0.900625,0.54,0.1540004296180042,407,30
