models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,1.0,0.23,0.0,703,30
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.99875,0.23,0.0019999999999999996,699,30
"DecisionTreeClassifier(ccp_alpha=0.0010714285714285717, random_state=0)",0.0010714285714285717,0.9975,0.23,0.004142857142857143,695,30
"DecisionTreeClassifier(ccp_alpha=0.00109375, random_state=0)",0.00109375,0.99625,0.23,0.006330357142857143,691,30
"DecisionTreeClassifier(ccp_alpha=0.0011111111111111111, random_state=0)",0.0011111111111111111,0.99375,0.23,0.008552579365079365,683,30
"DecisionTreeClassifier(ccp_alpha=0.0011111111111111111, random_state=0)",0.0011111111111111111,0.99375,0.23,0.010774801587301588,683,30
"DecisionTreeClassifier(ccp_alpha=0.0011250000000000003, random_state=0)",0.0011250000000000003,0.9925,0.225,0.013024801587301588,679,30
"DecisionTreeClassifier(ccp_alpha=0.0011328125, random_state=0)",0.0011328125,0.99,0.225,0.01755605158730159,671,30
"DecisionTreeClassifier(ccp_alpha=0.0011397058823529411, random_state=0)",0.0011397058823529411,0.9875,0.22,0.022114875116713353,663,30
"DecisionTreeClassifier(ccp_alpha=0.0011538461538461533, random_state=0)",0.0011538461538461533,0.98625,0.22,0.02442256742440566,659,30
"DecisionTreeClassifier(ccp_alpha=0.001165413533834586, random_state=0)",0.001165413533834586,0.985,0.22,0.026753394492074832,655,30
"DecisionTreeClassifier(ccp_alpha=0.001166666666666667, random_state=0)",0.001166666666666667,0.9825,0.225,0.029086727825408165,647,30
"DecisionTreeClassifier(ccp_alpha=0.001166666666666667, random_state=0)",0.001166666666666667,0.9825,0.225,0.0314200611587415,647,30
"DecisionTreeClassifier(ccp_alpha=0.001171875, random_state=0)",0.001171875,0.98125,0.225,0.0337638111587415,643,30
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.0350138111587415,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.0362638111587415,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.0375138111587415,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.0387638111587415,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.0400138111587415,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.041263811158741504,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.04501381115874151,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.04626381115874151,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.04751381115874151,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.05001381115874151,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.05126381115874151,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.053763811158741515,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.055013811158741516,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.05626381115874152,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.05751381115874152,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.05876381115874152,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.06001381115874152,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.06126381115874152,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.06251381115874152,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.06376381115874152,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.06501381115874152,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.06626381115874153,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.06751381115874153,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.06876381115874153,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.07001381115874153,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.07126381115874153,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.07251381115874153,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.07376381115874153,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.07501381115874153,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.07751381115874154,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.07876381115874154,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.08001381115874154,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.08126381115874154,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.08251381115874154,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.08376381115874154,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.08501381115874154,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.08626381115874154,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.08876381115874155,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.09001381115874155,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.09126381115874155,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.09251381115874155,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.09501381115874155,543,28
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.91875,0.245,0.09626381115874155,543,28
"DecisionTreeClassifier(ccp_alpha=0.001375, random_state=0)",0.001375,0.91625,0.25,0.09901381115874155,539,28
"DecisionTreeClassifier(ccp_alpha=0.0013750000000000001, random_state=0)",0.0013750000000000001,0.91375,0.255,0.10451381115874156,531,28
"DecisionTreeClassifier(ccp_alpha=0.0014285714285714284, random_state=0)",0.0014285714285714284,0.91,0.26,0.10879952544445584,525,28
"DecisionTreeClassifier(ccp_alpha=0.0015, random_state=0)",0.0015,0.905,0.26,0.11029952544445584,517,27
"DecisionTreeClassifier(ccp_alpha=0.0015, random_state=0)",0.0015,0.905,0.26,0.11329952544445585,517,27
"DecisionTreeClassifier(ccp_alpha=0.0015, random_state=0)",0.0015,0.905,0.26,0.11479952544445585,517,27
"DecisionTreeClassifier(ccp_alpha=0.0015624999999999999, random_state=0)",0.0015624999999999999,0.90125,0.26,0.11948702544445584,511,27
"DecisionTreeClassifier(ccp_alpha=0.0015625000000000014, random_state=0)",0.0015625000000000014,0.9,0.26,0.12104952544445585,509,27
"DecisionTreeClassifier(ccp_alpha=0.0016249999999999997, random_state=0)",0.0016249999999999997,0.8925,0.26,0.12429952544445586,497,27
"DecisionTreeClassifier(ccp_alpha=0.0016249999999999997, random_state=0)",0.0016249999999999997,0.8925,0.26,0.12754952544445586,497,27
"DecisionTreeClassifier(ccp_alpha=0.0016249999999999997, random_state=0)",0.0016249999999999997,0.8925,0.26,0.13079952544445586,497,27
"DecisionTreeClassifier(ccp_alpha=0.0016406249999999997, random_state=0)",0.0016406249999999997,0.89125,0.26,0.13408077544445585,493,27
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.8725,0.265,0.13574744211112252,463,27
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.8725,0.265,0.1374141087777892,463,27
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.8725,0.265,0.13908077544445588,463,27
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.8725,0.265,0.14074744211112256,463,27
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.8725,0.265,0.14408077544445588,463,27
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.8725,0.265,0.14574744211112256,463,27
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.8725,0.265,0.14741410877778924,463,27
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.8725,0.265,0.14908077544445592,463,27
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.8725,0.265,0.15241410877778924,463,27
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.8725,0.265,0.15408077544445592,463,27
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.8725,0.265,0.1557474421111226,463,27
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.8725,0.265,0.15741410877778927,463,27
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.8725,0.265,0.15908077544445595,463,27
"DecisionTreeClassifier(ccp_alpha=0.001694444444444444, random_state=0)",0.001694444444444444,0.86875,0.27,0.16416410877778928,457,27
"DecisionTreeClassifier(ccp_alpha=0.00175, random_state=0)",0.00175,0.865,0.275,0.16941410877778929,451,27
"DecisionTreeClassifier(ccp_alpha=0.0017500000000000003, random_state=0)",0.0017500000000000003,0.8625,0.275,0.1729141087777893,447,27
"DecisionTreeClassifier(ccp_alpha=0.0017708333333333332, random_state=0)",0.0017708333333333332,0.85875,0.27,0.17822660877778929,441,27
"DecisionTreeClassifier(ccp_alpha=0.0017954545454545454, random_state=0)",0.0017954545454545454,0.8575,0.27,0.18002206332324383,439,27
"DecisionTreeClassifier(ccp_alpha=0.0018272569444444443, random_state=0)",0.0018272569444444443,0.8525,0.265,0.1873310911010216,431,27
"DecisionTreeClassifier(ccp_alpha=0.0018571428571428567, random_state=0)",0.0018571428571428567,0.85,0.265,0.18918823395816448,429,27
"DecisionTreeClassifier(ccp_alpha=0.001875, random_state=0)",0.001875,0.8325,0.275,0.19106323395816446,403,27
"DecisionTreeClassifier(ccp_alpha=0.001875, random_state=0)",0.001875,0.8325,0.275,0.19293823395816445,403,27
"DecisionTreeClassifier(ccp_alpha=0.001875, random_state=0)",0.001875,0.8325,0.275,0.19481323395816444,403,27
"DecisionTreeClassifier(ccp_alpha=0.001875, random_state=0)",0.001875,0.8325,0.275,0.19856323395816444,403,27
"DecisionTreeClassifier(ccp_alpha=0.001875, random_state=0)",0.001875,0.8325,0.275,0.20231323395816445,403,27
"DecisionTreeClassifier(ccp_alpha=0.001875, random_state=0)",0.001875,0.8325,0.275,0.20418823395816443,403,27
"DecisionTreeClassifier(ccp_alpha=0.001875, random_state=0)",0.001875,0.8325,0.275,0.20606323395816442,403,27
"DecisionTreeClassifier(ccp_alpha=0.001875, random_state=0)",0.001875,0.8325,0.275,0.2116882339581644,403,27
"DecisionTreeClassifier(ccp_alpha=0.001875, random_state=0)",0.001875,0.8325,0.275,0.2135632339581644,403,27
"DecisionTreeClassifier(ccp_alpha=0.0018750000000000001, random_state=0)",0.0018750000000000001,0.82625,0.275,0.2154382339581644,393,27
"DecisionTreeClassifier(ccp_alpha=0.0018750000000000001, random_state=0)",0.0018750000000000001,0.82625,0.275,0.21731323395816438,393,27
"DecisionTreeClassifier(ccp_alpha=0.0018750000000000001, random_state=0)",0.0018750000000000001,0.82625,0.275,0.21918823395816436,393,27
"DecisionTreeClassifier(ccp_alpha=0.0018750000000000001, random_state=0)",0.0018750000000000001,0.82625,0.275,0.22106323395816435,393,27
"DecisionTreeClassifier(ccp_alpha=0.0018750000000000001, random_state=0)",0.0018750000000000001,0.82625,0.275,0.22293823395816434,393,27
"DecisionTreeClassifier(ccp_alpha=0.0018968531468531447, random_state=0)",0.0018968531468531447,0.825,0.275,0.22483508710501748,391,27
"DecisionTreeClassifier(ccp_alpha=0.0018981481481481482, random_state=0)",0.0018981481481481482,0.82125,0.285,0.23052953154946193,385,27
"DecisionTreeClassifier(ccp_alpha=0.001909090909090909, random_state=0)",0.001909090909090909,0.82125,0.28,0.23243862245855285,381,27
"DecisionTreeClassifier(ccp_alpha=0.001909090909090909, random_state=0)",0.001909090909090909,0.82125,0.28,0.23434771336764376,381,27
"DecisionTreeClassifier(ccp_alpha=0.0019191919191919203, random_state=0)",0.0019191919191919203,0.81875,0.28,0.2362669052868357,379,27
"DecisionTreeClassifier(ccp_alpha=0.0019594332298136646, random_state=0)",0.0019594332298136646,0.81875,0.28,0.23822633851664937,377,27
"DecisionTreeClassifier(ccp_alpha=0.0019642857142857144, random_state=0)",0.0019642857142857144,0.81625,0.28,0.2421549099452208,373,27
