models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,1.0,0.344,0.0,6267,46
"DecisionTreeClassifier(ccp_alpha=7.575757575757577e-05, random_state=0)",7.575757575757577e-05,0.999875,0.344,0.0002272727272727273,6261,46
"DecisionTreeClassifier(ccp_alpha=7.63888888888889e-05, random_state=0)",7.63888888888889e-05,0.999625,0.344,0.000456439393939394,6249,46
"DecisionTreeClassifier(ccp_alpha=7.63888888888889e-05, random_state=0)",7.63888888888889e-05,0.999625,0.344,0.0006856060606060607,6249,46
"DecisionTreeClassifier(ccp_alpha=7.73809523809524e-05, random_state=0)",7.73809523809524e-05,0.9995,0.344,0.0009177489177489179,6243,46
"DecisionTreeClassifier(ccp_alpha=7.870370370370373e-05, random_state=0)",7.870370370370373e-05,0.999375,0.344,0.001153860028860029,6237,46
"DecisionTreeClassifier(ccp_alpha=8.143939393939391e-05, random_state=0)",8.143939393939391e-05,0.99925,0.344,0.0013981782106782107,6231,46
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.998375,0.345,0.0015856782106782106,6203,46
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.998375,0.345,0.0017731782106782106,6203,46
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.998375,0.345,0.0019606782106782105,6203,46
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.998375,0.345,0.0021481782106782107,6203,46
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.998375,0.345,0.002335678210678211,6203,46
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.998375,0.345,0.002523178210678211,6203,46
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.998375,0.345,0.002710678210678211,6203,46
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997375,0.345,0.0029106782106782113,6171,46
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997375,0.345,0.0031106782106782114,6171,46
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997375,0.345,0.0033106782106782115,6171,46
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997375,0.345,0.0035106782106782116,6171,46
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997375,0.345,0.0037106782106782117,6171,46
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997375,0.345,0.003910678210678212,6171,46
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997375,0.345,0.004110678210678211,6171,46
