models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,1.0,0.459,0.0,4723,41
"DecisionTreeClassifier(ccp_alpha=7.69230769230769e-05, random_state=0)",7.69230769230769e-05,0.999875,0.459,0.00023076923076923068,4717,41
"DecisionTreeClassifier(ccp_alpha=7.870370370370373e-05, random_state=0)",7.870370370370373e-05,0.99975,0.4585,0.0004668803418803419,4711,41
"DecisionTreeClassifier(ccp_alpha=8.055555555555552e-05, random_state=0)",8.055555555555552e-05,0.999625,0.459,0.0007085470085470085,4705,41
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9995,0.459,0.0008752136752136751,4701,41
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.99925,0.459,0.0010627136752136752,4693,41
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.99925,0.459,0.0012502136752136751,4693,41
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.998625,0.459,0.001450213675213675,4673,41
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.998625,0.459,0.0016502136752136749,4673,41
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.998625,0.459,0.0018502136752136748,4673,41
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.998625,0.459,0.002050213675213675,4673,41
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.998625,0.459,0.002250213675213675,4673,41
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.997125,0.46,0.0024585470085470083,4625,41
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.997125,0.46,0.0026668803418803417,4625,41
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.997125,0.46,0.002875213675213675,4625,41
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.997125,0.46,0.0030835470085470084,4625,41
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.997125,0.46,0.003291880341880342,4625,41
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.997125,0.46,0.003500213675213675,4625,41
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.997125,0.46,0.0037085470085470086,4625,41
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.997125,0.46,0.003916880341880342,4625,41
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.997125,0.46,0.004125213675213675,4625,41
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.997125,0.46,0.004333547008547008,4625,41
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.997125,0.46,0.004541880341880341,4625,41
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.997125,0.46,0.004750213675213674,4625,41
"DecisionTreeClassifier(ccp_alpha=0.00010624999999999998, random_state=0)",0.00010624999999999998,0.996625,0.4595,0.005175213675213674,4609,41
"DecisionTreeClassifier(ccp_alpha=0.00010624999999999998, random_state=0)",0.00010624999999999998,0.996625,0.4595,0.005600213675213674,4609,41
"DecisionTreeClassifier(ccp_alpha=0.00010694444444444446, random_state=0)",0.00010694444444444446,0.9965,0.46,0.005814102564102563,4605,41
