models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,1.0,0.8675,0.0,1357,51
"DecisionTreeClassifier(ccp_alpha=8.187134502923979e-05, random_state=0)",8.187134502923979e-05,0.999875,0.8675,0.00024561403508771936,1351,51
"DecisionTreeClassifier(ccp_alpha=8.232931726907621e-05, random_state=0)",8.232931726907621e-05,0.99975,0.8675,0.000492601986894948,1345,51
"DecisionTreeClassifier(ccp_alpha=8.279569892473091e-05, random_state=0)",8.279569892473091e-05,0.999625,0.8675,0.0007409890836691407,1339,51
"DecisionTreeClassifier(ccp_alpha=8.29545454545456e-05, random_state=0)",8.29545454545456e-05,0.9995,0.8675,0.0009898527200327776,1333,51
"DecisionTreeClassifier(ccp_alpha=8.299457994579893e-05, random_state=0)",8.299457994579893e-05,0.999375,0.8675,0.0012388364598701744,1327,51
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.99925,0.8675,0.0014263364598701743,1323,51
"DecisionTreeClassifier(ccp_alpha=9.574468085106385e-05, random_state=0)",9.574468085106385e-05,0.999,0.868,0.0019050598641254936,1313,51
"DecisionTreeClassifier(ccp_alpha=9.67213114754098e-05, random_state=0)",9.67213114754098e-05,0.99875,0.869,0.0023886664215025427,1303,51
"DecisionTreeClassifier(ccp_alpha=9.885057471264347e-05, random_state=0)",9.885057471264347e-05,0.9985,0.869,0.0028829192950657603,1293,51
"DecisionTreeClassifier(ccp_alpha=9.909909909909893e-05, random_state=0)",9.909909909909893e-05,0.99825,0.869,0.003378414790561255,1283,51
"DecisionTreeClassifier(ccp_alpha=0.00010520654044750418, random_state=0)",0.00010520654044750418,0.997875,0.8695,0.004114860573693784,1269,51
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.997625,0.8695,0.004329146287979499,1261,51
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.997625,0.8695,0.004543432002265213,1261,51
"DecisionTreeClassifier(ccp_alpha=0.0001074068123393315, random_state=0)",0.0001074068123393315,0.99675,0.87,0.006261940999694517,1229,49
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.996625,0.8705,0.006480690999694517,1225,49
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.99625,0.8715,0.00670291322191674,1213,49
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.99625,0.8715,0.007147357666361184,1213,49
"DecisionTreeClassifier(ccp_alpha=0.00011250000000000002, random_state=0)",0.00011250000000000002,0.995875,0.8715,0.0073723576663611845,1201,49
"DecisionTreeClassifier(ccp_alpha=0.00011250000000000002, random_state=0)",0.00011250000000000002,0.995875,0.8715,0.007597357666361185,1201,49
"DecisionTreeClassifier(ccp_alpha=0.00011250000000000002, random_state=0)",0.00011250000000000002,0.995875,0.8715,0.007822357666361185,1201,49
"DecisionTreeClassifier(ccp_alpha=0.00011357947434292867, random_state=0)",0.00011357947434292867,0.99575,0.872,0.008049516615047042,1197,49
"DecisionTreeClassifier(ccp_alpha=0.00011363636363636365, random_state=0)",0.00011363636363636365,0.995625,0.872,0.00827678934231977,1193,49
"DecisionTreeClassifier(ccp_alpha=0.00011458333333333334, random_state=0)",0.00011458333333333334,0.995375,0.872,0.008505956008986437,1185,49
"DecisionTreeClassifier(ccp_alpha=0.00011458333333333334, random_state=0)",0.00011458333333333334,0.995375,0.872,0.008735122675653104,1185,49
"DecisionTreeClassifier(ccp_alpha=0.0001160714285714286, random_state=0)",0.0001160714285714286,0.995125,0.8725,0.008967265532795962,1177,49
"DecisionTreeClassifier(ccp_alpha=0.0001160714285714286, random_state=0)",0.0001160714285714286,0.995125,0.8725,0.00919940838993882,1177,49
"DecisionTreeClassifier(ccp_alpha=0.00011666666666666669, random_state=0)",0.00011666666666666669,0.994875,0.8725,0.009432741723272154,1169,49
"DecisionTreeClassifier(ccp_alpha=0.00011666666666666669, random_state=0)",0.00011666666666666669,0.994875,0.8725,0.009666075056605487,1169,49
"DecisionTreeClassifier(ccp_alpha=0.00011693548387096771, random_state=0)",0.00011693548387096771,0.994625,0.8725,0.010133816992089359,1161,47
"DecisionTreeClassifier(ccp_alpha=0.00011744264507422408, random_state=0)",0.00011744264507422408,0.994375,0.8725,0.010603587572386256,1153,47
"DecisionTreeClassifier(ccp_alpha=0.00011764705882352944, random_state=0)",0.00011764705882352944,0.994125,0.8725,0.010838881690033315,1145,47
"DecisionTreeClassifier(ccp_alpha=0.00011764705882352944, random_state=0)",0.00011764705882352944,0.994125,0.8725,0.011074175807680374,1145,47
"DecisionTreeClassifier(ccp_alpha=0.00011805555555555559, random_state=0)",0.00011805555555555559,0.994,0.8725,0.011310286918791485,1141,47
"DecisionTreeClassifier(ccp_alpha=0.00011842105263157901, random_state=0)",0.00011842105263157901,0.99375,0.8725,0.011547129024054643,1133,47
"DecisionTreeClassifier(ccp_alpha=0.00011842105263157901, random_state=0)",0.00011842105263157901,0.99375,0.8725,0.011783971129317802,1133,47
"DecisionTreeClassifier(ccp_alpha=0.00011858974358974356, random_state=0)",0.00011858974358974356,0.9935,0.873,0.012258330103676777,1125,47
"DecisionTreeClassifier(ccp_alpha=0.00011874999999999997, random_state=0)",0.00011874999999999997,0.993375,0.8735,0.012495830103676777,1121,47
"DecisionTreeClassifier(ccp_alpha=0.00011896306818181816, random_state=0)",0.00011896306818181816,0.993125,0.874,0.012971682376404049,1113,47
"DecisionTreeClassifier(ccp_alpha=0.00011904761904761909, random_state=0)",0.00011904761904761909,0.992875,0.875,0.013209777614499287,1105,47
"DecisionTreeClassifier(ccp_alpha=0.00011904761904761909, random_state=0)",0.00011904761904761909,0.992875,0.875,0.013447872852594526,1105,47
"DecisionTreeClassifier(ccp_alpha=0.00011979166666666674, random_state=0)",0.00011979166666666674,0.992625,0.8755,0.013687456185927859,1097,47
"DecisionTreeClassifier(ccp_alpha=0.00011979166666666674, random_state=0)",0.00011979166666666674,0.992625,0.8755,0.013927039519261192,1097,47
"DecisionTreeClassifier(ccp_alpha=0.00011999999999999996, random_state=0)",0.00011999999999999996,0.992375,0.8755,0.014167039519261192,1089,47
"DecisionTreeClassifier(ccp_alpha=0.00011999999999999996, random_state=0)",0.00011999999999999996,0.992375,0.8755,0.014407039519261193,1089,47
"DecisionTreeClassifier(ccp_alpha=0.00012019230769230777, random_state=0)",0.00012019230769230777,0.99225,0.8755,0.01464742413464581,1085,47
"DecisionTreeClassifier(ccp_alpha=0.00012037037037037039, random_state=0)",0.00012037037037037039,0.992125,0.8755,0.01488816487538655,1081,47
"DecisionTreeClassifier(ccp_alpha=0.00012059436778408814, random_state=0)",0.00012059436778408814,0.992,0.8755,0.015129353610954726,1077,47
