models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,1.0,0.247,0.0,7045,47
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.999375,0.247,0.0001875,7025,47
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.999375,0.247,0.000375,7025,47
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.999375,0.247,0.0005625000000000001,7025,47
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.999375,0.247,0.00075,7025,47
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.999375,0.247,0.0009375,7025,47
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.2465,0.0011374999999999998,6977,47
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.2465,0.0013374999999999997,6977,47
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.2465,0.0015374999999999996,6977,47
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.2465,0.0017374999999999995,6977,47
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.2465,0.0019374999999999993,6977,47
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.2465,0.002137499999999999,6977,47
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.2465,0.0023374999999999993,6977,47
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.2465,0.0025374999999999994,6977,47
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.2465,0.0027374999999999995,6977,47
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.2465,0.0029374999999999996,6977,47
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.2465,0.0031374999999999997,6977,47
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.2465,0.0033374999999999998,6977,47
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666666, random_state=0)",0.00010416666666666666,0.997625,0.246,0.0037541666666666665,6969,47
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99625,0.246,0.0039625,6925,47
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99625,0.246,0.004170833333333333,6925,47
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99625,0.246,0.004379166666666666,6925,47
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99625,0.246,0.004587499999999999,6925,47
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99625,0.246,0.004795833333333332,6925,47
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99625,0.246,0.005004166666666665,6925,47
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99625,0.246,0.0052124999999999975,6925,47
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99625,0.246,0.0054208333333333305,6925,47
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99625,0.246,0.005629166666666663,6925,47
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99625,0.246,0.005837499999999996,6925,47
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99625,0.246,0.006045833333333329,6925,47
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.994125,0.246,0.006260119047619044,6857,47
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.994125,0.246,0.0064744047619047585,6857,47
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.994125,0.246,0.006688690476190473,6857,47
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.994125,0.246,0.006902976190476188,6857,47
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.994125,0.246,0.007117261904761902,6857,47
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.994125,0.246,0.007331547619047617,6857,47
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.994125,0.246,0.0075458333333333315,6857,47
