models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.98875,0.3525,0.01516604229411063,6279,55
"DecisionTreeClassifier(ccp_alpha=2.1908763505402084e-05, random_state=0)",2.1908763505402084e-05,0.98875,0.3525,0.015209859821121434,6275,55
"DecisionTreeClassifier(ccp_alpha=3.151260504201739e-05, random_state=0)",3.151260504201739e-05,0.98875,0.3525,0.015241372426163451,6273,55
"DecisionTreeClassifier(ccp_alpha=3.186274509803938e-05, random_state=0)",3.186274509803938e-05,0.98875,0.3525,0.01527323517126149,6271,55
"DecisionTreeClassifier(ccp_alpha=3.7499999999999976e-05, random_state=0)",3.7499999999999976e-05,0.98875,0.3525,0.015348235171261491,6267,55
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.98875,0.3525,0.015389901837928158,6261,55
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.98875,0.3525,0.015431568504594826,6261,55
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.98875,0.3525,0.015473235171261493,6261,55
"DecisionTreeClassifier(ccp_alpha=4.2499227520855984e-05, random_state=0)",4.2499227520855984e-05,0.98875,0.3525,0.015515734398782349,6259,55
"DecisionTreeClassifier(ccp_alpha=4.25120772946856e-05, random_state=0)",4.25120772946856e-05,0.98875,0.3525,0.015558246476077035,6257,54
"DecisionTreeClassifier(ccp_alpha=6.25e-05, random_state=0)",6.25e-05,0.98875,0.3525,0.015620746476077035,6255,54
"DecisionTreeClassifier(ccp_alpha=7.499999999999995e-05, random_state=0)",7.499999999999995e-05,0.98875,0.3525,0.015695746476077035,6251,54
"DecisionTreeClassifier(ccp_alpha=7.499999999999995e-05, random_state=0)",7.499999999999995e-05,0.98875,0.3525,0.015770746476077034,6251,54
"DecisionTreeClassifier(ccp_alpha=7.638888888888887e-05, random_state=0)",7.638888888888887e-05,0.9885,0.3525,0.01622907980941037,6239,54
"DecisionTreeClassifier(ccp_alpha=8.189655172413787e-05, random_state=0)",8.189655172413787e-05,0.98825,0.3525,0.01655666601630692,6231,54
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.987375,0.353,0.01680666601630692,6209,54
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.987375,0.353,0.016973332682973585,6209,54
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.987375,0.353,0.017223332682973585,6209,54
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.987375,0.353,0.017473332682973585,6209,54
"DecisionTreeClassifier(ccp_alpha=8.333333333333334e-05, random_state=0)",8.333333333333334e-05,0.98725,0.353,0.01755666601630692,6207,54
"DecisionTreeClassifier(ccp_alpha=8.571428571428573e-05, random_state=0)",8.571428571428573e-05,0.987125,0.3535,0.017728094587735492,6203,54
"DecisionTreeClassifier(ccp_alpha=9.132566069906204e-05, random_state=0)",9.132566069906204e-05,0.987,0.3535,0.017910745909133614,6199,54
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.986125,0.3535,0.018098245909133615,6171,54
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.986125,0.3535,0.018285745909133615,6171,54
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.986125,0.3535,0.018473245909133615,6171,54
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.986125,0.3535,0.018660745909133615,6171,54
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.986125,0.3535,0.018848245909133615,6171,54
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.986125,0.3535,0.019035745909133615,6171,54
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.986125,0.3535,0.019223245909133616,6171,54
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98425,0.354,0.019423245909133614,6111,54
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98425,0.354,0.019623245909133613,6111,54
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98425,0.354,0.019823245909133612,6111,54
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98425,0.354,0.02002324590913361,6111,54
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98425,0.354,0.02022324590913361,6111,54
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98425,0.354,0.02042324590913361,6111,54
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98425,0.354,0.020623245909133607,6111,54
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98425,0.354,0.020823245909133606,6111,54
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98425,0.354,0.021023245909133605,6111,54
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98425,0.354,0.021223245909133603,6111,54
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98425,0.354,0.021423245909133602,6111,54
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98425,0.354,0.0216232459091336,6111,54
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98425,0.354,0.0218232459091336,6111,54
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98425,0.354,0.0220232459091336,6111,54
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98425,0.354,0.022223245909133597,6111,54
"DecisionTreeClassifier(ccp_alpha=0.00010000000000000005, random_state=0)",0.00010000000000000005,0.98425,0.354,0.022323245909133597,6109,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666663, random_state=0)",0.00010416666666666663,0.984125,0.354,0.02253157924246693,6105,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.98225,0.3545,0.022739912575800266,6045,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.98225,0.3545,0.0229482459091336,6045,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.98225,0.3545,0.023156579242466935,6045,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.98225,0.3545,0.02336491257580027,6045,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.98225,0.3545,0.023573245909133605,6045,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.98225,0.3545,0.02378157924246694,6045,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.98225,0.3545,0.023989912575800274,6045,54
