models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.990125,0.4735,0.01179794953068947,4717,71
"DecisionTreeClassifier(ccp_alpha=2.0833333333333343e-05, random_state=0)",2.0833333333333343e-05,0.990125,0.4735,0.011818782864022803,4713,71
"DecisionTreeClassifier(ccp_alpha=2.0833333333333343e-05, random_state=0)",2.0833333333333343e-05,0.990125,0.4735,0.011839616197356136,4713,71
"DecisionTreeClassifier(ccp_alpha=2.7777777777777782e-05, random_state=0)",2.7777777777777782e-05,0.990125,0.4735,0.011922949530689468,4707,71
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.990125,0.4735,0.011964616197356136,4701,71
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.990125,0.4735,0.012006282864022803,4701,71
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.990125,0.4735,0.01204794953068947,4701,71
"DecisionTreeClassifier(ccp_alpha=6.25e-05, random_state=0)",6.25e-05,0.99,0.4745,0.01211044953068947,4693,71
"DecisionTreeClassifier(ccp_alpha=6.25e-05, random_state=0)",6.25e-05,0.99,0.4745,0.01229794953068947,4693,71
"DecisionTreeClassifier(ccp_alpha=6.53846153846154e-05, random_state=0)",6.53846153846154e-05,0.989875,0.4745,0.012624872607612548,4683,71
"DecisionTreeClassifier(ccp_alpha=6.666666666666666e-05, random_state=0)",6.666666666666666e-05,0.98975,0.4745,0.01275820594094588,4679,71
"DecisionTreeClassifier(ccp_alpha=7.232142857142854e-05, random_state=0)",7.232142857142854e-05,0.9895,0.4745,0.013119813083803023,4669,71
"DecisionTreeClassifier(ccp_alpha=7.291666666666666e-05, random_state=0)",7.291666666666666e-05,0.989375,0.4745,0.013265646417136356,4665,71
"DecisionTreeClassifier(ccp_alpha=7.575757575757581e-05, random_state=0)",7.575757575757581e-05,0.989375,0.4745,0.013341403992893932,4663,71
"DecisionTreeClassifier(ccp_alpha=7.786016949152576e-05, random_state=0)",7.786016949152576e-05,0.989375,0.4745,0.013419264162385458,4661,71
"DecisionTreeClassifier(ccp_alpha=7.843137254901962e-05, random_state=0)",7.843137254901962e-05,0.98925,0.4745,0.013654558280032517,4655,71
"DecisionTreeClassifier(ccp_alpha=7.999999999999998e-05, random_state=0)",7.999999999999998e-05,0.989125,0.4745,0.013894558280032518,4649,71
"DecisionTreeClassifier(ccp_alpha=8.045977011494246e-05, random_state=0)",8.045977011494246e-05,0.989,0.475,0.014135937590377345,4643,71
"DecisionTreeClassifier(ccp_alpha=8.095057354925777e-05, random_state=0)",8.095057354925777e-05,0.98825,0.4745,0.014783542178771408,4627,71
"DecisionTreeClassifier(ccp_alpha=8.130081300813012e-05, random_state=0)",8.130081300813012e-05,0.988125,0.4745,0.015027444617795798,4621,71
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.98775,0.474,0.015194111284462465,4609,69
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.98775,0.474,0.015360777951129133,4609,69
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.98775,0.474,0.0155274446177958,4609,69
"DecisionTreeClassifier(ccp_alpha=8.333333333333337e-05, random_state=0)",8.333333333333337e-05,0.987625,0.474,0.015694111284462468,4605,69
"DecisionTreeClassifier(ccp_alpha=8.819444444444456e-05, random_state=0)",8.819444444444456e-05,0.9875,0.474,0.015870500173351357,4601,69
"DecisionTreeClassifier(ccp_alpha=8.894230769230789e-05, random_state=0)",8.894230769230789e-05,0.9875,0.474,0.01604838478873597,4597,69
"DecisionTreeClassifier(ccp_alpha=9.16666666666667e-05, random_state=0)",9.16666666666667e-05,0.987375,0.474,0.016231718122069305,4593,69
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98675,0.4745,0.016419218122069305,4573,69
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98675,0.4745,0.016606718122069306,4573,69
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98675,0.4745,0.016794218122069306,4573,69
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98675,0.4745,0.016981718122069306,4573,69
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98675,0.4745,0.017169218122069306,4573,69
"DecisionTreeClassifier(ccp_alpha=9.375000000000002e-05, random_state=0)",9.375000000000002e-05,0.9865,0.4745,0.017544218122069306,4565,69
"DecisionTreeClassifier(ccp_alpha=9.89583333333333e-05, random_state=0)",9.89583333333333e-05,0.986125,0.475,0.01794005145540264,4557,66
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.985,0.4745,0.01814005145540264,4521,66
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.985,0.4745,0.01834005145540264,4521,66
