models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.99125,0.5075,0.010507305194805194,763,28
"DecisionTreeClassifier(ccp_alpha=6.249999999999984e-05, random_state=0)",6.249999999999984e-05,0.99125,0.5075,0.010569805194805194,761,28
"DecisionTreeClassifier(ccp_alpha=9.37500000000003e-05, random_state=0)",9.37500000000003e-05,0.99125,0.5075,0.010663555194805194,759,28
"DecisionTreeClassifier(ccp_alpha=0.00012499999999999968, random_state=0)",0.00012499999999999968,0.99125,0.5075,0.010788555194805195,757,28
"DecisionTreeClassifier(ccp_alpha=0.0002185314685314683, random_state=0)",0.0002185314685314683,0.99125,0.5075,0.01122561813186813,753,26
"DecisionTreeClassifier(ccp_alpha=0.0003809523809523811, random_state=0)",0.0003809523809523811,0.99125,0.5075,0.011606570512820512,751,26
"DecisionTreeClassifier(ccp_alpha=0.0004395604395604391, random_state=0)",0.0004395604395604391,0.990625,0.5075,0.01204613095238095,749,25
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333333, random_state=0)",0.0005208333333333333,0.99,0.5075,0.013087797619047617,745,25
"DecisionTreeClassifier(ccp_alpha=0.0005333333333333336, random_state=0)",0.0005333333333333336,0.989375,0.5075,0.01362113095238095,743,25
"DecisionTreeClassifier(ccp_alpha=0.0005451127819548878, random_state=0)",0.0005451127819548878,0.9875,0.5075,0.015256469298245614,737,23
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.986875,0.5075,0.016350219298245615,733,23
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.984375,0.51,0.017461330409356726,717,23
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.984375,0.51,0.018572441520467838,717,23
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.984375,0.51,0.02079466374269006,717,23
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.98375,0.5075,0.02191966374269006,713,23
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818183, random_state=0)",0.0005681818181818183,0.9825,0.5075,0.023056027379053698,705,23
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818183, random_state=0)",0.0005681818181818183,0.9825,0.5075,0.024192391015417335,705,23
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.98125,0.5075,0.025338224348750667,697,23
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.98125,0.5075,0.026484057682084,697,23
"DecisionTreeClassifier(ccp_alpha=0.000580357142857143, random_state=0)",0.000580357142857143,0.980625,0.5075,0.027644771967798284,693,23
"DecisionTreeClassifier(ccp_alpha=0.0005818965517241377, random_state=0)",0.0005818965517241377,0.979375,0.505,0.029972358174694836,685,23
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.9775,0.505,0.031139024841361503,673,23
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.9775,0.505,0.03230569150802817,673,23
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.9775,0.505,0.03347235817469484,673,23
"DecisionTreeClassifier(ccp_alpha=0.0005882352941176472, random_state=0)",0.0005882352941176472,0.976875,0.505,0.034648828762930135,669,23
"DecisionTreeClassifier(ccp_alpha=0.0005902777777777779, random_state=0)",0.0005902777777777779,0.97625,0.505,0.03582938431848569,665,23
"DecisionTreeClassifier(ccp_alpha=0.0005921052631578951, random_state=0)",0.0005921052631578951,0.975625,0.5075,0.037013594844801476,661,23
"DecisionTreeClassifier(ccp_alpha=0.0005978260869565219, random_state=0)",0.0005978260869565219,0.97375,0.5075,0.03820924701871452,649,23
"DecisionTreeClassifier(ccp_alpha=0.0005978260869565219, random_state=0)",0.0005978260869565219,0.97375,0.5075,0.03940489919262756,649,23
"DecisionTreeClassifier(ccp_alpha=0.0005978260869565219, random_state=0)",0.0005978260869565219,0.97375,0.5075,0.0406005513665406,649,23
"DecisionTreeClassifier(ccp_alpha=0.0006018518518518516, random_state=0)",0.0006018518518518516,0.973125,0.5075,0.0418042550702443,645,23
"DecisionTreeClassifier(ccp_alpha=0.0007052631578947369, random_state=0)",0.0007052631578947369,0.971875,0.51,0.04392004454392851,639,23
"DecisionTreeClassifier(ccp_alpha=0.0007221389305347325, random_state=0)",0.0007221389305347325,0.970625,0.51,0.04608646133553271,633,23
"DecisionTreeClassifier(ccp_alpha=0.0007291666666666666, random_state=0)",0.0007291666666666666,0.969375,0.5125,0.04827396133553271,627,23
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.965625,0.515,0.04977396133553271,615,23
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.965625,0.515,0.05127396133553271,615,23
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.965625,0.515,0.052773961335532714,615,23
