models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.98525,0.2425,0.017327091977141735,7053,51
"DecisionTreeClassifier(ccp_alpha=2.4434389140270615e-05, random_state=0)",2.4434389140270615e-05,0.98525,0.2425,0.017351526366282004,7051,50
"DecisionTreeClassifier(ccp_alpha=3.125e-05, random_state=0)",3.125e-05,0.98525,0.243,0.017445276366282004,7041,50
"DecisionTreeClassifier(ccp_alpha=3.125e-05, random_state=0)",3.125e-05,0.98525,0.243,0.017507776366282004,7041,50
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.98525,0.243,0.01754944303294867,7035,50
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.98525,0.243,0.017591109699615335,7035,50
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.98525,0.243,0.017632776366282,7035,50
"DecisionTreeClassifier(ccp_alpha=4.6153846153846375e-05, random_state=0)",4.6153846153846375e-05,0.98525,0.243,0.017678930212435846,7033,50
"DecisionTreeClassifier(ccp_alpha=6.25e-05, random_state=0)",6.25e-05,0.98525,0.243,0.017741430212435846,7031,50
"DecisionTreeClassifier(ccp_alpha=6.663265306122539e-05, random_state=0)",6.663265306122539e-05,0.98525,0.243,0.01780806286549707,7029,50
"DecisionTreeClassifier(ccp_alpha=6.666666666666666e-05, random_state=0)",6.666666666666666e-05,0.985125,0.243,0.018008062865497068,7023,50
"DecisionTreeClassifier(ccp_alpha=7.291666666666669e-05, random_state=0)",7.291666666666669e-05,0.985,0.2435,0.018153896198830403,7019,50
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.984125,0.2435,0.01832056286549707,6993,50
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.984125,0.2435,0.018487229532163734,6993,50
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.984125,0.2435,0.018737229532163734,6993,50
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.984125,0.2435,0.0189038961988304,6993,50
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.984125,0.2435,0.019070562865497066,6993,50
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.984125,0.2435,0.01923722953216373,6993,50
"DecisionTreeClassifier(ccp_alpha=8.333333333333334e-05, random_state=0)",8.333333333333334e-05,0.984,0.2435,0.019320562865497066,6991,50
"DecisionTreeClassifier(ccp_alpha=8.569078947368437e-05, random_state=0)",8.569078947368437e-05,0.983875,0.2435,0.019491944444444433,6987,50
"DecisionTreeClassifier(ccp_alpha=9.16666666666667e-05, random_state=0)",9.16666666666667e-05,0.98375,0.2435,0.019675277777777767,6983,50
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982375,0.244,0.019862777777777767,6943,50
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982375,0.244,0.020050277777777768,6943,50
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982375,0.244,0.020237777777777768,6943,50
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982375,0.244,0.020425277777777768,6943,50
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982375,0.244,0.020612777777777768,6943,50
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982375,0.244,0.020800277777777768,6943,50
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982375,0.244,0.02117527777777777,6943,50
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982375,0.244,0.02136277777777777,6943,50
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982375,0.244,0.02155027777777777,6943,50
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98175,0.244,0.021750277777777768,6923,50
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98175,0.244,0.021950277777777766,6923,50
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98175,0.244,0.022150277777777765,6923,50
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98175,0.244,0.022350277777777764,6923,50
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98175,0.244,0.022550277777777763,6923,50
"DecisionTreeClassifier(ccp_alpha=0.00010160984848484869, random_state=0)",0.00010160984848484869,0.981625,0.244,0.02275349747474746,6919,50
"DecisionTreeClassifier(ccp_alpha=0.00010350790513833936, random_state=0)",0.00010350790513833936,0.981375,0.2435,0.022960513285024138,6915,50
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97925,0.2455,0.023168846618357473,6849,50
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97925,0.2455,0.023377179951690807,6849,50
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97925,0.2455,0.023585513285024142,6849,50
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97925,0.2455,0.023793846618357477,6849,50
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97925,0.2455,0.02400217995169081,6849,50
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97925,0.2455,0.02431467995169081,6849,50
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97925,0.2455,0.024523013285024146,6849,50
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97925,0.2455,0.02473134661835748,6849,50
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97925,0.2455,0.024939679951690816,6849,50
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97925,0.2455,0.02514801328502415,6849,50
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97925,0.2455,0.025356346618357485,6849,50
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97925,0.2455,0.02556467995169082,6849,50
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97925,0.2455,0.025773013285024154,6849,50
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97925,0.2455,0.02598134661835749,6849,50
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97925,0.2455,0.026189679951690824,6849,50
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97925,0.2455,0.02639801328502416,6849,50
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9775,0.2455,0.026612298999309874,6793,50
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9775,0.2455,0.02682658471359559,6793,50
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9775,0.2455,0.027040870427881305,6793,50
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9775,0.2455,0.02725515614216702,6793,50
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9775,0.2455,0.027469441856452736,6793,50
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9775,0.2455,0.02768372757073845,6793,50
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9775,0.2455,0.027898013285024167,6793,50
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9775,0.2455,0.028112298999309882,6793,50
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9775,0.2455,0.028326584713595598,6793,50
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9775,0.2455,0.028540870427881313,6793,50
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9775,0.2455,0.02875515614216703,6793,50
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9775,0.2455,0.028969441856452744,6793,50
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9775,0.2455,0.02918372757073846,6793,50
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9775,0.2455,0.029398013285024175,6793,50
"DecisionTreeClassifier(ccp_alpha=0.00010795454545454544, random_state=0)",0.00010795454545454544,0.977,0.2455,0.029829831466842358,6777,50
"DecisionTreeClassifier(ccp_alpha=0.00010795454545454544, random_state=0)",0.00010795454545454544,0.977,0.2455,0.03026164964866054,6777,50
"DecisionTreeClassifier(ccp_alpha=0.00010937499999999999, random_state=0)",0.00010937499999999999,0.976625,0.2455,0.03048039964866054,6765,50
"DecisionTreeClassifier(ccp_alpha=0.00010937499999999999, random_state=0)",0.00010937499999999999,0.976625,0.2455,0.03091789964866054,6765,50
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.974125,0.2445,0.03113664964866054,6685,50
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.974125,0.2445,0.03135539964866054,6685,50
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.974125,0.2445,0.03157414964866054,6685,50
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.974125,0.2445,0.031792899648660534,6685,50
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.974125,0.2445,0.03201164964866053,6685,50
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.974125,0.2445,0.03223039964866053,6685,50
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.974125,0.2445,0.032449149648660525,6685,50
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.974125,0.2445,0.03266789964866052,6685,50
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.974125,0.2445,0.03288664964866052,6685,50
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.974125,0.2445,0.033105399648660515,6685,50
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.974125,0.2445,0.03332414964866051,6685,50
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.974125,0.2445,0.03354289964866051,6685,50
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.974125,0.2445,0.033761649648660505,6685,50
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.974125,0.2445,0.0339803996486605,6685,50
