models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.990125,0.458,0.011797949530689468,4719,76
"DecisionTreeClassifier(ccp_alpha=3.289473684210849e-07, random_state=0)",3.289473684210849e-07,0.990125,0.458,0.011798278478057889,4717,76
"DecisionTreeClassifier(ccp_alpha=2.0833333333333343e-05, random_state=0)",2.0833333333333343e-05,0.990125,0.458,0.011819111811391222,4715,76
"DecisionTreeClassifier(ccp_alpha=2.9201680672269383e-05, random_state=0)",2.9201680672269383e-05,0.990125,0.458,0.011848313492063492,4713,76
"DecisionTreeClassifier(ccp_alpha=3.125e-05, random_state=0)",3.125e-05,0.990125,0.458,0.011910813492063492,4705,76
"DecisionTreeClassifier(ccp_alpha=3.125e-05, random_state=0)",3.125e-05,0.990125,0.458,0.011973313492063492,4705,76
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.990125,0.4575,0.012014980158730159,4699,76
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.990125,0.4575,0.012056646825396826,4699,76
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.990125,0.4575,0.012098313492063494,4699,76
"DecisionTreeClassifier(ccp_alpha=4.687499999999999e-05, random_state=0)",4.687499999999999e-05,0.990125,0.4575,0.012145188492063494,4697,76
"DecisionTreeClassifier(ccp_alpha=5.2083333333333343e-05, random_state=0)",5.2083333333333343e-05,0.990125,0.4575,0.012249355158730161,4693,76
"DecisionTreeClassifier(ccp_alpha=5.462184873949571e-05, random_state=0)",5.462184873949571e-05,0.990125,0.4575,0.012303977007469658,4691,76
"DecisionTreeClassifier(ccp_alpha=5.503048780487784e-05, random_state=0)",5.503048780487784e-05,0.990125,0.4575,0.012359007495274535,4689,76
"DecisionTreeClassifier(ccp_alpha=6.25e-05, random_state=0)",6.25e-05,0.990125,0.4575,0.012421507495274535,4687,76
"DecisionTreeClassifier(ccp_alpha=6.666666666666666e-05, random_state=0)",6.666666666666666e-05,0.99,0.4575,0.012554840828607867,4683,76
"DecisionTreeClassifier(ccp_alpha=6.944444444444444e-05, random_state=0)",6.944444444444444e-05,0.989875,0.4575,0.0127631741619412,4677,76
