models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.990625,0.48,0.009423611111111112,811,27
"DecisionTreeClassifier(ccp_alpha=7.936507936507145e-06, random_state=0)",7.936507936507145e-06,0.990625,0.48,0.009431547619047619,809,27
"DecisionTreeClassifier(ccp_alpha=0.00013533834586466377, random_state=0)",0.00013533834586466377,0.99,0.4775,0.009566885964912283,807,27
"DecisionTreeClassifier(ccp_alpha=0.0002544358054226469, random_state=0)",0.0002544358054226469,0.99,0.4775,0.010075757575757576,803,27
"DecisionTreeClassifier(ccp_alpha=0.00035714285714285725, random_state=0)",0.00035714285714285725,0.989375,0.48,0.011147186147186149,797,27
"DecisionTreeClassifier(ccp_alpha=0.0004021836007130127, random_state=0)",0.0004021836007130127,0.98875,0.48,0.011549369747899161,795,27
"DecisionTreeClassifier(ccp_alpha=0.00043670508744038123, random_state=0)",0.00043670508744038123,0.988125,0.48,0.012422779922779924,791,27
"DecisionTreeClassifier(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.9875,0.48,0.013360279922779925,787,27
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333333, random_state=0)",0.0005208333333333333,0.986875,0.4825,0.014401946589446591,783,27
"DecisionTreeClassifier(ccp_alpha=0.0005357142857142858, random_state=0)",0.0005357142857142858,0.984375,0.4825,0.015473375160875163,767,27
"DecisionTreeClassifier(ccp_alpha=0.0005357142857142858, random_state=0)",0.0005357142857142858,0.984375,0.4825,0.016544803732303735,767,27
"DecisionTreeClassifier(ccp_alpha=0.0005357142857142858, random_state=0)",0.0005357142857142858,0.984375,0.4825,0.01868766087516088,767,27
"DecisionTreeClassifier(ccp_alpha=0.0005416666666666668, random_state=0)",0.0005416666666666668,0.983125,0.4825,0.020854327541827547,759,27
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.981875,0.4825,0.02196543865293866,751,27
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.981875,0.4825,0.02307654976404977,751,27
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.980625,0.4825,0.02532654976404977,743,27
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818183, random_state=0)",0.0005681818181818183,0.97875,0.4825,0.02646291340041341,731,27
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818183, random_state=0)",0.0005681818181818183,0.97875,0.4825,0.027599277036777045,731,27
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818183, random_state=0)",0.0005681818181818183,0.97875,0.4825,0.028735640673140682,731,27
"DecisionTreeClassifier(ccp_alpha=0.0005706521739130434, random_state=0)",0.0005706521739130434,0.9775,0.4825,0.031018249368792855,723,27
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.976875,0.4825,0.03216408270212619,719,27
"DecisionTreeClassifier(ccp_alpha=0.0005769230769230767, random_state=0)",0.0005769230769230767,0.97625,0.4825,0.03331792885597234,715,27
"DecisionTreeClassifier(ccp_alpha=0.0005787037037037037, random_state=0)",0.0005787037037037037,0.975,0.4825,0.035632743670787156,707,27
"DecisionTreeClassifier(ccp_alpha=0.000580357142857143, random_state=0)",0.000580357142857143,0.974375,0.48,0.03679345795650144,703,27
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.973125,0.48,0.03796012462316811,695,27
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.973125,0.48,0.03912679128983478,695,27
"DecisionTreeClassifier(ccp_alpha=0.0005952380952380954, random_state=0)",0.0005952380952380954,0.9725,0.48,0.040317267480310975,691,27
"DecisionTreeClassifier(ccp_alpha=0.0005978260869565219, random_state=0)",0.0005978260869565219,0.971875,0.48,0.04151291965422402,687,27
"DecisionTreeClassifier(ccp_alpha=0.0005989583333333337, random_state=0)",0.0005989583333333337,0.97125,0.48,0.042710836320890684,683,27
"DecisionTreeClassifier(ccp_alpha=0.0006009615384615388, random_state=0)",0.0006009615384615388,0.970625,0.48,0.043912759397813764,679,27
"DecisionTreeClassifier(ccp_alpha=0.0006034482758620685, random_state=0)",0.0006034482758620685,0.97,0.48,0.0451196559495379,675,27
"DecisionTreeClassifier(ccp_alpha=0.00060546875, random_state=0)",0.00060546875,0.969375,0.48,0.0463305934495379,671,27
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.965625,0.48,0.047830593449537905,659,27
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.965625,0.48,0.049330593449537906,659,27
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.965625,0.48,0.05083059344953791,659,27
"DecisionTreeClassifier(ccp_alpha=0.0007500000000000002, random_state=0)",0.0007500000000000002,0.965,0.48,0.05308059344953791,653,27
"DecisionTreeClassifier(ccp_alpha=0.0007812499999999999, random_state=0)",0.0007812499999999999,0.963125,0.48,0.05542434344953791,647,27
"DecisionTreeClassifier(ccp_alpha=0.0008035714285714282, random_state=0)",0.0008035714285714282,0.9625,0.48,0.05622791487810934,645,27
