models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.98525,0.241,0.017327091977141735,7035,54
"DecisionTreeClassifier(ccp_alpha=2.4999999999999957e-05, random_state=0)",2.4999999999999957e-05,0.98525,0.241,0.017352091977141736,7033,54
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.98525,0.241,0.0173937586438084,7027,54
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.98525,0.241,0.017435425310475067,7027,54
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.98525,0.241,0.017477091977141732,7027,54
"DecisionTreeClassifier(ccp_alpha=4.915966386554588e-05, random_state=0)",4.915966386554588e-05,0.98525,0.241,0.017526251641007278,7025,54
"DecisionTreeClassifier(ccp_alpha=4.939613526570071e-05, random_state=0)",4.939613526570071e-05,0.98525,0.241,0.01757564777627298,7023,54
"DecisionTreeClassifier(ccp_alpha=6.25e-05, random_state=0)",6.25e-05,0.98525,0.241,0.01763814777627298,7021,54
"DecisionTreeClassifier(ccp_alpha=7.361983254840394e-05, random_state=0)",7.361983254840394e-05,0.98525,0.241,0.017711767608821385,7019,54
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.98425,0.241,0.01787843427548805,6989,54
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.98425,0.241,0.018045100942154717,6989,54
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.98425,0.241,0.018211767608821382,6989,54
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.98425,0.241,0.018461767608821383,6989,54
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.98425,0.241,0.018795100942154717,6989,54
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.98425,0.241,0.018961767608821383,6989,54
"DecisionTreeClassifier(ccp_alpha=8.788798920377882e-05, random_state=0)",8.788798920377882e-05,0.984125,0.2405,0.019049655598025163,6987,54
"DecisionTreeClassifier(ccp_alpha=9.034749034749021e-05, random_state=0)",9.034749034749021e-05,0.984125,0.2405,0.019140003088372652,6985,54
"DecisionTreeClassifier(ccp_alpha=9.16666666666667e-05, random_state=0)",9.16666666666667e-05,0.98375,0.2405,0.019323336421705986,6973,52
"DecisionTreeClassifier(ccp_alpha=9.16666666666667e-05, random_state=0)",9.16666666666667e-05,0.98375,0.2405,0.01950666975503932,6973,52
"DecisionTreeClassifier(ccp_alpha=9.16666666666667e-05, random_state=0)",9.16666666666667e-05,0.98375,0.2405,0.019690003088372654,6973,52
"DecisionTreeClassifier(ccp_alpha=9.34294871794872e-05, random_state=0)",9.34294871794872e-05,0.98325,0.2405,0.020250580011449578,6961,52
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982,0.2405,0.020438080011449578,6925,52
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982,0.2405,0.02062558001144958,6925,52
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982,0.2405,0.02081308001144958,6925,52
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982,0.2405,0.02100058001144958,6925,52
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982,0.2405,0.02137558001144958,6925,52
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982,0.2405,0.02156308001144958,6925,52
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982,0.2405,0.02175058001144958,6925,52
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982,0.2405,0.02193808001144958,6925,52
"DecisionTreeClassifier(ccp_alpha=9.583333333333335e-05, random_state=0)",9.583333333333335e-05,0.9815,0.2405,0.022321413344782912,6917,52
"DecisionTreeClassifier(ccp_alpha=9.738243123336284e-05, random_state=0)",9.738243123336284e-05,0.981375,0.241,0.02251617820724964,6913,52
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979625,0.2405,0.022716178207249638,6857,52
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979625,0.2405,0.022916178207249636,6857,52
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979625,0.2405,0.023116178207249635,6857,52
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979625,0.2405,0.023316178207249634,6857,52
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979625,0.2405,0.023516178207249633,6857,52
