models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.98675,0.3425,0.0177592257172199,6361,76
"DecisionTreeClassifier(ccp_alpha=2.0833333333333316e-05, random_state=0)",2.0833333333333316e-05,0.98675,0.3425,0.017780059050553236,6359,76
"DecisionTreeClassifier(ccp_alpha=2.0833333333333343e-05, random_state=0)",2.0833333333333343e-05,0.98675,0.3425,0.01780089238388657,6357,76
"DecisionTreeClassifier(ccp_alpha=2.3574561403509782e-05, random_state=0)",2.3574561403509782e-05,0.98675,0.3425,0.01782446694529008,6355,76
"DecisionTreeClassifier(ccp_alpha=2.496693121693122e-05, random_state=0)",2.496693121693122e-05,0.98675,0.3425,0.01784943387650701,6353,76
"DecisionTreeClassifier(ccp_alpha=2.7087737843552607e-05, random_state=0)",2.7087737843552607e-05,0.98675,0.3425,0.017876521614350563,6351,76
"DecisionTreeClassifier(ccp_alpha=2.9006410256410698e-05, random_state=0)",2.9006410256410698e-05,0.98675,0.3425,0.017905528024606973,6349,76
"DecisionTreeClassifier(ccp_alpha=3.3333333333333294e-05, random_state=0)",3.3333333333333294e-05,0.98675,0.3425,0.017938861357940306,6347,76
"DecisionTreeClassifier(ccp_alpha=3.333333333333335e-05, random_state=0)",3.333333333333335e-05,0.98675,0.3425,0.01797219469127364,6345,76
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.98675,0.3425,0.018013861357940305,6341,76
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.98675,0.3425,0.01805552802460697,6341,76
"DecisionTreeClassifier(ccp_alpha=4.583333333333338e-05, random_state=0)",4.583333333333338e-05,0.98675,0.3425,0.018101361357940302,6339,76
"DecisionTreeClassifier(ccp_alpha=4.826046798029563e-05, random_state=0)",4.826046798029563e-05,0.98675,0.3425,0.018197882293900895,6335,76
"DecisionTreeClassifier(ccp_alpha=6.187343358395915e-05, random_state=0)",6.187343358395915e-05,0.98675,0.3425,0.018321629161068814,6331,76
"DecisionTreeClassifier(ccp_alpha=6.250000000000016e-05, random_state=0)",6.250000000000016e-05,0.98675,0.3425,0.018384129161068814,6329,76
"DecisionTreeClassifier(ccp_alpha=6.666666666666659e-05, random_state=0)",6.666666666666659e-05,0.98675,0.3425,0.01845079582773548,6327,76
"DecisionTreeClassifier(ccp_alpha=7.63888888888889e-05, random_state=0)",7.63888888888889e-05,0.986625,0.3425,0.018679962494402146,6321,76
"DecisionTreeClassifier(ccp_alpha=7.719780219780318e-05, random_state=0)",7.719780219780318e-05,0.986625,0.3425,0.018757160296599948,6319,76
"DecisionTreeClassifier(ccp_alpha=7.8125e-05, random_state=0)",7.8125e-05,0.9865,0.3425,0.018991535296599946,6313,76
"DecisionTreeClassifier(ccp_alpha=8.035714285714285e-05, random_state=0)",8.035714285714285e-05,0.986375,0.3425,0.019232606725171374,6307,76
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.985875,0.342,0.01939927339183804,6291,76
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.985875,0.342,0.019565940058504705,6291,76
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.985875,0.342,0.01973260672517137,6291,76
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.985875,0.342,0.019899273391838036,6291,76
"DecisionTreeClassifier(ccp_alpha=8.645833333333314e-05, random_state=0)",8.645833333333314e-05,0.98575,0.342,0.0200721900585047,6287,76
"DecisionTreeClassifier(ccp_alpha=9.166666666666667e-05, random_state=0)",9.166666666666667e-05,0.9855,0.342,0.020347190058504702,6281,76
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.983625,0.343,0.020534690058504702,6221,76
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.983625,0.343,0.020722190058504703,6221,76
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.983625,0.343,0.020909690058504703,6221,76
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.983625,0.343,0.021097190058504703,6221,76
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.983625,0.343,0.021284690058504703,6221,76
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.983625,0.343,0.021472190058504703,6221,76
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.983625,0.343,0.021659690058504703,6221,76
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.983625,0.343,0.021847190058504704,6221,76
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.983625,0.343,0.022034690058504704,6221,76
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.983625,0.343,0.022222190058504704,6221,76
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.983625,0.343,0.022409690058504704,6221,76
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.983625,0.343,0.022597190058504704,6221,76
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.983625,0.343,0.022784690058504704,6221,76
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.983625,0.343,0.022972190058504705,6221,76
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.983625,0.343,0.023159690058504705,6221,76
"DecisionTreeClassifier(ccp_alpha=9.722222222222211e-05, random_state=0)",9.722222222222211e-05,0.983375,0.3435,0.02345135672517137,6215,76
"DecisionTreeClassifier(ccp_alpha=9.82193329564728e-05, random_state=0)",9.82193329564728e-05,0.98325,0.343,0.023647795391084317,6211,76
"DecisionTreeClassifier(ccp_alpha=9.865698328511709e-05, random_state=0)",9.865698328511709e-05,0.983,0.344,0.024042423324224786,6203,76
"DecisionTreeClassifier(ccp_alpha=9.880952380952381e-05, random_state=0)",9.880952380952381e-05,0.982625,0.344,0.024734089990891453,6189,75
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.9795,0.3445,0.024934089990891452,6089,75
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.9795,0.3445,0.02513408999089145,6089,75
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.9795,0.3445,0.02533408999089145,6089,75
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.9795,0.3445,0.025534089990891448,6089,75
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.9795,0.3445,0.025734089990891447,6089,75
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.9795,0.3445,0.025934089990891446,6089,75
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.9795,0.3445,0.026134089990891445,6089,75
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.9795,0.3445,0.026334089990891443,6089,75
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.9795,0.3445,0.026534089990891442,6089,75
