models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.98775,0.48,0.014401697392831115,4859,58
"DecisionTreeClassifier(ccp_alpha=1.1174968071515391e-06, random_state=0)",1.1174968071515391e-06,0.98775,0.48,0.014403932386445419,4855,58
"DecisionTreeClassifier(ccp_alpha=2.0921610169491673e-05, random_state=0)",2.0921610169491673e-05,0.98775,0.48,0.014445775606784401,4851,58
"DecisionTreeClassifier(ccp_alpha=2.9166666666666693e-05, random_state=0)",2.9166666666666693e-05,0.98775,0.48,0.014504108940117735,4847,58
"DecisionTreeClassifier(ccp_alpha=3.125e-05, random_state=0)",3.125e-05,0.98775,0.48,0.014566608940117735,4843,58
"DecisionTreeClassifier(ccp_alpha=3.333333333333327e-05, random_state=0)",3.333333333333327e-05,0.98775,0.48,0.014633275606784402,4839,58
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.98775,0.48,0.014674942273451069,4831,58
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.98775,0.48,0.014716608940117736,4831,58
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.98775,0.48,0.014758275606784403,4831,58
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.98775,0.48,0.01479994227345107,4831,58
"DecisionTreeClassifier(ccp_alpha=5.2931369824951464e-05, random_state=0)",5.2931369824951464e-05,0.98775,0.48,0.014852873643276022,4829,58
"DecisionTreeClassifier(ccp_alpha=5.3477498538866564e-05, random_state=0)",5.3477498538866564e-05,0.98775,0.48,0.014906351141814888,4827,58
"DecisionTreeClassifier(ccp_alpha=5.78525641025643e-05, random_state=0)",5.78525641025643e-05,0.98775,0.48,0.014964203705917452,4825,58
"DecisionTreeClassifier(ccp_alpha=6.25e-05, random_state=0)",6.25e-05,0.98775,0.48,0.015026703705917452,4823,58
"DecisionTreeClassifier(ccp_alpha=6.666666666666666e-05, random_state=0)",6.666666666666666e-05,0.9875,0.4805,0.015160037039250784,4813,58
"DecisionTreeClassifier(ccp_alpha=6.666666666666666e-05, random_state=0)",6.666666666666666e-05,0.9875,0.4805,0.015360037039250785,4813,58
"DecisionTreeClassifier(ccp_alpha=6.860465116279068e-05, random_state=0)",6.860465116279068e-05,0.987375,0.4805,0.015497246341576367,4809,58
"DecisionTreeClassifier(ccp_alpha=6.944444444444444e-05, random_state=0)",6.944444444444444e-05,0.98725,0.4805,0.015705579674909702,4803,58
"DecisionTreeClassifier(ccp_alpha=7.252824858757076e-05, random_state=0)",7.252824858757076e-05,0.987125,0.4805,0.01577810792349727,4801,58
"DecisionTreeClassifier(ccp_alpha=7.291666666666666e-05, random_state=0)",7.291666666666666e-05,0.987,0.48,0.015923941256830606,4797,58
"DecisionTreeClassifier(ccp_alpha=7.5e-05, random_state=0)",7.5e-05,0.98675,0.48,0.016223941256830608,4789,58
"DecisionTreeClassifier(ccp_alpha=7.73809523809524e-05, random_state=0)",7.73809523809524e-05,0.986625,0.48,0.016456084113973465,4783,58
"DecisionTreeClassifier(ccp_alpha=7.87037037037037e-05, random_state=0)",7.87037037037037e-05,0.986,0.4805,0.017164417447306797,4765,58
"DecisionTreeClassifier(ccp_alpha=7.894736842105267e-05, random_state=0)",7.894736842105267e-05,0.985875,0.4805,0.017401259552569954,4759,58
"DecisionTreeClassifier(ccp_alpha=7.916666666666684e-05, random_state=0)",7.916666666666684e-05,0.985875,0.4805,0.017480426219236622,4757,58
"DecisionTreeClassifier(ccp_alpha=8.125000000000002e-05, random_state=0)",8.125000000000002e-05,0.98575,0.48,0.01764292621923662,4753,58
"DecisionTreeClassifier(ccp_alpha=8.181818181818183e-05, random_state=0)",8.181818181818183e-05,0.9855,0.48,0.01805201712832753,4743,54
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.985,0.4805,0.01830201712832753,4727,54
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.985,0.4805,0.01855201712832753,4727,54
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.985,0.4805,0.018718683794994195,4727,54
"DecisionTreeClassifier(ccp_alpha=8.425245098039216e-05, random_state=0)",8.425245098039216e-05,0.9845,0.48,0.019392703402837334,4711,54
"DecisionTreeClassifier(ccp_alpha=8.750000000000003e-05, random_state=0)",8.750000000000003e-05,0.984375,0.4805,0.019567703402837335,4707,54
"DecisionTreeClassifier(ccp_alpha=9.201388888888889e-05, random_state=0)",9.201388888888889e-05,0.984125,0.4815,0.01993575895839289,4699,54
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.983125,0.482,0.02012325895839289,4667,54
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.983125,0.482,0.02031075895839289,4667,54
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.983125,0.482,0.02049825895839289,4667,54
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.983125,0.482,0.02068575895839289,4667,54
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.983125,0.482,0.02087325895839289,4667,54
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.983125,0.482,0.02106075895839289,4667,54
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.983125,0.482,0.021248258958392892,4667,54
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.983125,0.482,0.021435758958392892,4667,54
"DecisionTreeClassifier(ccp_alpha=9.545454545454535e-05, random_state=0)",9.545454545454535e-05,0.983,0.4815,0.021626668049301984,4663,54
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.982125,0.482,0.021826668049301983,4635,54
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.982125,0.482,0.022026668049301982,4635,54
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.982125,0.482,0.02222666804930198,4635,54
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.982125,0.482,0.02242666804930198,4635,54
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.982125,0.482,0.022626668049301978,4635,54
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.982125,0.482,0.022826668049301977,4635,54
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.982125,0.482,0.023026668049301976,4635,54
"DecisionTreeClassifier(ccp_alpha=0.00010138157894736838, random_state=0)",0.00010138157894736838,0.981875,0.4825,0.023533575944038817,4625,54
