models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.982625,0.2415,0.020758246135862416,7189,69
DecisionTreeClassifier(random_state=0),0.0,0.982625,0.2415,0.020758246135862416,7189,69
"DecisionTreeClassifier(ccp_alpha=3.125e-05, random_state=0)",3.125e-05,0.982625,0.2425,0.020820746135862416,7179,69
"DecisionTreeClassifier(ccp_alpha=3.125e-05, random_state=0)",3.125e-05,0.982625,0.2425,0.020883246135862416,7179,69
"DecisionTreeClassifier(ccp_alpha=3.7499999999999976e-05, random_state=0)",3.7499999999999976e-05,0.982625,0.2425,0.020958246135862415,7175,69
"DecisionTreeClassifier(ccp_alpha=3.779069767441846e-05, random_state=0)",3.779069767441846e-05,0.982625,0.2435,0.020996036833536832,7173,69
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.982625,0.2435,0.021037703500203498,7171,69
"DecisionTreeClassifier(ccp_alpha=4.999999999999997e-05, random_state=0)",4.999999999999997e-05,0.982625,0.2435,0.0210877035002035,7169,69
"DecisionTreeClassifier(ccp_alpha=6.25e-05, random_state=0)",6.25e-05,0.982625,0.243,0.0211502035002035,7165,69
"DecisionTreeClassifier(ccp_alpha=6.25e-05, random_state=0)",6.25e-05,0.982625,0.243,0.0212127035002035,7165,69
"DecisionTreeClassifier(ccp_alpha=6.328538359788322e-05, random_state=0)",6.328538359788322e-05,0.982625,0.243,0.021339274267399268,7161,67
"DecisionTreeClassifier(ccp_alpha=6.428571428571429e-05, random_state=0)",6.428571428571429e-05,0.9825,0.243,0.021467845695970697,7157,67
"DecisionTreeClassifier(ccp_alpha=6.666666666666666e-05, random_state=0)",6.666666666666666e-05,0.982375,0.243,0.02160117902930403,7153,67
"DecisionTreeClassifier(ccp_alpha=6.71296296296296e-05, random_state=0)",6.71296296296296e-05,0.98225,0.243,0.02180256791819292,7147,67
"DecisionTreeClassifier(ccp_alpha=7.142857142857146e-05, random_state=0)",7.142857142857146e-05,0.982125,0.243,0.021873996489621492,7145,67
"DecisionTreeClassifier(ccp_alpha=7.492883022774376e-05, random_state=0)",7.492883022774376e-05,0.982,0.2425,0.022098782980304724,7139,67
"DecisionTreeClassifier(ccp_alpha=7.500000000000002e-05, random_state=0)",7.500000000000002e-05,0.981875,0.2425,0.022323782980304723,7133,67
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9805,0.2435,0.02249044964697139,7091,67
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9805,0.2435,0.022657116313638054,7091,67
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9805,0.2435,0.02282378298030472,7091,67
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9805,0.2435,0.02307378298030472,7091,67
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9805,0.2435,0.023240449646971386,7091,67
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9805,0.2435,0.02340711631363805,7091,67
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9805,0.2435,0.023573782980304717,7091,67
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9805,0.2435,0.023740449646971383,7091,67
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9805,0.2435,0.02390711631363805,7091,67
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9805,0.2435,0.024073782980304714,7091,67
"DecisionTreeClassifier(ccp_alpha=8.638938580799057e-05, random_state=0)",8.638938580799057e-05,0.98025,0.2445,0.024419340523536677,7083,64
"DecisionTreeClassifier(ccp_alpha=8.750000000000001e-05, random_state=0)",8.750000000000001e-05,0.980125,0.2445,0.024506840523536678,7081,64
"DecisionTreeClassifier(ccp_alpha=8.928571428571431e-05, random_state=0)",8.928571428571431e-05,0.98,0.245,0.02477469766639382,7075,64
