models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.99375,0.355,0.0085,649,30
"DecisionTreeClassifier(ccp_alpha=0.00022727272727272744, random_state=0)",0.00022727272727272744,0.99375,0.355,0.008954545454545455,645,30
"DecisionTreeClassifier(ccp_alpha=0.00022860962566844875, random_state=0)",0.00022860962566844875,0.99375,0.355,0.009411764705882352,641,30
"DecisionTreeClassifier(ccp_alpha=0.0005882352941176481, random_state=0)",0.0005882352941176481,0.99375,0.355,0.01,639,30
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.99125,0.355,0.011875,631,30
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.99125,0.355,0.01375,631,30
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.99,0.355,0.01575,627,30
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.98875,0.355,0.017833333333333333,623,29
"DecisionTreeClassifier(ccp_alpha=0.00109375, random_state=0)",0.00109375,0.98625,0.35,0.020020833333333335,615,29
"DecisionTreeClassifier(ccp_alpha=0.00109375, random_state=0)",0.00109375,0.98625,0.35,0.022208333333333337,615,29
"DecisionTreeClassifier(ccp_alpha=0.0011111111111111111, random_state=0)",0.0011111111111111111,0.985,0.355,0.02443055555555556,611,29
"DecisionTreeClassifier(ccp_alpha=0.0011250000000000003, random_state=0)",0.0011250000000000003,0.98375,0.355,0.02668055555555556,607,29
"DecisionTreeClassifier(ccp_alpha=0.0011363636363636365, random_state=0)",0.0011363636363636365,0.9825,0.355,0.028953282828282835,603,29
"DecisionTreeClassifier(ccp_alpha=0.0011419753086419756, random_state=0)",0.0011419753086419756,0.97875,0.36,0.03580513468013469,591,29
"DecisionTreeClassifier(ccp_alpha=0.0011458333333333333, random_state=0)",0.0011458333333333333,0.9775,0.36,0.03809680134680135,587,29
"DecisionTreeClassifier(ccp_alpha=0.0011574074074074071, random_state=0)",0.0011574074074074071,0.97375,0.365,0.04504124579124579,575,29
"DecisionTreeClassifier(ccp_alpha=0.001160714285714286, random_state=0)",0.001160714285714286,0.9725,0.365,0.04736267436267436,571,29
"DecisionTreeClassifier(ccp_alpha=0.001171875, random_state=0)",0.001171875,0.97,0.365,0.05205017436267436,563,29
"DecisionTreeClassifier(ccp_alpha=0.0011728395061728393, random_state=0)",0.0011728395061728393,0.9675,0.365,0.05556869288119288,557,29
"DecisionTreeClassifier(ccp_alpha=0.0011764705882352944, random_state=0)",0.0011764705882352944,0.96625,0.365,0.05792163405766347,553,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.06042163405766347,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.061671634057663474,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.06292163405766348,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.06417163405766348,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.06542163405766348,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.06792163405766348,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.06917163405766348,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.07042163405766348,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.07417163405766349,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.07792163405766349,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.07917163405766349,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.08042163405766349,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.08167163405766349,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.08292163405766349,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.0841716340576635,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.0854216340576635,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.0866716340576635,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.0879216340576635,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.0891716340576635,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.0904216340576635,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.0916716340576635,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.0929216340576635,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.0941716340576635,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.0966716340576635,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.0979216340576635,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.10042163405766351,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.10167163405766351,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.10292163405766351,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.10417163405766351,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.10542163405766351,473,29
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.9175,0.36,0.10792163405766352,473,29
"DecisionTreeClassifier(ccp_alpha=0.0014285714285714284, random_state=0)",0.0014285714285714284,0.91375,0.365,0.1122073483433778,467,28
"DecisionTreeClassifier(ccp_alpha=0.0014583333333333332, random_state=0)",0.0014583333333333332,0.9125,0.365,0.11512401501004446,463,28
"DecisionTreeClassifier(ccp_alpha=0.0014583333333333336, random_state=0)",0.0014583333333333336,0.9075,0.365,0.12241568167671113,453,28
"DecisionTreeClassifier(ccp_alpha=0.001463963963963964, random_state=0)",0.001463963963963964,0.90375,0.37,0.1311994654604949,441,28
"DecisionTreeClassifier(ccp_alpha=0.0014999999999999998, random_state=0)",0.0014999999999999998,0.90125,0.37,0.1356994654604949,435,28
"DecisionTreeClassifier(ccp_alpha=0.0015, random_state=0)",0.0015,0.89625,0.37,0.13869946546049491,427,28
"DecisionTreeClassifier(ccp_alpha=0.0015, random_state=0)",0.0015,0.89625,0.37,0.14169946546049492,427,28
"DecisionTreeClassifier(ccp_alpha=0.0015340909090909086, random_state=0)",0.0015340909090909086,0.895,0.37,0.14476764727867675,423,28
"DecisionTreeClassifier(ccp_alpha=0.0015624999999999999, random_state=0)",0.0015624999999999999,0.89125,0.37,0.14945514727867676,417,28
"DecisionTreeClassifier(ccp_alpha=0.0015625, random_state=0)",0.0015625,0.88875,0.37,0.15258014727867675,413,28
"DecisionTreeClassifier(ccp_alpha=0.0015833333333333333, random_state=0)",0.0015833333333333333,0.88625,0.375,0.15416348061201007,409,28
"DecisionTreeClassifier(ccp_alpha=0.0015833333333333333, random_state=0)",0.0015833333333333333,0.88625,0.375,0.1557468139453434,409,28
"DecisionTreeClassifier(ccp_alpha=0.0016071428571428582, random_state=0)",0.0016071428571428582,0.88375,0.375,0.15896109965962912,405,28
"DecisionTreeClassifier(ccp_alpha=0.0016319444444444441, random_state=0)",0.0016319444444444441,0.88125,0.38,0.16222498854851802,401,28
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.85875,0.39,0.1638916552151847,365,28
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.85875,0.39,0.16555832188185138,365,28
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.85875,0.39,0.16722498854851806,365,28
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.85875,0.39,0.16889165521518473,365,28
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.85875,0.39,0.1705583218818514,365,28
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.85875,0.39,0.1722249885485181,365,28
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.85875,0.39,0.17389165521518476,365,28
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.85875,0.39,0.17555832188185144,365,28
