models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9904166666666666,0.3233333333333333,0.01110978835978836,1741,40
"DecisionTreeClassifier(ccp_alpha=3.5014005602242507e-06, random_state=0)",3.5014005602242507e-06,0.9904166666666666,0.3233333333333333,0.011113289760348585,1739,40
"DecisionTreeClassifier(ccp_alpha=1.9607843137254936e-05, random_state=0)",1.9607843137254936e-05,0.9904166666666666,0.3233333333333333,0.01113289760348584,1737,40
"DecisionTreeClassifier(ccp_alpha=0.00017592592592592616, random_state=0)",0.00017592592592592616,0.9904166666666666,0.3233333333333333,0.011308823529411767,1735,40
"DecisionTreeClassifier(ccp_alpha=0.00024782135076252803, random_state=0)",0.00024782135076252803,0.9904166666666666,0.3233333333333333,0.011556644880174296,1733,40
"DecisionTreeClassifier(ccp_alpha=0.0002655945419103309, random_state=0)",0.0002655945419103309,0.99,0.3233333333333333,0.011822239422084626,1731,40
"DecisionTreeClassifier(ccp_alpha=0.00027089783281733764, random_state=0)",0.00027089783281733764,0.9895833333333334,0.3233333333333333,0.012364035087719301,1727,38
"DecisionTreeClassifier(ccp_alpha=0.00029545454545454536, random_state=0)",0.00029545454545454536,0.9891666666666666,0.3233333333333333,0.012659489633173846,1725,38
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9879166666666667,0.3233333333333333,0.013284489633173847,1713,38
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9879166666666667,0.3233333333333333,0.013909489633173847,1713,38
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9879166666666667,0.3233333333333333,0.014534489633173848,1713,38
"DecisionTreeClassifier(ccp_alpha=0.00032236842105263196, random_state=0)",0.00032236842105263196,0.9875,0.3233333333333333,0.01485685805422648,1711,38
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.98625,0.3233333333333333,0.015523524720893146,1699,38
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.98625,0.3233333333333333,0.016190191387559814,1699,38
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.98625,0.3233333333333333,0.01685685805422648,1699,38
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9845833333333334,0.325,0.017551302498670925,1683,38
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9845833333333334,0.325,0.01824574694311537,1683,38
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9845833333333334,0.325,0.018940191387559816,1683,38
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9845833333333334,0.325,0.01963463583200426,1683,38
"DecisionTreeClassifier(ccp_alpha=0.00035416666666666664, random_state=0)",0.00035416666666666664,0.98375,0.325,0.02105130249867093,1675,38
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.9808333333333333,0.32666666666666666,0.021765588212956644,1647,38
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.9808333333333333,0.32666666666666666,0.02247987392724236,1647,38
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.9808333333333333,0.32666666666666666,0.023194159641528076,1647,38
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.9808333333333333,0.32666666666666666,0.023908445355813792,1647,38
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.9808333333333333,0.32666666666666666,0.024622731070099508,1647,38
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.9808333333333333,0.32666666666666666,0.025337016784385224,1647,38
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.9808333333333333,0.32666666666666666,0.02605130249867094,1647,38
"DecisionTreeClassifier(ccp_alpha=0.0003642257818459189, random_state=0)",0.0003642257818459189,0.9804166666666667,0.325,0.026779754062362778,1643,37
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9775,0.3233333333333333,0.027508920729029444,1615,37
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9775,0.3233333333333333,0.02823808739569611,1615,37
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9775,0.3233333333333333,0.028967254062362776,1615,37
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9775,0.3233333333333333,0.029696420729029442,1615,37
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9775,0.3233333333333333,0.03042558739569611,1615,37
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9775,0.3233333333333333,0.031154754062362774,1615,37
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9775,0.3233333333333333,0.031883920729029444,1615,37
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.97625,0.3233333333333333,0.03262466146977019,1603,37
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.97625,0.3233333333333333,0.03336540221051093,1603,37
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.97625,0.3233333333333333,0.034106142951251674,1603,37
"DecisionTreeClassifier(ccp_alpha=0.00037202380952380945, random_state=0)",0.00037202380952380945,0.9745833333333334,0.32166666666666666,0.03559423818934691,1587,37
"DecisionTreeClassifier(ccp_alpha=0.00037202380952380945, random_state=0)",0.00037202380952380945,0.9745833333333334,0.32166666666666666,0.03708233342744215,1587,37
"DecisionTreeClassifier(ccp_alpha=0.000375, random_state=0)",0.000375,0.9741666666666666,0.32166666666666666,0.037457333427442153,1585,37
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.9729166666666667,0.32166666666666666,0.038207333427442154,1573,37
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.9729166666666667,0.32166666666666666,0.038957333427442155,1573,37
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.9729166666666667,0.32166666666666666,0.039707333427442155,1573,37
"DecisionTreeClassifier(ccp_alpha=0.00037878787878787884, random_state=0)",0.00037878787878787884,0.9720833333333333,0.32166666666666666,0.04046490918501791,1565,37
"DecisionTreeClassifier(ccp_alpha=0.00037878787878787884, random_state=0)",0.00037878787878787884,0.9720833333333333,0.32166666666666666,0.041222484942593667,1565,37
"DecisionTreeClassifier(ccp_alpha=0.00038461538461538445, random_state=0)",0.00038461538461538445,0.9708333333333333,0.3233333333333333,0.04199171571182444,1553,37
"DecisionTreeClassifier(ccp_alpha=0.00038461538461538445, random_state=0)",0.00038461538461538445,0.9708333333333333,0.3233333333333333,0.04276094648105521,1553,37
"DecisionTreeClassifier(ccp_alpha=0.00038461538461538445, random_state=0)",0.00038461538461538445,0.9708333333333333,0.3233333333333333,0.04353017725028598,1553,37
"DecisionTreeClassifier(ccp_alpha=0.000388888888888889, random_state=0)",0.000388888888888889,0.9704166666666667,0.325,0.04430795502806376,1549,37
"DecisionTreeClassifier(ccp_alpha=0.000390625, random_state=0)",0.000390625,0.97,0.32666666666666666,0.04508920502806376,1545,37
"DecisionTreeClassifier(ccp_alpha=0.0003916666666666666, random_state=0)",0.0003916666666666666,0.9691666666666666,0.3283333333333333,0.04665587169473043,1537,37
"DecisionTreeClassifier(ccp_alpha=0.00039215686274509813, random_state=0)",0.00039215686274509813,0.96875,0.32666666666666666,0.047440185420220625,1533,37
"DecisionTreeClassifier(ccp_alpha=0.0003935185185185186, random_state=0)",0.0003935185185185186,0.9683333333333334,0.32666666666666666,0.04822722245725766,1529,37
"DecisionTreeClassifier(ccp_alpha=0.00039473684210526337, random_state=0)",0.00039473684210526337,0.9679166666666666,0.32666666666666666,0.04901669614146819,1525,37
"DecisionTreeClassifier(ccp_alpha=0.0003994565217391305, random_state=0)",0.0003994565217391305,0.9675,0.33166666666666667,0.04981560918494645,1521,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.05023227585161312,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.05106560918494645,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.05148227585161312,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.05189894251827979,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.05231560918494646,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.05273227585161313,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.05356560918494646,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.05398227585161313,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.05481560918494646,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.055648942518279794,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.05606560918494646,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.05648227585161313,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.0568989425182798,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.05731560918494647,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.05773227585161314,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.05814894251827981,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.05856560918494648,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.05898227585161315,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.05939894251827982,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.05981560918494649,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.06023227585161316,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.060648942518279826,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.061065609184946495,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.061482275851613165,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.061898942518279834,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.062315609184946504,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.06273227585161317,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.06314894251827984,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.0635656091849465,1447,37
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9520833333333333,0.3333333333333333,0.06398227585161316,1447,37
