models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.999,0.8645,0.0014915158371040732,1399,44
"DecisionTreeClassifier(ccp_alpha=9.071117561623449e-08, random_state=0)",9.071117561623449e-08,0.999,0.8645,0.0014916065482796894,1397,43
"DecisionTreeClassifier(ccp_alpha=1.7152658662113228e-07, random_state=0)",1.7152658662113228e-07,0.999,0.8645,0.0014917780748663104,1395,43
"DecisionTreeClassifier(ccp_alpha=2.3510971786875603e-07, random_state=0)",2.3510971786875603e-07,0.999,0.8645,0.0014920131845841793,1393,43
"DecisionTreeClassifier(ccp_alpha=2.780867630697509e-07, random_state=0)",2.780867630697509e-07,0.999,0.8645,0.0014922912713472491,1391,43
"DecisionTreeClassifier(ccp_alpha=3.0091478093373586e-07, random_state=0)",3.0091478093373586e-07,0.999,0.8645,0.0014925921861281828,1389,43
"DecisionTreeClassifier(ccp_alpha=4.4186959937184524e-07, random_state=0)",4.4186959937184524e-07,0.999,0.8645,0.0014930340557275546,1387,43
"DecisionTreeClassifier(ccp_alpha=1.8907563025208785e-06, random_state=0)",1.8907563025208785e-06,0.999,0.8645,0.0014949248120300755,1385,42
"DecisionTreeClassifier(ccp_alpha=4.703832752613285e-06, random_state=0)",4.703832752613285e-06,0.999,0.8645,0.001504332477535302,1381,41
"DecisionTreeClassifier(ccp_alpha=5.965005302227219e-06, random_state=0)",5.965005302227219e-06,0.999,0.8645,0.0015102974828375294,1379,41
"DecisionTreeClassifier(ccp_alpha=3.125e-05, random_state=0)",3.125e-05,0.999,0.8645,0.0015727974828375294,1375,40
"DecisionTreeClassifier(ccp_alpha=3.141304347826048e-05, random_state=0)",3.141304347826048e-05,0.999,0.8645,0.00160421052631579,1373,40
"DecisionTreeClassifier(ccp_alpha=3.47222222222222e-05, random_state=0)",3.47222222222222e-05,0.999,0.8645,0.0016389327485380122,1371,40
"DecisionTreeClassifier(ccp_alpha=4.4209917153996036e-05, random_state=0)",4.4209917153996036e-05,0.999,0.8645,0.0017715625000000004,1365,40
"DecisionTreeClassifier(ccp_alpha=7.77777777777778e-05, random_state=0)",7.77777777777778e-05,0.998875,0.8645,0.002004895833333334,1359,40
"DecisionTreeClassifier(ccp_alpha=8.255451713395634e-05, random_state=0)",8.255451713395634e-05,0.99875,0.865,0.002252559384735203,1353,40
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.998625,0.8645,0.0024192260514018693,1349,38
"DecisionTreeClassifier(ccp_alpha=8.73541666666664e-05, random_state=0)",8.73541666666664e-05,0.9985,0.8655,0.0028559968847352013,1339,35
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.998375,0.866,0.0030559968847352014,1335,35
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99825,0.866,0.0032643302180685348,1331,35
"DecisionTreeClassifier(ccp_alpha=0.0001045454545454543, random_state=0)",0.0001045454545454543,0.998,0.866,0.0037870574907958063,1321,35
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.99775,0.8665,0.004215628919367235,1313,35
