models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.98275,0.17,0.019023583263714845,3723,39
"DecisionTreeClassifier(ccp_alpha=8.333333333333332e-05, random_state=0)",8.333333333333332e-05,0.98275,0.17,0.01910691659704818,3721,39
"DecisionTreeClassifier(ccp_alpha=0.00011854636591478694, random_state=0)",0.00011854636591478694,0.9825,0.17,0.019225462962962965,3719,39
"DecisionTreeClassifier(ccp_alpha=0.0001333333333333333, random_state=0)",0.0001333333333333333,0.98225,0.17,0.01949212962962963,3715,39
"DecisionTreeClassifier(ccp_alpha=0.00015000000000000004, random_state=0)",0.00015000000000000004,0.982,0.17,0.01994212962962963,3709,39
"DecisionTreeClassifier(ccp_alpha=0.00015151515151515154, random_state=0)",0.00015151515151515154,0.98175,0.17,0.020396675084175083,3703,39
"DecisionTreeClassifier(ccp_alpha=0.00016904761904762075, random_state=0)",0.00016904761904762075,0.9815,0.17,0.020565722703222704,3701,39
"DecisionTreeClassifier(ccp_alpha=0.00016999999999999996, random_state=0)",0.00016999999999999996,0.981,0.17,0.021415722703222704,3691,39
"DecisionTreeClassifier(ccp_alpha=0.00017394179894179938, random_state=0)",0.00017394179894179938,0.98075,0.17,0.021589664502164502,3689,39
"DecisionTreeClassifier(ccp_alpha=0.00017562758799171806, random_state=0)",0.00017562758799171806,0.98025,0.17,0.022292174854131375,3681,35
"DecisionTreeClassifier(ccp_alpha=0.0001833333333333334, random_state=0)",0.0001833333333333334,0.98,0.17,0.022658841520798043,3677,35
"DecisionTreeClassifier(ccp_alpha=0.00018444966705836278, random_state=0)",0.00018444966705836278,0.979,0.17,0.023581089856089858,3667,31
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.97775,0.17,0.02395608985608986,3647,31
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.97775,0.17,0.02433108985608986,3647,31
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.97775,0.17,0.02470608985608986,3647,31
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.97775,0.17,0.02508108985608986,3647,31
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.97775,0.17,0.02545608985608986,3647,31
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.97625,0.17,0.02585608985608986,3623,31
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.97625,0.17,0.026256089856089862,3623,31
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.97625,0.17,0.026656089856089863,3623,31
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.97625,0.17,0.027056089856089864,3623,31
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.97625,0.17,0.027456089856089865,3623,31
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.97625,0.17,0.027856089856089866,3623,31
