models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9911336288790373,0.13670886075949368,0.009626345788473718,1663,27
"DecisionTreeClassifier(ccp_alpha=0.0002533248891703609, random_state=0)",0.0002533248891703609,0.9911336288790373,0.13670886075949368,0.00987967067764408,1661,27
"DecisionTreeClassifier(ccp_alpha=0.00042220814861726827, random_state=0)",0.00042220814861726827,0.9905003166561115,0.13670886075949368,0.010724086974878616,1657,27
"DecisionTreeClassifier(ccp_alpha=0.0004721054752720357, random_state=0)",0.0004721054752720357,0.9898670044331855,0.13670886075949368,0.011196192450150652,1655,27
"DecisionTreeClassifier(ccp_alpha=0.00047498416719442683, random_state=0)",0.00047498416719442683,0.9892336922102597,0.13924050632911392,0.012146160784539506,1651,27
"DecisionTreeClassifier(ccp_alpha=0.0005066497783407218, random_state=0)",0.0005066497783407218,0.9879670677644079,0.13924050632911392,0.013159460341220949,1643,27
"DecisionTreeClassifier(ccp_alpha=0.0005066497783407218, random_state=0)",0.0005066497783407218,0.9879670677644079,0.13924050632911392,0.014172759897902391,1643,27
"DecisionTreeClassifier(ccp_alpha=0.000506649778340722, random_state=0)",0.000506649778340722,0.987333755541482,0.13924050632911392,0.015186059454583836,1639,27
"DecisionTreeClassifier(ccp_alpha=0.0005277601857715855, random_state=0)",0.0005277601857715855,0.9829005699810006,0.13924050632911392,0.016241579826127006,1611,27
"DecisionTreeClassifier(ccp_alpha=0.0005277601857715855, random_state=0)",0.0005277601857715855,0.9829005699810006,0.13924050632911392,0.017297100197670178,1611,27
"DecisionTreeClassifier(ccp_alpha=0.0005277601857715855, random_state=0)",0.0005277601857715855,0.9829005699810006,0.13924050632911392,0.01835262056921335,1611,27
"DecisionTreeClassifier(ccp_alpha=0.0005277601857715855, random_state=0)",0.0005277601857715855,0.9829005699810006,0.13924050632911392,0.019408140940756522,1611,27
"DecisionTreeClassifier(ccp_alpha=0.0005277601857715855, random_state=0)",0.0005277601857715855,0.9829005699810006,0.13924050632911392,0.020463661312299694,1611,27
"DecisionTreeClassifier(ccp_alpha=0.0005277601857715855, random_state=0)",0.0005277601857715855,0.9829005699810006,0.13924050632911392,0.021519181683842866,1611,27
"DecisionTreeClassifier(ccp_alpha=0.0005277601857715855, random_state=0)",0.0005277601857715855,0.9829005699810006,0.13924050632911392,0.022574702055386038,1611,27
"DecisionTreeClassifier(ccp_alpha=0.0005428390482222022, random_state=0)",0.0005428390482222022,0.9822672577580748,0.13924050632911392,0.023660380151830442,1607,27
"DecisionTreeClassifier(ccp_alpha=0.0005541481950601646, random_state=0)",0.0005541481950601646,0.981000633312223,0.13924050632911392,0.0258769729320711,1599,27
"DecisionTreeClassifier(ccp_alpha=0.0005541481950601647, random_state=0)",0.0005541481950601647,0.9797340088663711,0.13924050632911392,0.02698526932219143,1591,27
"DecisionTreeClassifier(ccp_alpha=0.0005541481950601647, random_state=0)",0.0005541481950601647,0.9797340088663711,0.13924050632911392,0.02809356571231176,1591,27
"DecisionTreeClassifier(ccp_alpha=0.0005629441981563578, random_state=0)",0.0005629441981563578,0.9791006966434452,0.13924050632911392,0.029219454108624476,1587,27
"DecisionTreeClassifier(ccp_alpha=0.0005699810006333124, random_state=0)",0.0005699810006333124,0.9772007599746675,0.13924050632911392,0.0303594161098911,1575,27
"DecisionTreeClassifier(ccp_alpha=0.0005699810006333124, random_state=0)",0.0005699810006333124,0.9772007599746675,0.13924050632911392,0.03149937811115772,1575,27
"DecisionTreeClassifier(ccp_alpha=0.0005699810006333124, random_state=0)",0.0005699810006333124,0.9772007599746675,0.13924050632911392,0.03263934011242435,1575,27
"DecisionTreeClassifier(ccp_alpha=0.0006164238969812118, random_state=0)",0.0006164238969812118,0.9746675110829639,0.13924050632911392,0.03572145959733041,1565,25
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259024, random_state=0)",0.0006333122229259024,0.974034198860038,0.13924050632911392,0.036354771820256315,1563,25
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.8790373654211526,0.13924050632911392,0.03698808404318222,1263,24
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.8790373654211526,0.13924050632911392,0.03825470848903403,1263,24
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.8790373654211526,0.13924050632911392,0.039521332934885835,1263,24
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.8790373654211526,0.13924050632911392,0.04015464515781174,1263,24
