models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9883333333333333,0.3416666666666667,0.01348169191919192,1719,31
"DecisionTreeClassifier(ccp_alpha=1.0155906895036905e-05, random_state=0)",1.0155906895036905e-05,0.9883333333333333,0.3433333333333333,0.013491847826086957,1717,31
"DecisionTreeClassifier(ccp_alpha=0.0001357323232323228, random_state=0)",0.0001357323232323228,0.9883333333333333,0.3433333333333333,0.01362758014931928,1715,31
"DecisionTreeClassifier(ccp_alpha=0.00013888888888888886, random_state=0)",0.00013888888888888886,0.9883333333333333,0.345,0.013766469038208167,1713,31
"DecisionTreeClassifier(ccp_alpha=0.00017676767676767704, random_state=0)",0.00017676767676767704,0.9883333333333333,0.345,0.013943236714975844,1711,31
"DecisionTreeClassifier(ccp_alpha=0.00022342995169082145, random_state=0)",0.00022342995169082145,0.9883333333333333,0.345,0.014166666666666664,1709,31
"DecisionTreeClassifier(ccp_alpha=0.00025793650793650737, random_state=0)",0.00025793650793650737,0.9883333333333333,0.345,0.014424603174603172,1707,31
"DecisionTreeClassifier(ccp_alpha=0.0002722222222222223, random_state=0)",0.0002722222222222223,0.9879166666666667,0.345,0.014696825396825394,1705,31
"DecisionTreeClassifier(ccp_alpha=0.00027777777777777783, random_state=0)",0.00027777777777777783,0.9875,0.3433333333333333,0.014974603174603172,1703,31
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9866666666666667,0.3433333333333333,0.015599603174603172,1695,31
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9866666666666667,0.3433333333333333,0.016224603174603173,1695,31
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.98375,0.3466666666666667,0.01689126984126984,1667,31
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.98375,0.3466666666666667,0.017557936507936505,1667,31
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.98375,0.3466666666666667,0.01822460317460317,1667,31
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.98375,0.3466666666666667,0.018891269841269837,1667,31
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.98375,0.3466666666666667,0.019557936507936503,1667,31
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.98375,0.3466666666666667,0.02022460317460317,1667,31
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.98375,0.3466666666666667,0.020891269841269836,1667,31
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9816666666666667,0.3466666666666667,0.02158571428571428,1647,31
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9816666666666667,0.3466666666666667,0.022280158730158726,1647,31
