models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.995,0.5225,0.006194444444444444,843,34
"DecisionTreeClassifier(ccp_alpha=5.5555555555555436e-05, random_state=0)",5.5555555555555436e-05,0.995,0.5225,0.0062499999999999995,841,34
"DecisionTreeClassifier(ccp_alpha=8.33333333333337e-05, random_state=0)",8.33333333333337e-05,0.995,0.5225,0.006333333333333333,839,34
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.995,0.5225,0.006583333333333333,837,33
"DecisionTreeClassifier(ccp_alpha=0.0003749999999999999, random_state=0)",0.0003749999999999999,0.994375,0.5225,0.006958333333333334,835,32
"DecisionTreeClassifier(ccp_alpha=0.00041666666666666664, random_state=0)",0.00041666666666666664,0.99375,0.525,0.007791666666666667,831,32
"DecisionTreeClassifier(ccp_alpha=0.0004999999999999999, random_state=0)",0.0004999999999999999,0.993125,0.525,0.008791666666666666,827,32
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333333, random_state=0)",0.0005208333333333333,0.9925,0.525,0.009833333333333333,823,32
"DecisionTreeClassifier(ccp_alpha=0.0005357142857142858, random_state=0)",0.0005357142857142858,0.991875,0.525,0.010904761904761905,819,32
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.99125,0.525,0.011998511904761904,815,32
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.988125,0.525,0.013109623015873016,795,32
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.988125,0.525,0.014220734126984127,795,32
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.988125,0.525,0.015331845238095238,795,32
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.988125,0.525,0.01644295634920635,795,32
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.988125,0.525,0.01755406746031746,795,32
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555565, random_state=0)",0.0005555555555555565,0.988125,0.5225,0.018109623015873016,793,31
"DecisionTreeClassifier(ccp_alpha=0.0005588624338624337, random_state=0)",0.0005588624338624337,0.98625,0.5225,0.019786210317460317,787,28
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.983125,0.5175,0.020911210317460318,767,28
