models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.984625,0.2445,0.017842726962579904,7083,36
"DecisionTreeClassifier(ccp_alpha=3.7500000000000044e-05, random_state=0)",3.7500000000000044e-05,0.984625,0.2445,0.017880226962579904,7081,36
"DecisionTreeClassifier(ccp_alpha=3.8690476190476235e-05, random_state=0)",3.8690476190476235e-05,0.984625,0.2445,0.01791891743877038,7079,36
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.984625,0.2445,0.017960584105437046,7077,36
"DecisionTreeClassifier(ccp_alpha=4.305555555555562e-05, random_state=0)",4.305555555555562e-05,0.9845,0.2445,0.018003639660992603,7075,36
"DecisionTreeClassifier(ccp_alpha=5.2083333333333343e-05, random_state=0)",5.2083333333333343e-05,0.9845,0.2445,0.018055722994325937,7073,36
"DecisionTreeClassifier(ccp_alpha=5.704365079365172e-05, random_state=0)",5.704365079365172e-05,0.984375,0.2445,0.01811276664511959,7071,36
"DecisionTreeClassifier(ccp_alpha=6.886808367071525e-05, random_state=0)",6.886808367071525e-05,0.98425,0.244,0.01838823897980245,7063,36
"DecisionTreeClassifier(ccp_alpha=6.944444444444444e-05, random_state=0)",6.944444444444444e-05,0.984125,0.244,0.018596572313135783,7057,36
"DecisionTreeClassifier(ccp_alpha=6.944444444444446e-05, random_state=0)",6.944444444444446e-05,0.984125,0.244,0.01866601675758023,7055,36
"DecisionTreeClassifier(ccp_alpha=7.142857142857146e-05, random_state=0)",7.142857142857146e-05,0.984125,0.244,0.0187374453290088,7053,36
"DecisionTreeClassifier(ccp_alpha=8.014264264264272e-05, random_state=0)",8.014264264264272e-05,0.984125,0.244,0.018817587971651444,7051,36
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.983125,0.2445,0.01898425463831811,7021,36
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.983125,0.2445,0.019150921304984775,7021,36
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.983125,0.2445,0.01931758797165144,7021,36
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.983125,0.2445,0.01956758797165144,7021,36
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.983125,0.2445,0.019734254638318106,7021,36
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.983125,0.2445,0.019900921304984772,7021,36
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.983125,0.2445,0.020067587971651438,7021,36
"DecisionTreeClassifier(ccp_alpha=8.333333333333334e-05, random_state=0)",8.333333333333334e-05,0.983,0.2445,0.020150921304984772,7019,36
"DecisionTreeClassifier(ccp_alpha=8.87938896488829e-05, random_state=0)",8.87938896488829e-05,0.982625,0.244,0.020594890753229185,7009,36
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.981375,0.2445,0.020782390753229185,6969,36
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.981375,0.2445,0.020969890753229185,6969,36
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.981375,0.2445,0.021157390753229185,6969,36
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.981375,0.2445,0.021344890753229186,6969,36
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.981375,0.2445,0.021532390753229186,6969,36
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.981375,0.2445,0.021719890753229186,6969,36
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.981375,0.2445,0.021907390753229186,6969,36
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.981375,0.2445,0.022094890753229186,6969,36
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.981375,0.2445,0.022282390753229186,6969,36
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.981375,0.2445,0.022469890753229187,6969,36
"DecisionTreeClassifier(ccp_alpha=9.821428571428573e-05, random_state=0)",9.821428571428573e-05,0.981125,0.2445,0.02286274789608633,6961,36
"DecisionTreeClassifier(ccp_alpha=9.939162422184511e-05, random_state=0)",9.939162422184511e-05,0.980875,0.2445,0.02306153114453002,6957,36
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979375,0.2445,0.02326153114453002,6909,36
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979375,0.2445,0.023461531144530017,6909,36
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979375,0.2445,0.023661531144530016,6909,36
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979375,0.2445,0.023861531144530015,6909,36
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979375,0.2445,0.024061531144530014,6909,36
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979375,0.2445,0.024261531144530012,6909,36
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979375,0.2445,0.02446153114453001,6909,36
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979375,0.2445,0.02466153114453001,6909,36
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979375,0.2445,0.02486153114453001,6909,36
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979375,0.2445,0.025061531144530007,6909,36
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979375,0.2445,0.025261531144530006,6909,36
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979375,0.2445,0.025461531144530005,6909,36
"DecisionTreeClassifier(ccp_alpha=0.00010119047619047618, random_state=0)",0.00010119047619047618,0.979125,0.244,0.025765102573101432,6903,36
"DecisionTreeClassifier(ccp_alpha=0.0001022403982930296, random_state=0)",0.0001022403982930296,0.979,0.244,0.025867342971394463,6901,36
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666666, random_state=0)",0.00010416666666666666,0.97875,0.244,0.02628400963806113,6893,36
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9765,0.244,0.026492342971394463,6821,36
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9765,0.244,0.026700676304727798,6821,36
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9765,0.244,0.026909009638061133,6821,36
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9765,0.244,0.027117342971394467,6821,36
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9765,0.244,0.027325676304727802,6821,36
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9765,0.244,0.027534009638061137,6821,36
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9765,0.244,0.02774234297139447,6821,36
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9765,0.244,0.027950676304727806,6821,36
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9765,0.244,0.02815900963806114,6821,36
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9765,0.244,0.028367342971394476,6821,36
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9765,0.244,0.02857567630472781,6821,36
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9765,0.244,0.028784009638061145,6821,36
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9765,0.244,0.02899234297139448,6821,36
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9765,0.244,0.029200676304727814,6821,36
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9765,0.244,0.02940900963806115,6821,36
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9765,0.244,0.029617342971394484,6821,36
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9765,0.244,0.029825676304727818,6821,36
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9765,0.244,0.030034009638061153,6821,36
"DecisionTreeClassifier(ccp_alpha=0.00010624999999999998, random_state=0)",0.00010624999999999998,0.97625,0.244,0.03045900963806115,6813,36
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.973875,0.244,0.030673295352346867,6737,36
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.973875,0.244,0.030887581066632582,6737,36
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.973875,0.244,0.031101866780918298,6737,36
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.973875,0.244,0.03131615249520401,6737,36
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.973875,0.244,0.031530438209489725,6737,36
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.973875,0.244,0.03174472392377544,6737,36
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.973875,0.244,0.031959009638061156,6737,36
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.973875,0.244,0.03217329535234687,6737,36
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.973875,0.244,0.03238758106663259,6737,36
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.973875,0.244,0.0326018667809183,6737,36
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.973875,0.244,0.03281615249520402,6737,36
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.973875,0.244,0.03303043820948973,6737,36
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.973875,0.244,0.03324472392377545,6737,36
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.973875,0.244,0.033459009638061164,6737,36
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.973875,0.244,0.03367329535234688,6737,36
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.973875,0.244,0.033887581066632595,6737,36
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.973875,0.244,0.03410186678091831,6737,36
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.973875,0.244,0.034316152495204026,6737,36
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.973875,0.244,0.03453043820948974,6737,36
"DecisionTreeClassifier(ccp_alpha=0.00010795454545454544, random_state=0)",0.00010795454545454544,0.973375,0.244,0.03496225639130792,6721,36
"DecisionTreeClassifier(ccp_alpha=0.00010795454545454544, random_state=0)",0.00010795454545454544,0.973375,0.244,0.0353940745731261,6721,36
