models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.986125,0.3325,0.01789039641871727,6329,42
"DecisionTreeClassifier(ccp_alpha=1.0416666666666671e-05, random_state=0)",1.0416666666666671e-05,0.986125,0.3325,0.017911229752050603,6325,42
"DecisionTreeClassifier(ccp_alpha=2.0833333333333343e-05, random_state=0)",2.0833333333333343e-05,0.986125,0.3325,0.01795289641871727,6319,42
"DecisionTreeClassifier(ccp_alpha=2.0833333333333343e-05, random_state=0)",2.0833333333333343e-05,0.986125,0.3325,0.017973729752050603,6319,42
"DecisionTreeClassifier(ccp_alpha=2.2435897435897336e-05, random_state=0)",2.2435897435897336e-05,0.986125,0.3325,0.0179961656494865,6317,42
"DecisionTreeClassifier(ccp_alpha=2.761299435028331e-05, random_state=0)",2.761299435028331e-05,0.986125,0.3325,0.018023778643836783,6315,42
"DecisionTreeClassifier(ccp_alpha=3.125e-05, random_state=0)",3.125e-05,0.986125,0.3325,0.018086278643836783,6311,42
"DecisionTreeClassifier(ccp_alpha=4.069767441860464e-05, random_state=0)",4.069767441860464e-05,0.986125,0.3325,0.018167673992673994,6307,42
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.986125,0.3325,0.01820934065934066,6303,42
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.986125,0.3325,0.018251007326007325,6303,42
"DecisionTreeClassifier(ccp_alpha=4.660087719298269e-05, random_state=0)",4.660087719298269e-05,0.986125,0.3325,0.018297608203200307,6301,42
"DecisionTreeClassifier(ccp_alpha=4.8751686909580955e-05, random_state=0)",4.8751686909580955e-05,0.986125,0.3325,0.018346359890109888,6299,42
"DecisionTreeClassifier(ccp_alpha=5.376984126984237e-05, random_state=0)",5.376984126984237e-05,0.986125,0.3325,0.01840012973137973,6297,42
"DecisionTreeClassifier(ccp_alpha=5.723443223443225e-05, random_state=0)",5.723443223443225e-05,0.986125,0.3325,0.018514598595848593,6293,42
"DecisionTreeClassifier(ccp_alpha=5.8333333333333414e-05, random_state=0)",5.8333333333333414e-05,0.986125,0.3325,0.018572931929181927,6291,42
"DecisionTreeClassifier(ccp_alpha=6.25e-05, random_state=0)",6.25e-05,0.986125,0.3325,0.018635431929181927,6289,42
"DecisionTreeClassifier(ccp_alpha=6.861836080586077e-05, random_state=0)",6.861836080586077e-05,0.98575,0.333,0.018909905372405368,6281,42
"DecisionTreeClassifier(ccp_alpha=7.291666666666666e-05, random_state=0)",7.291666666666666e-05,0.98575,0.333,0.018982822039072034,6279,42
"DecisionTreeClassifier(ccp_alpha=7.5e-05, random_state=0)",7.5e-05,0.9855,0.333,0.019282822039072035,6271,42
"DecisionTreeClassifier(ccp_alpha=7.612179487179486e-05, random_state=0)",7.612179487179486e-05,0.9855,0.333,0.019435065628815626,6267,42
"DecisionTreeClassifier(ccp_alpha=7.843137254901962e-05, random_state=0)",7.843137254901962e-05,0.985375,0.333,0.019670359746462685,6261,42
"DecisionTreeClassifier(ccp_alpha=7.923789173789209e-05, random_state=0)",7.923789173789209e-05,0.985375,0.333,0.019749597638200576,6259,42
"DecisionTreeClassifier(ccp_alpha=7.936507936507939e-05, random_state=0)",7.936507936507939e-05,0.985125,0.333,0.019987692876295815,6247,42
"DecisionTreeClassifier(ccp_alpha=7.936507936507939e-05, random_state=0)",7.936507936507939e-05,0.985125,0.333,0.020225788114391054,6247,42
"DecisionTreeClassifier(ccp_alpha=8.012820512820518e-05, random_state=0)",8.012820512820518e-05,0.985,0.3335,0.020466172729775668,6241,42
"DecisionTreeClassifier(ccp_alpha=8.272058823529413e-05, random_state=0)",8.272058823529413e-05,0.98475,0.3335,0.020879775670952137,6231,42
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.983875,0.3335,0.021046442337618803,6205,42
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.983875,0.3335,0.021296442337618803,6205,42
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.983875,0.3335,0.02146310900428547,6205,42
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.983875,0.3335,0.021629775670952135,6205,42
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.983875,0.3335,0.0217964423376188,6205,42
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.983875,0.3335,0.021963109004285466,6205,42
"DecisionTreeClassifier(ccp_alpha=8.381247235736368e-05, random_state=0)",8.381247235736368e-05,0.983875,0.3335,0.02204692147664283,6203,42
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98325,0.3335,0.02223442147664283,6183,42
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98325,0.3335,0.02242192147664283,6183,42
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98325,0.3335,0.02260942147664283,6183,42
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98325,0.3335,0.02279692147664283,6183,42
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98325,0.3335,0.02298442147664283,6183,42
"DecisionTreeClassifier(ccp_alpha=9.474969474969428e-05, random_state=0)",9.474969474969428e-05,0.983125,0.334,0.02317392086614222,6179,42
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98225,0.333,0.02337392086614222,6151,42
