models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9879166666666667,0.36,0.014765766640766637,1751,41
"DecisionTreeClassifier(ccp_alpha=7.575757575757581e-05, random_state=0)",7.575757575757581e-05,0.9879166666666667,0.36,0.014841524216524214,1749,41
"DecisionTreeClassifier(ccp_alpha=0.00012499999999999992, random_state=0)",0.00012499999999999992,0.9879166666666667,0.36,0.015091524216524214,1745,41
"DecisionTreeClassifier(ccp_alpha=0.00013888888888888886, random_state=0)",0.00013888888888888886,0.9879166666666667,0.36,0.015230413105413102,1743,41
"DecisionTreeClassifier(ccp_alpha=0.00014194139194139256, random_state=0)",0.00014194139194139256,0.9879166666666667,0.36,0.015372354497354494,1741,41
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333332, random_state=0)",0.00020833333333333332,0.9879166666666667,0.36,0.015580687830687827,1739,41
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333337, random_state=0)",0.00020833333333333337,0.9879166666666667,0.36833333333333335,0.01578902116402116,1737,40
"DecisionTreeClassifier(ccp_alpha=0.00023809523809523777, random_state=0)",0.00023809523809523777,0.9875,0.36,0.0160271164021164,1735,40
"DecisionTreeClassifier(ccp_alpha=0.00023842592592592622, random_state=0)",0.00023842592592592622,0.9870833333333333,0.36,0.016503968253968253,1731,39
"DecisionTreeClassifier(ccp_alpha=0.0002525252525252526, random_state=0)",0.0002525252525252526,0.9866666666666667,0.36,0.017261544011544012,1725,39
"DecisionTreeClassifier(ccp_alpha=0.0002777777777777778, random_state=0)",0.0002777777777777778,0.98625,0.36,0.017817099567099568,1721,39
"DecisionTreeClassifier(ccp_alpha=0.000289682539682539, random_state=0)",0.000289682539682539,0.9858333333333333,0.36,0.018106782106782106,1719,39
"DecisionTreeClassifier(ccp_alpha=0.0002897727272727275, random_state=0)",0.0002897727272727275,0.9854166666666667,0.36,0.01868632756132756,1715,39
"DecisionTreeClassifier(ccp_alpha=0.000291005291005291, random_state=0)",0.000291005291005291,0.9845833333333334,0.36,0.019559343434343433,1709,39
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9829166666666667,0.355,0.020184343434343433,1693,39
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9829166666666667,0.355,0.020809343434343434,1693,39
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9829166666666667,0.355,0.021434343434343434,1693,39
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9829166666666667,0.355,0.022059343434343435,1693,39
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.98125,0.355,0.0227260101010101,1677,39
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.98125,0.355,0.023392676767676767,1677,39
