models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.98875,0.4825,0.013432539682539685,843,33
"DecisionTreeClassifier(ccp_alpha=2.2321428571428405e-05, random_state=0)",2.2321428571428405e-05,0.98875,0.4825,0.013454861111111114,841,33
"DecisionTreeClassifier(ccp_alpha=0.0001654411764705887, random_state=0)",0.0001654411764705887,0.98875,0.4825,0.013620302287581702,839,33
"DecisionTreeClassifier(ccp_alpha=0.0002003205128205121, random_state=0)",0.0002003205128205121,0.98875,0.4825,0.013820622800402214,837,33
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333327, random_state=0)",0.00020833333333333327,0.98875,0.4825,0.014028956133735547,835,32
"DecisionTreeClassifier(ccp_alpha=0.00023809523809523842, random_state=0)",0.00023809523809523842,0.98875,0.4825,0.014267051371830786,833,31
"DecisionTreeClassifier(ccp_alpha=0.00026041666666666666, random_state=0)",0.00026041666666666666,0.98875,0.4825,0.01478788470516412,829,31
"DecisionTreeClassifier(ccp_alpha=0.00030197335344394304, random_state=0)",0.00030197335344394304,0.988125,0.4925,0.015089858058608062,827,31
"DecisionTreeClassifier(ccp_alpha=0.0003349849555206689, random_state=0)",0.0003349849555206689,0.988125,0.4925,0.01609481292517007,821,31
"DecisionTreeClassifier(ccp_alpha=0.00041666666666666664, random_state=0)",0.00041666666666666664,0.9875,0.4925,0.0169281462585034,817,31
"DecisionTreeClassifier(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.986875,0.4925,0.0178656462585034,813,31
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333334, random_state=0)",0.0005208333333333334,0.98625,0.4925,0.018907312925170068,809,31
"DecisionTreeClassifier(ccp_alpha=0.0005357142857142858, random_state=0)",0.0005357142857142858,0.985625,0.4925,0.01997874149659864,805,31
"DecisionTreeClassifier(ccp_alpha=0.0005416666666666668, random_state=0)",0.0005416666666666668,0.984375,0.4925,0.022145408163265306,797,31
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.98375,0.4925,0.023239158163265307,793,31
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.98125,0.49,0.024350269274376418,777,31
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.98125,0.49,0.02546138038548753,777,31
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.98125,0.49,0.02657249149659864,777,31
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.98125,0.49,0.027683602607709752,777,31
"DecisionTreeClassifier(ccp_alpha=0.0005564112437427826, random_state=0)",0.0005564112437427826,0.98125,0.49,0.028240013851452535,775,31
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.98,0.49,0.029365013851452536,767,31
