models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.982,0.253,0.021058822169979542,7277,60
"DecisionTreeClassifier(ccp_alpha=2.0833333333333343e-05, random_state=0)",2.0833333333333343e-05,0.982,0.253,0.021079655503312877,7275,60
"DecisionTreeClassifier(ccp_alpha=2.6785714285714325e-05, random_state=0)",2.6785714285714325e-05,0.982,0.253,0.021106441217598592,7273,60
"DecisionTreeClassifier(ccp_alpha=3.7500000000000044e-05, random_state=0)",3.7500000000000044e-05,0.982,0.253,0.02114394121759859,7271,60
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.982,0.253,0.021185607884265257,7269,60
"DecisionTreeClassifier(ccp_alpha=4.1666666666666686e-05, random_state=0)",4.1666666666666686e-05,0.982,0.253,0.021227274550931922,7267,60
"DecisionTreeClassifier(ccp_alpha=4.1921367046401405e-05, random_state=0)",4.1921367046401405e-05,0.982,0.2535,0.021269195917978323,7265,60
"DecisionTreeClassifier(ccp_alpha=4.4047619047618905e-05, random_state=0)",4.4047619047618905e-05,0.982,0.2535,0.02131324353702594,7263,60
"DecisionTreeClassifier(ccp_alpha=4.910714285714295e-05, random_state=0)",4.910714285714295e-05,0.982,0.2535,0.021362350679883083,7261,60
"DecisionTreeClassifier(ccp_alpha=4.999999999999997e-05, random_state=0)",4.999999999999997e-05,0.982,0.254,0.021412350679883084,7259,60
"DecisionTreeClassifier(ccp_alpha=6.25e-05, random_state=0)",6.25e-05,0.982,0.254,0.021474850679883084,7255,60
"DecisionTreeClassifier(ccp_alpha=6.25e-05, random_state=0)",6.25e-05,0.982,0.254,0.021537350679883084,7255,60
"DecisionTreeClassifier(ccp_alpha=6.972222222222232e-05, random_state=0)",6.972222222222232e-05,0.98175,0.2545,0.021885961790994196,7245,59
"DecisionTreeClassifier(ccp_alpha=7.291666666666669e-05, random_state=0)",7.291666666666669e-05,0.981625,0.2545,0.02203179512432753,7241,59
"DecisionTreeClassifier(ccp_alpha=7.293868921775994e-05, random_state=0)",7.293868921775994e-05,0.981625,0.2545,0.02210473381354529,7239,59
"DecisionTreeClassifier(ccp_alpha=7.401315789473673e-05, random_state=0)",7.401315789473673e-05,0.981375,0.2545,0.02217874697144003,7237,59
"DecisionTreeClassifier(ccp_alpha=7.500000000000003e-05, random_state=0)",7.500000000000003e-05,0.98125,0.254,0.022253746971440027,7235,59
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.979625,0.254,0.022420413638106693,7187,59
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.979625,0.254,0.022670413638106693,7187,59
