models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.99875,0.875,0.0019015164581895993,1397,48
"DecisionTreeClassifier(ccp_alpha=8.73515024458712e-08, random_state=0)",8.73515024458712e-08,0.99875,0.875,0.0019016038096920452,1395,48
"DecisionTreeClassifier(ccp_alpha=1.7780938833526663e-07, random_state=0)",1.7780938833526663e-07,0.99875,0.875,0.0019017816190803805,1393,48
"DecisionTreeClassifier(ccp_alpha=2.4366471734922884e-07, random_state=0)",2.4366471734922884e-07,0.99875,0.875,0.0019020252837977296,1391,48
"DecisionTreeClassifier(ccp_alpha=3.132832080201002e-07, random_state=0)",3.132832080201002e-07,0.99875,0.875,0.0019026518502137698,1387,48
"DecisionTreeClassifier(ccp_alpha=5.398110661269419e-07, random_state=0)",5.398110661269419e-07,0.99875,0.875,0.0019031916612798968,1385,48
"DecisionTreeClassifier(ccp_alpha=8.503401360546235e-07, random_state=0)",8.503401360546235e-07,0.99875,0.875,0.0019040420014159514,1383,48
"DecisionTreeClassifier(ccp_alpha=1.3141620284472266e-06, random_state=0)",1.3141620284472266e-06,0.99875,0.875,0.0019053561634443986,1381,48
"DecisionTreeClassifier(ccp_alpha=1.8907563025208785e-06, random_state=0)",1.8907563025208785e-06,0.99875,0.875,0.0019072469197469195,1379,48
"DecisionTreeClassifier(ccp_alpha=6.593406593406346e-06, random_state=0)",6.593406593406346e-06,0.99875,0.875,0.0019138403263403258,1377,48
"DecisionTreeClassifier(ccp_alpha=1.0817307692307927e-05, random_state=0)",1.0817307692307927e-05,0.99875,0.875,0.0019246576340326339,1375,48
"DecisionTreeClassifier(ccp_alpha=2.0833333333333343e-05, random_state=0)",2.0833333333333343e-05,0.99875,0.875,0.0019454909673659673,1373,48
"DecisionTreeClassifier(ccp_alpha=2.667957042957046e-05, random_state=0)",2.667957042957046e-05,0.99875,0.875,0.001998850108225108,1369,48
"DecisionTreeClassifier(ccp_alpha=3.676470588235296e-05, random_state=0)",3.676470588235296e-05,0.99875,0.875,0.0021091442258721668,1363,46
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.99875,0.875,0.0021508108925388336,1361,46
"DecisionTreeClassifier(ccp_alpha=4.1666666666666686e-05, random_state=0)",4.1666666666666686e-05,0.99875,0.875,0.0021924775592055004,1359,46
"DecisionTreeClassifier(ccp_alpha=4.770923520923452e-05, random_state=0)",4.770923520923452e-05,0.99875,0.875,0.002240186794414735,1357,46
"DecisionTreeClassifier(ccp_alpha=7.007575757575753e-05, random_state=0)",7.007575757575753e-05,0.998625,0.875,0.002520489824717765,1349,46
"DecisionTreeClassifier(ccp_alpha=7.500000000000002e-05, random_state=0)",7.500000000000002e-05,0.9985,0.875,0.002745489824717765,1343,46
"DecisionTreeClassifier(ccp_alpha=8.04833561331509e-05, random_state=0)",8.04833561331509e-05,0.998375,0.875,0.0029869398931172174,1337,45
"DecisionTreeClassifier(ccp_alpha=8.179012345679004e-05, random_state=0)",8.179012345679004e-05,0.99825,0.875,0.0032323102634875876,1331,45
"DecisionTreeClassifier(ccp_alpha=8.248299319727898e-05, random_state=0)",8.248299319727898e-05,0.998125,0.875,0.0034797592430794244,1325,45
"DecisionTreeClassifier(ccp_alpha=8.292483660130723e-05, random_state=0)",8.292483660130723e-05,0.998,0.875,0.003728533752883346,1319,45
"DecisionTreeClassifier(ccp_alpha=8.29973118279573e-05, random_state=0)",8.29973118279573e-05,0.997875,0.875,0.003977525688367218,1313,45
"DecisionTreeClassifier(ccp_alpha=8.779198232323278e-05, random_state=0)",8.779198232323278e-05,0.99775,0.8755,0.004328693617660149,1305,45
"DecisionTreeClassifier(ccp_alpha=9.411764705882355e-05, random_state=0)",9.411764705882355e-05,0.9975,0.8755,0.004799281852954267,1295,45
"DecisionTreeClassifier(ccp_alpha=9.949367088607608e-05, random_state=0)",9.949367088607608e-05,0.99725,0.876,0.005296750207384647,1285,45
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.996875,0.876,0.00550508354071798,1273,45
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.996875,0.876,0.005713416874051313,1273,45
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.996875,0.876,0.005921750207384646,1273,45
"DecisionTreeClassifier(ccp_alpha=0.00010549450549450555, random_state=0)",0.00010549450549450555,0.9965,0.8755,0.006660211745846184,1259,45
"DecisionTreeClassifier(ccp_alpha=0.0001084558823529411, random_state=0)",0.0001084558823529411,0.996375,0.8755,0.0068771235105520665,1255,45
