models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.984375,0.2395,0.018520753041840723,7059,53
"DecisionTreeClassifier(ccp_alpha=1.6666666666666647e-05, random_state=0)",1.6666666666666647e-05,0.984375,0.2395,0.018554086375174056,7055,53
"DecisionTreeClassifier(ccp_alpha=2.736928104575152e-05, random_state=0)",2.736928104575152e-05,0.984375,0.2395,0.018581455656219808,7053,53
"DecisionTreeClassifier(ccp_alpha=2.9160739687055827e-05, random_state=0)",2.9160739687055827e-05,0.984375,0.2395,0.018610616395906863,7051,53
"DecisionTreeClassifier(ccp_alpha=3.125e-05, random_state=0)",3.125e-05,0.984375,0.2395,0.018673116395906863,7047,53
"DecisionTreeClassifier(ccp_alpha=3.2553525286082696e-05, random_state=0)",3.2553525286082696e-05,0.984375,0.2395,0.018705669921192946,7045,53
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.984375,0.2395,0.01878900325452628,7041,53
"DecisionTreeClassifier(ccp_alpha=4.642704321780036e-05, random_state=0)",4.642704321780036e-05,0.984375,0.2395,0.01883543029774408,7039,53
"DecisionTreeClassifier(ccp_alpha=5.5555555555555545e-05, random_state=0)",5.5555555555555545e-05,0.984375,0.2395,0.018890985853299635,7037,53
"DecisionTreeClassifier(ccp_alpha=5.85359408033833e-05, random_state=0)",5.85359408033833e-05,0.984375,0.2395,0.018949521794103016,7035,53
"DecisionTreeClassifier(ccp_alpha=6.25e-05, random_state=0)",6.25e-05,0.984375,0.2395,0.019012021794103016,7031,53
"DecisionTreeClassifier(ccp_alpha=6.25e-05, random_state=0)",6.25e-05,0.984375,0.2395,0.019074521794103017,7031,53
"DecisionTreeClassifier(ccp_alpha=6.944444444444457e-05, random_state=0)",6.944444444444457e-05,0.984375,0.2395,0.01914396623854746,7029,53
"DecisionTreeClassifier(ccp_alpha=7.142857142857146e-05, random_state=0)",7.142857142857146e-05,0.984375,0.2395,0.019215394809976034,7027,53
"DecisionTreeClassifier(ccp_alpha=7.291666666666669e-05, random_state=0)",7.291666666666669e-05,0.98425,0.2395,0.01936122814330937,7023,52
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9835,0.239,0.019527894809976035,7001,52
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9835,0.239,0.0196945614766427,7001,52
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9835,0.239,0.019861228143309366,7001,52
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9835,0.239,0.02002789480997603,7001,52
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9835,0.239,0.020277894809976032,7001,52
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982,0.2385,0.020465394809976032,6953,52
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982,0.2385,0.020652894809976032,6953,52
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982,0.2385,0.020840394809976032,6953,52
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982,0.2385,0.021027894809976033,6953,52
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982,0.2385,0.021215394809976033,6953,52
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982,0.2385,0.021402894809976033,6953,52
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982,0.2385,0.021590394809976033,6953,52
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982,0.2385,0.021777894809976033,6953,52
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982,0.2385,0.021965394809976033,6953,52
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982,0.2385,0.022152894809976034,6953,52
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982,0.2385,0.022340394809976034,6953,52
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.982,0.2385,0.022527894809976034,6953,52
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979625,0.2385,0.022727894809976033,6877,52
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979625,0.2385,0.02292789480997603,6877,52
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979625,0.2385,0.02312789480997603,6877,52
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979625,0.2385,0.02332789480997603,6877,52
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979625,0.2385,0.023527894809976028,6877,52
