models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9841671944268524,0.13164556962025317,0.015012378375266278,1573,32
"DecisionTreeClassifier(ccp_alpha=0.00021110407430863405, random_state=0)",0.00021110407430863405,0.9841671944268524,0.13164556962025317,0.015223482449574912,1571,32
"DecisionTreeClassifier(ccp_alpha=0.0003941593555273097, random_state=0)",0.0003941593555273097,0.9841671944268524,0.13164556962025317,0.015617641805102223,1569,32
"DecisionTreeClassifier(ccp_alpha=0.0004611812084896324, random_state=0)",0.0004611812084896324,0.9829005699810006,0.13164556962025317,0.01654000422208149,1565,32
"DecisionTreeClassifier(ccp_alpha=0.00047498416719442683, random_state=0)",0.00047498416719442683,0.9816339455351488,0.1291139240506329,0.01748997255647034,1549,32
"DecisionTreeClassifier(ccp_alpha=0.00047498416719442683, random_state=0)",0.00047498416719442683,0.9816339455351488,0.1291139240506329,0.018439940890859194,1549,32
"DecisionTreeClassifier(ccp_alpha=0.00047498416719442683, random_state=0)",0.00047498416719442683,0.9816339455351488,0.1291139240506329,0.019389909225248046,1549,32
"DecisionTreeClassifier(ccp_alpha=0.00047498416719442683, random_state=0)",0.00047498416719442683,0.9816339455351488,0.1291139240506329,0.0203398775596369,1549,32
"DecisionTreeClassifier(ccp_alpha=0.0005066497783407218, random_state=0)",0.0005066497783407218,0.980367321089297,0.1291139240506329,0.02135317711631834,1541,32
"DecisionTreeClassifier(ccp_alpha=0.0005066497783407218, random_state=0)",0.0005066497783407218,0.980367321089297,0.1291139240506329,0.022366476672999784,1541,32
"DecisionTreeClassifier(ccp_alpha=0.0005277601857715855, random_state=0)",0.0005277601857715855,0.9778340721975934,0.13164556962025317,0.023421997044542956,1525,32
"DecisionTreeClassifier(ccp_alpha=0.0005277601857715855, random_state=0)",0.0005277601857715855,0.9778340721975934,0.13164556962025317,0.024477517416086128,1525,32
"DecisionTreeClassifier(ccp_alpha=0.0005277601857715855, random_state=0)",0.0005277601857715855,0.9778340721975934,0.13164556962025317,0.0255330377876293,1525,32
