models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9866666666666667,0.345,0.014502465127465123,1661,28
"DecisionTreeClassifier(ccp_alpha=5.471380471380478e-05, random_state=0)",5.471380471380478e-05,0.9866666666666667,0.345,0.014557178932178928,1659,28
"DecisionTreeClassifier(ccp_alpha=6.944444444444489e-05, random_state=0)",6.944444444444489e-05,0.9866666666666667,0.345,0.014626623376623373,1657,28
"DecisionTreeClassifier(ccp_alpha=0.00011111111111111044, random_state=0)",0.00011111111111111044,0.9866666666666667,0.345,0.014737734487734484,1655,28
"DecisionTreeClassifier(ccp_alpha=0.00015216450216450246, random_state=0)",0.00015216450216450246,0.98625,0.3466666666666667,0.014889898989898986,1653,28
"DecisionTreeClassifier(ccp_alpha=0.00017676767676767704, random_state=0)",0.00017676767676767704,0.98625,0.3466666666666667,0.015066666666666662,1651,28
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333327, random_state=0)",0.00020833333333333327,0.98625,0.345,0.015274999999999995,1649,28
"DecisionTreeClassifier(ccp_alpha=0.0002430555555555556, random_state=0)",0.0002430555555555556,0.9858333333333333,0.345,0.015761111111111108,1645,28
"DecisionTreeClassifier(ccp_alpha=0.00024743589743589714, random_state=0)",0.00024743589743589714,0.9858333333333333,0.34,0.016008547008547005,1643,28
"DecisionTreeClassifier(ccp_alpha=0.00025925925925925986, random_state=0)",0.00025925925925925986,0.9858333333333333,0.34,0.016267806267806266,1641,28
"DecisionTreeClassifier(ccp_alpha=0.0002777777777777774, random_state=0)",0.0002777777777777774,0.9854166666666667,0.34,0.016545584045584042,1639,28
"DecisionTreeClassifier(ccp_alpha=0.00030864197530864197, random_state=0)",0.00030864197530864197,0.98375,0.3383333333333333,0.018397435897435893,1627,28
"DecisionTreeClassifier(ccp_alpha=0.00031249999999999995, random_state=0)",0.00031249999999999995,0.9833333333333333,0.3383333333333333,0.019022435897435894,1623,28
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9820833333333333,0.33666666666666667,0.020272435897435895,1611,28
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9820833333333333,0.33666666666666667,0.020897435897435895,1611,28
"DecisionTreeClassifier(ccp_alpha=0.00032407407407407406, random_state=0)",0.00032407407407407406,0.9820833333333333,0.33666666666666667,0.02122150997150997,1609,28
"DecisionTreeClassifier(ccp_alpha=0.0003273809523809524, random_state=0)",0.0003273809523809524,0.98125,0.3333333333333333,0.022531033781033778,1601,28
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.9808333333333333,0.3333333333333333,0.023197700447700444,1597,28
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222207, random_state=0)",0.00034722222222222207,0.9808333333333333,0.3333333333333333,0.023544922669922665,1595,28
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.98,0.3333333333333333,0.02423936711436711,1587,28
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.98,0.3333333333333333,0.024933811558811556,1587,28
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.9779166666666667,0.3333333333333333,0.025648097273097272,1567,28
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.9779166666666667,0.3333333333333333,0.026362382987382988,1567,28
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.9779166666666667,0.3333333333333333,0.027076668701668704,1567,28
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.9779166666666667,0.3333333333333333,0.02779095441595442,1567,28
