models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.99875,0.8605,0.0019015164581895996,1433,42
"DecisionTreeClassifier(ccp_alpha=8.576329331056614e-08, random_state=0)",8.576329331056614e-08,0.99875,0.8605,0.0019016879847762206,1429,42
"DecisionTreeClassifier(ccp_alpha=1.5948963317396776e-07, random_state=0)",1.5948963317396776e-07,0.99875,0.8605,0.0019018474744093945,1427,42
"DecisionTreeClassifier(ccp_alpha=2.8760425654260824e-07, random_state=0)",2.8760425654260824e-07,0.99875,0.8605,0.0019021350786659372,1425,42
"DecisionTreeClassifier(ccp_alpha=3.4650034649990886e-07, random_state=0)",3.4650034649990886e-07,0.99875,0.8605,0.001902481579012437,1423,42
"DecisionTreeClassifier(ccp_alpha=8.547008547012624e-07, random_state=0)",8.547008547012624e-07,0.99875,0.8605,0.0019033362798671384,1421,42
"DecisionTreeClassifier(ccp_alpha=1.7835458409236685e-06, random_state=0)",1.7835458409236685e-06,0.99875,0.8605,0.001905119825708062,1419,42
"DecisionTreeClassifier(ccp_alpha=1.838235294117569e-06, random_state=0)",1.838235294117569e-06,0.99875,0.8605,0.0019087962962962973,1415,42
"DecisionTreeClassifier(ccp_alpha=4.807692307692087e-06, random_state=0)",4.807692307692087e-06,0.99875,0.8605,0.0019136039886039893,1413,42
"DecisionTreeClassifier(ccp_alpha=5.366726296958911e-06, random_state=0)",5.366726296958911e-06,0.99875,0.8605,0.0019189707149009482,1411,42
"DecisionTreeClassifier(ccp_alpha=1.2499999999999951e-05, random_state=0)",1.2499999999999951e-05,0.99875,0.8605,0.0019314707149009481,1409,42
"DecisionTreeClassifier(ccp_alpha=1.4189988175010199e-05, random_state=0)",1.4189988175010199e-05,0.99875,0.8605,0.0019456607030759582,1407,42
"DecisionTreeClassifier(ccp_alpha=2.5903880070546684e-05, random_state=0)",2.5903880070546684e-05,0.99875,0.8605,0.0020233723432875983,1401,42
"DecisionTreeClassifier(ccp_alpha=3.125e-05, random_state=0)",3.125e-05,0.99875,0.8605,0.0020858723432875983,1397,42
"DecisionTreeClassifier(ccp_alpha=3.7143529728275574e-05, random_state=0)",3.7143529728275574e-05,0.99875,0.8605,0.002123015873015874,1395,42
"DecisionTreeClassifier(ccp_alpha=5.813492063492078e-05, random_state=0)",5.813492063492078e-05,0.99875,0.8605,0.0022392857142857154,1391,42
"DecisionTreeClassifier(ccp_alpha=6.722756410256399e-05, random_state=0)",6.722756410256399e-05,0.998625,0.861,0.0026426510989010993,1379,42
"DecisionTreeClassifier(ccp_alpha=7.842365967366009e-05, random_state=0)",7.842365967366009e-05,0.9985,0.861,0.0028779220779220796,1373,42
"DecisionTreeClassifier(ccp_alpha=8.088235294117645e-05, random_state=0)",8.088235294117645e-05,0.998375,0.861,0.003120569136745609,1367,42
"DecisionTreeClassifier(ccp_alpha=8.236434108527144e-05, random_state=0)",8.236434108527144e-05,0.99825,0.8615,0.003367662160001423,1361,42
"DecisionTreeClassifier(ccp_alpha=8.256880733944963e-05, random_state=0)",8.256880733944963e-05,0.998125,0.862,0.003615368582019772,1355,41
"DecisionTreeClassifier(ccp_alpha=8.282520325203263e-05, random_state=0)",8.282520325203263e-05,0.998,0.8625,0.00386384419177587,1349,41
"DecisionTreeClassifier(ccp_alpha=9.202230459715488e-05, random_state=0)",9.202230459715488e-05,0.997875,0.8625,0.004139911105567335,1343,41
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.99775,0.8625,0.004327411105567335,1339,41
"DecisionTreeClassifier(ccp_alpha=9.793814432989691e-05, random_state=0)",9.793814432989691e-05,0.9975,0.8645,0.004817101827216819,1329,41
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997375,0.8645,0.005017101827216819,1325,41
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99725,0.8645,0.005225435160550152,1321,41
"DecisionTreeClassifier(ccp_alpha=0.00010833333333333336, random_state=0)",0.00010833333333333336,0.997,0.8645,0.005658768493883485,1313,41
"DecisionTreeClassifier(ccp_alpha=0.00010862122626828505, random_state=0)",0.00010862122626828505,0.9965,0.865,0.006636359530298051,1295,41
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.996,0.8655,0.006855109530298051,1279,41
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.996,0.8655,0.007073859530298051,1279,41
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.996,0.8655,0.007292609530298051,1279,41
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.996,0.8655,0.007511359530298052,1279,41
