models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.984375,0.2385,0.018520753041840723,7099,40
"DecisionTreeClassifier(ccp_alpha=2.0833333333333316e-05, random_state=0)",2.0833333333333316e-05,0.984375,0.2385,0.018541586375174057,7097,40
"DecisionTreeClassifier(ccp_alpha=2.0833333333333343e-05, random_state=0)",2.0833333333333343e-05,0.984375,0.2385,0.018562419708507392,7095,40
"DecisionTreeClassifier(ccp_alpha=3.842905405405418e-05, random_state=0)",3.842905405405418e-05,0.984375,0.2385,0.0186392778166155,7091,40
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.984375,0.2385,0.018680944483282166,7089,40
"DecisionTreeClassifier(ccp_alpha=4.1666666666666686e-05, random_state=0)",4.1666666666666686e-05,0.984375,0.2385,0.01872261114994883,7087,40
"DecisionTreeClassifier(ccp_alpha=4.378799392097243e-05, random_state=0)",4.378799392097243e-05,0.984375,0.2385,0.018766399143869805,7085,40
"DecisionTreeClassifier(ccp_alpha=6.0504201680672016e-05, random_state=0)",6.0504201680672016e-05,0.984375,0.2385,0.018826903345550476,7083,40
"DecisionTreeClassifier(ccp_alpha=6.560097833682808e-05, random_state=0)",6.560097833682808e-05,0.984375,0.2385,0.018892504323887303,7081,40
"DecisionTreeClassifier(ccp_alpha=6.944444444444444e-05, random_state=0)",6.944444444444444e-05,0.98425,0.2385,0.019100837657220638,7075,40
"DecisionTreeClassifier(ccp_alpha=7.17592592592593e-05, random_state=0)",7.17592592592593e-05,0.984125,0.2385,0.019316115434998418,7069,40
"DecisionTreeClassifier(ccp_alpha=8.043672014260194e-05, random_state=0)",8.043672014260194e-05,0.984125,0.2385,0.01939655215514102,7067,40
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.98375,0.2385,0.019563218821807685,7055,40
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.98375,0.2385,0.01972988548847435,7055,40
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.98375,0.2385,0.019896552155141016,7055,40
"DecisionTreeClassifier(ccp_alpha=8.750000000000001e-05, random_state=0)",8.750000000000001e-05,0.983625,0.2385,0.019984052155141017,7053,40
"DecisionTreeClassifier(ccp_alpha=9.031914893616955e-05, random_state=0)",9.031914893616955e-05,0.983625,0.2385,0.020074371304077188,7051,40
"DecisionTreeClassifier(ccp_alpha=9.16666666666667e-05, random_state=0)",9.16666666666667e-05,0.9835,0.2385,0.02025770463741052,7047,40
"DecisionTreeClassifier(ccp_alpha=9.186507936507961e-05, random_state=0)",9.186507936507961e-05,0.983375,0.238,0.020349569716775602,7045,40
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98175,0.238,0.020537069716775602,6993,40
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98175,0.238,0.020724569716775602,6993,40
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98175,0.238,0.020912069716775603,6993,40
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98175,0.238,0.021099569716775603,6993,40
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98175,0.238,0.021287069716775603,6993,40
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98175,0.238,0.021474569716775603,6993,40
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98175,0.238,0.021662069716775603,6993,40
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98175,0.238,0.022037069716775604,6993,40
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98175,0.238,0.022224569716775604,6993,40
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98175,0.238,0.022412069716775604,6993,40
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98175,0.238,0.022599569716775604,6993,40
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98175,0.238,0.022787069716775604,6993,40
"DecisionTreeClassifier(ccp_alpha=9.957912457912374e-05, random_state=0)",9.957912457912374e-05,0.981625,0.2385,0.022886648841354728,6991,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979125,0.239,0.023086648841354727,6911,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979125,0.239,0.023286648841354726,6911,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979125,0.239,0.023486648841354724,6911,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979125,0.239,0.023686648841354723,6911,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979125,0.239,0.023886648841354722,6911,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979125,0.239,0.02408664884135472,6911,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979125,0.239,0.02428664884135472,6911,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979125,0.239,0.02448664884135472,6911,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979125,0.239,0.024686648841354717,6911,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979125,0.239,0.024886648841354716,6911,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979125,0.239,0.025086648841354715,6911,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979125,0.239,0.025286648841354713,6911,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979125,0.239,0.025486648841354712,6911,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979125,0.239,0.02568664884135471,6911,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979125,0.239,0.02588664884135471,6911,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979125,0.239,0.02608664884135471,6911,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979125,0.239,0.026286648841354707,6911,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979125,0.239,0.026486648841354706,6911,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979125,0.239,0.026686648841354705,6911,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.979125,0.239,0.026886648841354704,6911,40
"DecisionTreeClassifier(ccp_alpha=0.00010119047619047622, random_state=0)",0.00010119047619047622,0.979,0.2395,0.02719022026992613,6905,40
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.976375,0.24,0.027398553603259466,6821,40
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.976375,0.24,0.0276068869365928,6821,40
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.976375,0.24,0.027815220269926135,6821,40
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.976375,0.24,0.02802355360325947,6821,40
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.976375,0.24,0.028231886936592804,6821,40
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.976375,0.24,0.02844022026992614,6821,40
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.976375,0.24,0.028648553603259474,6821,40
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.976375,0.24,0.02885688693659281,6821,40
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.976375,0.24,0.029065220269926143,6821,40
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.976375,0.24,0.029273553603259478,6821,40
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.976375,0.24,0.029481886936592813,6821,40
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.976375,0.24,0.029690220269926147,6821,40
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.976375,0.24,0.029898553603259482,6821,40
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.976375,0.24,0.030106886936592817,6821,40
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.976375,0.24,0.03031522026992615,6821,40
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.976375,0.24,0.030523553603259486,6821,40
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.976375,0.24,0.03073188693659282,6821,40
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.976375,0.24,0.030940220269926155,6821,40
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.976375,0.24,0.03114855360325949,6821,40
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.976375,0.24,0.031356886936592825,6821,40
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.976375,0.24,0.031565220269926156,6821,40
"DecisionTreeClassifier(ccp_alpha=0.00010441176470588325, random_state=0)",0.00010441176470588325,0.97625,0.24,0.031669632034632036,6819,40
"DecisionTreeClassifier(ccp_alpha=0.00010615079365079369, random_state=0)",0.00010615079365079369,0.975875,0.239,0.031988084415584414,6813,40
"DecisionTreeClassifier(ccp_alpha=0.00010624999999999998, random_state=0)",0.00010624999999999998,0.975375,0.239,0.032413084415584416,6797,40
"DecisionTreeClassifier(ccp_alpha=0.00010624999999999998, random_state=0)",0.00010624999999999998,0.975375,0.239,0.03283808441558442,6797,40
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.97375,0.24,0.03305237012987013,6745,40
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.97375,0.24,0.03326665584415585,6745,40
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.97375,0.24,0.033480941558441564,6745,40
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.97375,0.24,0.03369522727272728,6745,40
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.97375,0.24,0.033909512987012995,6745,40
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.97375,0.24,0.03412379870129871,6745,40
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.97375,0.24,0.034338084415584426,6745,40
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.97375,0.24,0.03455237012987014,6745,40
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.97375,0.24,0.03476665584415586,6745,40
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.97375,0.24,0.03498094155844157,6745,40
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.97375,0.24,0.03519522727272729,6745,40
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.97375,0.24,0.035409512987013,6745,40
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.97375,0.24,0.03562379870129872,6745,40
"DecisionTreeClassifier(ccp_alpha=0.00010795454545454544, random_state=0)",0.00010795454545454544,0.97325,0.24,0.0360556168831169,6729,40
"DecisionTreeClassifier(ccp_alpha=0.00010795454545454544, random_state=0)",0.00010795454545454544,0.97325,0.24,0.03648743506493508,6729,40
"DecisionTreeClassifier(ccp_alpha=0.00010912698412698409, random_state=0)",0.00010912698412698409,0.973125,0.2405,0.03681481601731603,6723,40
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.9715,0.2405,0.03703356601731603,6671,40
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.9715,0.2405,0.037252316017316024,6671,40
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.9715,0.2405,0.03747106601731602,6671,40
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.9715,0.2405,0.03768981601731602,6671,40
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.9715,0.2405,0.037908566017316014,6671,40
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.9715,0.2405,0.03812731601731601,6671,40
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.9715,0.2405,0.03834606601731601,6671,40
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.9715,0.2405,0.038564816017316005,6671,40
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.9715,0.2405,0.038783566017316,6671,40
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.9715,0.2405,0.039002316017316,6671,40
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.9715,0.2405,0.039221066017315995,6671,40
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.9715,0.2405,0.03943981601731599,6671,40
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.9715,0.2405,0.03965856601731599,6671,40
"DecisionTreeClassifier(ccp_alpha=0.00011057692307692306, random_state=0)",0.00011057692307692306,0.97125,0.2405,0.04010087370962368,6663,40
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.969375,0.241,0.0403230959318459,6603,40
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.969375,0.241,0.04054531815406812,6603,40
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.969375,0.241,0.040767540376290344,6603,40
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.969375,0.241,0.040989762598512565,6603,40
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.969375,0.241,0.041656429265179235,6603,40
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.969375,0.241,0.041878651487401455,6603,40
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.969375,0.241,0.042100873709623676,6603,40
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.969375,0.241,0.0423230959318459,6603,40
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.969375,0.241,0.04254531815406812,6603,40
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.969375,0.241,0.04276754037629034,6603,40
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.969375,0.241,0.04298976259851256,6603,40
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.969375,0.241,0.04321198482073478,6603,40
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.969375,0.241,0.043434207042957,6603,40
"DecisionTreeClassifier(ccp_alpha=0.00011250000000000002, random_state=0)",0.00011250000000000002,0.967875,0.2415,0.043659207042957004,6555,40
"DecisionTreeClassifier(ccp_alpha=0.00011250000000000002, random_state=0)",0.00011250000000000002,0.967875,0.2415,0.04388420704295701,6555,40
"DecisionTreeClassifier(ccp_alpha=0.00011250000000000002, random_state=0)",0.00011250000000000002,0.967875,0.2415,0.04410920704295701,6555,40
"DecisionTreeClassifier(ccp_alpha=0.00011250000000000002, random_state=0)",0.00011250000000000002,0.967875,0.2415,0.04433420704295701,6555,40
"DecisionTreeClassifier(ccp_alpha=0.00011250000000000002, random_state=0)",0.00011250000000000002,0.967875,0.2415,0.044559207042957016,6555,40
