models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9845,0.3605,0.019550549450549456,6369,60
"DecisionTreeClassifier(ccp_alpha=1.3490675990675445e-05, random_state=0)",1.3490675990675445e-05,0.9845,0.3605,0.01956404012654013,6367,60
"DecisionTreeClassifier(ccp_alpha=2.0833333333333343e-05, random_state=0)",2.0833333333333343e-05,0.9845,0.3605,0.019584873459873465,6361,60
"DecisionTreeClassifier(ccp_alpha=2.0833333333333343e-05, random_state=0)",2.0833333333333343e-05,0.9845,0.3605,0.0196057067932068,6361,60
"DecisionTreeClassifier(ccp_alpha=2.0833333333333343e-05, random_state=0)",2.0833333333333343e-05,0.9845,0.3605,0.019626540126540134,6361,60
"DecisionTreeClassifier(ccp_alpha=2.083333333333337e-05, random_state=0)",2.083333333333337e-05,0.9845,0.3605,0.01964737345987347,6357,60
"DecisionTreeClassifier(ccp_alpha=2.083333333333337e-05, random_state=0)",2.083333333333337e-05,0.9845,0.3605,0.019668206793206803,6357,60
"DecisionTreeClassifier(ccp_alpha=2.1332046332046047e-05, random_state=0)",2.1332046332046047e-05,0.9845,0.3605,0.019689538839538848,6355,60
"DecisionTreeClassifier(ccp_alpha=2.4999999999999957e-05, random_state=0)",2.4999999999999957e-05,0.9845,0.3605,0.01971453883953885,6353,60
"DecisionTreeClassifier(ccp_alpha=3.030303030303031e-05, random_state=0)",3.030303030303031e-05,0.9845,0.3605,0.019805447930447938,6347,60
"DecisionTreeClassifier(ccp_alpha=3.125000000000003e-05, random_state=0)",3.125000000000003e-05,0.9845,0.3605,0.019836697930447938,6345,60
"DecisionTreeClassifier(ccp_alpha=3.7499999999999976e-05, random_state=0)",3.7499999999999976e-05,0.9845,0.3605,0.019911697930447936,6341,60
"DecisionTreeClassifier(ccp_alpha=4.017857142857149e-05, random_state=0)",4.017857142857149e-05,0.9845,0.3605,0.01999205507330508,6337,60
"DecisionTreeClassifier(ccp_alpha=4.166666666666663e-05, random_state=0)",4.166666666666663e-05,0.9845,0.3605,0.020033721739971744,6333,60
"DecisionTreeClassifier(ccp_alpha=4.166666666666663e-05, random_state=0)",4.166666666666663e-05,0.9845,0.3605,0.02007538840663841,6333,60
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.9845,0.3605,0.020117055073305076,6331,60
"DecisionTreeClassifier(ccp_alpha=4.633838383838462e-05, random_state=0)",4.633838383838462e-05,0.9845,0.3605,0.02016339345714346,6329,60
"DecisionTreeClassifier(ccp_alpha=4.765291607396844e-05, random_state=0)",4.765291607396844e-05,0.9845,0.3605,0.02021104637321743,6327,60
"DecisionTreeClassifier(ccp_alpha=5.357142857142858e-05, random_state=0)",5.357142857142858e-05,0.984375,0.3605,0.020425332087503145,6319,60
"DecisionTreeClassifier(ccp_alpha=5.8333333333333414e-05, random_state=0)",5.8333333333333414e-05,0.984375,0.3605,0.02048366542083648,6317,60
"DecisionTreeClassifier(ccp_alpha=6.186868686868701e-05, random_state=0)",6.186868686868701e-05,0.984375,0.3605,0.020545534107705165,6315,60
"DecisionTreeClassifier(ccp_alpha=6.380208333333325e-05, random_state=0)",6.380208333333325e-05,0.98425,0.3605,0.020736940357705166,6309,60
"DecisionTreeClassifier(ccp_alpha=6.85185185185185e-05, random_state=0)",6.85185185185185e-05,0.984125,0.3605,0.020942495913260722,6303,60
"DecisionTreeClassifier(ccp_alpha=7.174185463659148e-05, random_state=0)",7.174185463659148e-05,0.983875,0.3605,0.02122946333180709,6295,60
"DecisionTreeClassifier(ccp_alpha=7.291666666666666e-05, random_state=0)",7.291666666666666e-05,0.983875,0.3605,0.021302379998473755,6293,60
"DecisionTreeClassifier(ccp_alpha=7.500000000000002e-05, random_state=0)",7.500000000000002e-05,0.98375,0.3605,0.021527379998473754,6287,60
"DecisionTreeClassifier(ccp_alpha=7.54830917874393e-05, random_state=0)",7.54830917874393e-05,0.98375,0.3605,0.021602863090261194,6285,60
"DecisionTreeClassifier(ccp_alpha=7.575757575757577e-05, random_state=0)",7.575757575757577e-05,0.983625,0.3605,0.021830135817533923,6279,60
"DecisionTreeClassifier(ccp_alpha=8.020833333333334e-05, random_state=0)",8.020833333333334e-05,0.983375,0.3605,0.022150969150867256,6271,60
"DecisionTreeClassifier(ccp_alpha=8.045977011494246e-05, random_state=0)",8.045977011494246e-05,0.98325,0.3605,0.022392348461212082,6265,60
"DecisionTreeClassifier(ccp_alpha=8.114035087719291e-05, random_state=0)",8.114035087719291e-05,0.983125,0.361,0.022635769513843662,6259,60
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.982375,0.3615,0.022802436180510328,6235,60
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.982375,0.3615,0.023135769513843663,6235,60
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.982375,0.3615,0.023302436180510328,6235,60
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.982375,0.3615,0.023469102847176994,6235,60
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.982375,0.3615,0.02363576951384366,6235,60
"DecisionTreeClassifier(ccp_alpha=8.676122931442062e-05, random_state=0)",8.676122931442062e-05,0.982375,0.3615,0.02372253074315808,6233,60
"DecisionTreeClassifier(ccp_alpha=8.71212121212121e-05, random_state=0)",8.71212121212121e-05,0.98225,0.3615,0.023896773167400503,6229,60
"DecisionTreeClassifier(ccp_alpha=9.150641025641032e-05, random_state=0)",9.150641025641032e-05,0.982125,0.3615,0.023988279577656913,6227,59
"DecisionTreeClassifier(ccp_alpha=9.16666666666667e-05, random_state=0)",9.16666666666667e-05,0.982,0.361,0.024171612910990247,6223,59
"DecisionTreeClassifier(ccp_alpha=9.285714285714285e-05, random_state=0)",9.285714285714285e-05,0.98175,0.3625,0.024357327196704533,6219,59
"DecisionTreeClassifier(ccp_alpha=9.290081521739124e-05, random_state=0)",9.290081521739124e-05,0.981625,0.3625,0.024543128827139316,6215,59
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.979875,0.3635,0.024730628827139316,6163,59
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.979875,0.3635,0.025105628827139317,6163,59
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.979875,0.3635,0.025293128827139317,6163,59
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.979875,0.3635,0.025480628827139317,6163,59
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.979875,0.3635,0.025668128827139317,6163,59
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.979875,0.3635,0.025855628827139317,6163,59
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.979875,0.3635,0.026043128827139318,6163,59
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.979875,0.3635,0.026230628827139318,6163,59
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.979875,0.3635,0.026418128827139318,6163,59
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.979875,0.3635,0.026793128827139318,6163,59
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.979875,0.3635,0.02698062882713932,6163,59
"DecisionTreeClassifier(ccp_alpha=9.542151162790697e-05, random_state=0)",9.542151162790697e-05,0.97975,0.3635,0.027171471850395132,6159,57
"DecisionTreeClassifier(ccp_alpha=9.79020979020979e-05, random_state=0)",9.79020979020979e-05,0.979625,0.364,0.02736727604619933,6155,57
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.978,0.3655,0.027567276046199327,6103,57
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.978,0.3655,0.027767276046199326,6103,57
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.978,0.3655,0.027967276046199325,6103,57
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.978,0.3655,0.028167276046199324,6103,57
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.978,0.3655,0.028367276046199322,6103,57
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.978,0.3655,0.02856727604619932,6103,57
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.978,0.3655,0.02876727604619932,6103,57
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.978,0.3655,0.02896727604619932,6103,57
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.978,0.3655,0.029167276046199318,6103,57
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.978,0.3655,0.029367276046199316,6103,57
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.978,0.3655,0.029567276046199315,6103,57
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.978,0.3655,0.029767276046199314,6103,57
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.978,0.3655,0.029967276046199313,6103,57
"DecisionTreeClassifier(ccp_alpha=0.00010014005602240923, random_state=0)",0.00010014005602240923,0.978,0.3655,0.03016755615824413,6099,57
"DecisionTreeClassifier(ccp_alpha=0.00010057136194029873, random_state=0)",0.00010057136194029873,0.978,0.3655,0.03026812752018443,6097,57
"DecisionTreeClassifier(ccp_alpha=0.00010114629721260047, random_state=0)",0.00010114629721260047,0.977875,0.3655,0.03057156641182223,6091,54
"DecisionTreeClassifier(ccp_alpha=0.0001015625, random_state=0)",0.0001015625,0.977625,0.3655,0.03097781641182223,6083,54
"DecisionTreeClassifier(ccp_alpha=0.00010164928040181601, random_state=0)",0.00010164928040181601,0.977625,0.3655,0.031079465692224046,6081,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666666, random_state=0)",0.00010416666666666666,0.977375,0.3645,0.03149613235889071,6073,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97525,0.3645,0.03170446569222404,6005,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97525,0.3645,0.031912799025557374,6005,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97525,0.3645,0.032121132358890706,6005,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97525,0.3645,0.03232946569222404,6005,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97525,0.3645,0.03253779902555737,6005,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97525,0.3645,0.0327461323588907,6005,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97525,0.3645,0.03295446569222403,6005,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97525,0.3645,0.0333711323588907,6005,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97525,0.3645,0.03357946569222403,6005,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97525,0.3645,0.03378779902555736,6005,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97525,0.3645,0.03399613235889069,6005,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97525,0.3645,0.034204465692224024,6005,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97525,0.3645,0.034412799025557356,6005,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97525,0.3645,0.03462113235889069,6005,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97525,0.3645,0.03482946569222402,6005,54
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.97525,0.3645,0.03503779902555735,6005,54
