models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.986875,0.461,0.015901427308323862,4805,53
DecisionTreeClassifier(random_state=0),0.0,0.986875,0.461,0.015901427308323862,4805,53
"DecisionTreeClassifier(ccp_alpha=2.638025249670096e-06, random_state=0)",2.638025249670096e-06,0.986875,0.461,0.015904065333573532,4801,53
"DecisionTreeClassifier(ccp_alpha=8.333333333333337e-06, random_state=0)",8.333333333333337e-06,0.986875,0.461,0.015912398666906864,4799,53
"DecisionTreeClassifier(ccp_alpha=9.432234432234232e-06, random_state=0)",9.432234432234232e-06,0.986875,0.461,0.015931263135771333,4795,53
"DecisionTreeClassifier(ccp_alpha=9.61538461538309e-06, random_state=0)",9.61538461538309e-06,0.986875,0.461,0.015940878520386715,4793,53
"DecisionTreeClassifier(ccp_alpha=2.0833333333333316e-05, random_state=0)",2.0833333333333316e-05,0.986875,0.461,0.01596171185372005,4791,53
"DecisionTreeClassifier(ccp_alpha=2.0833333333333343e-05, random_state=0)",2.0833333333333343e-05,0.986875,0.461,0.015982545187053384,4789,53
"DecisionTreeClassifier(ccp_alpha=2.1412449512948732e-05, random_state=0)",2.1412449512948732e-05,0.986875,0.461,0.016003957636566334,4787,53
"DecisionTreeClassifier(ccp_alpha=3.3653846153846125e-05, random_state=0)",3.3653846153846125e-05,0.986875,0.461,0.016071265328874026,4783,53
"DecisionTreeClassifier(ccp_alpha=3.57839624143969e-05, random_state=0)",3.57839624143969e-05,0.986875,0.461,0.016178617216117217,4777,53
"DecisionTreeClassifier(ccp_alpha=3.7500000000000044e-05, random_state=0)",3.7500000000000044e-05,0.986875,0.461,0.016216117216117217,4775,53
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.986875,0.4605,0.016257783882783882,4769,53
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.986875,0.4605,0.016299450549450548,4769,53
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.986875,0.4605,0.016341117216117213,4769,53
"DecisionTreeClassifier(ccp_alpha=4.705882352941174e-05, random_state=0)",4.705882352941174e-05,0.986875,0.4605,0.016482293686705448,4763,53
"DecisionTreeClassifier(ccp_alpha=5.465686274509817e-05, random_state=0)",5.465686274509817e-05,0.986875,0.4605,0.016536950549450546,4761,53
"DecisionTreeClassifier(ccp_alpha=6.062030075188081e-05, random_state=0)",6.062030075188081e-05,0.986875,0.4605,0.01659757085020243,4759,53
"DecisionTreeClassifier(ccp_alpha=6.25e-05, random_state=0)",6.25e-05,0.986875,0.4605,0.01666007085020243,4757,52
"DecisionTreeClassifier(ccp_alpha=6.388888888888885e-05, random_state=0)",6.388888888888885e-05,0.98675,0.4605,0.016979515294646873,4747,52
"DecisionTreeClassifier(ccp_alpha=6.698966408268808e-05, random_state=0)",6.698966408268808e-05,0.986625,0.4605,0.017180484286894938,4741,52
"DecisionTreeClassifier(ccp_alpha=6.805555555555558e-05, random_state=0)",6.805555555555558e-05,0.986625,0.4605,0.01724853984245049,4739,52
"DecisionTreeClassifier(ccp_alpha=6.944444444444435e-05, random_state=0)",6.944444444444435e-05,0.986625,0.4605,0.017317984286894936,4737,52
"DecisionTreeClassifier(ccp_alpha=6.944444444444446e-05, random_state=0)",6.944444444444446e-05,0.9865,0.4605,0.017456873175783826,4733,51
"DecisionTreeClassifier(ccp_alpha=7.142857142857145e-05, random_state=0)",7.142857142857145e-05,0.986375,0.4605,0.01767115889006954,4727,51
"DecisionTreeClassifier(ccp_alpha=7.230686982090222e-05, random_state=0)",7.230686982090222e-05,0.98625,0.46,0.017743465759890442,4725,51
"DecisionTreeClassifier(ccp_alpha=7.407407407407407e-05, random_state=0)",7.407407407407407e-05,0.986125,0.46,0.017965687982112663,4719,51
"DecisionTreeClassifier(ccp_alpha=7.73809523809524e-05, random_state=0)",7.73809523809524e-05,0.986,0.46,0.01819783083925552,4713,51
"DecisionTreeClassifier(ccp_alpha=8.194444444444449e-05, random_state=0)",8.194444444444449e-05,0.98575,0.46,0.0185256086170333,4705,51
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.98525,0.4605,0.018858941950366633,4691,50
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.98525,0.4605,0.019108941950366633,4691,50
"DecisionTreeClassifier(ccp_alpha=8.333333333333334e-05, random_state=0)",8.333333333333334e-05,0.985125,0.461,0.019192275283699968,4689,50
"DecisionTreeClassifier(ccp_alpha=8.333333333333337e-05, random_state=0)",8.333333333333337e-05,0.985125,0.461,0.019275608617033303,4687,50
"DecisionTreeClassifier(ccp_alpha=8.928571428571429e-05, random_state=0)",8.928571428571429e-05,0.984875,0.462,0.01963275147417616,4679,50
"DecisionTreeClassifier(ccp_alpha=9.343434343434346e-05, random_state=0)",9.343434343434346e-05,0.98475,0.462,0.019819620161044847,4675,50
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.984125,0.462,0.020007120161044847,4655,50
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.984125,0.462,0.020194620161044848,4655,50
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.984125,0.462,0.020382120161044848,4655,50
