models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.998375,0.862,0.002464809902740937,1469,52
"DecisionTreeClassifier(ccp_alpha=2.9222676797249943e-07, random_state=0)",2.9222676797249943e-07,0.998375,0.862,0.002465102129508909,1467,52
"DecisionTreeClassifier(ccp_alpha=6.410256410256622e-07, random_state=0)",6.410256410256622e-07,0.998375,0.862,0.002465743155149935,1463,51
"DecisionTreeClassifier(ccp_alpha=6.410256410256622e-07, random_state=0)",6.410256410256622e-07,0.998375,0.862,0.0024663841807909606,1463,51
"DecisionTreeClassifier(ccp_alpha=8.201202843078595e-07, random_state=0)",8.201202843078595e-07,0.998375,0.862,0.0024672043010752686,1461,51
"DecisionTreeClassifier(ccp_alpha=1.2036591237367866e-06, random_state=0)",1.2036591237367866e-06,0.998375,0.862,0.0024684079601990055,1459,51
"DecisionTreeClassifier(ccp_alpha=1.744186046511722e-06, random_state=0)",1.744186046511722e-06,0.998375,0.862,0.002470152146245517,1457,51
"DecisionTreeClassifier(ccp_alpha=2.579694121982118e-06, random_state=0)",2.579694121982118e-06,0.998375,0.862,0.0024727318403674993,1455,51
"DecisionTreeClassifier(ccp_alpha=5.769230769231176e-06, random_state=0)",5.769230769231176e-06,0.998375,0.862,0.0024785010711367303,1453,51
"DecisionTreeClassifier(ccp_alpha=6.862371330537448e-06, random_state=0)",6.862371330537448e-06,0.998375,0.862,0.0024853634424672677,1451,51
"DecisionTreeClassifier(ccp_alpha=1.799242424242427e-05, random_state=0)",1.799242424242427e-05,0.998375,0.862,0.0025573331394369648,1443,51
"DecisionTreeClassifier(ccp_alpha=2.0833333333333343e-05, random_state=0)",2.0833333333333343e-05,0.998375,0.862,0.002578166472770298,1441,51
"DecisionTreeClassifier(ccp_alpha=2.4999999999999984e-05, random_state=0)",2.4999999999999984e-05,0.998375,0.862,0.002628166472770298,1437,51
"DecisionTreeClassifier(ccp_alpha=2.7777777777777813e-05, random_state=0)",2.7777777777777813e-05,0.998375,0.862,0.0026837220283258537,1433,51
"DecisionTreeClassifier(ccp_alpha=4.166666666666666e-05, random_state=0)",4.166666666666666e-05,0.998375,0.862,0.0027253886949925206,1431,51
"DecisionTreeClassifier(ccp_alpha=4.900000000000002e-05, random_state=0)",4.900000000000002e-05,0.99825,0.862,0.0029703886949925206,1421,51
"DecisionTreeClassifier(ccp_alpha=5.833333333333339e-05, random_state=0)",5.833333333333339e-05,0.99825,0.862,0.003028722028325854,1419,51
"DecisionTreeClassifier(ccp_alpha=6.59060529634301e-05, random_state=0)",6.59060529634301e-05,0.998125,0.862,0.0032923462401795744,1411,49
"DecisionTreeClassifier(ccp_alpha=6.666666666666666e-05, random_state=0)",6.666666666666666e-05,0.998,0.862,0.0034923462401795745,1405,49
"DecisionTreeClassifier(ccp_alpha=7.976315789473695e-05, random_state=0)",7.976315789473695e-05,0.99775,0.862,0.003970925187547996,1393,49
"DecisionTreeClassifier(ccp_alpha=8.045977011494246e-05, random_state=0)",8.045977011494246e-05,0.997625,0.862,0.004212304497892823,1387,49
"DecisionTreeClassifier(ccp_alpha=8.055555555555552e-05, random_state=0)",8.055555555555552e-05,0.9975,0.862,0.00445397116455949,1381,49
"DecisionTreeClassifier(ccp_alpha=8.152173913043472e-05, random_state=0)",8.152173913043472e-05,0.997375,0.862,0.0046985363819507945,1375,49
"DecisionTreeClassifier(ccp_alpha=8.196721311475399e-05, random_state=0)",8.196721311475399e-05,0.99725,0.863,0.004944438021295057,1369,49
"DecisionTreeClassifier(ccp_alpha=8.226495726495744e-05, random_state=0)",8.226495726495744e-05,0.997,0.863,0.005438027764884801,1357,49
"DecisionTreeClassifier(ccp_alpha=8.234126984126977e-05, random_state=0)",8.234126984126977e-05,0.996875,0.863,0.00568505157440861,1351,49
"DecisionTreeClassifier(ccp_alpha=8.261494252873551e-05, random_state=0)",8.261494252873551e-05,0.99675,0.864,0.005932896401994817,1345,49
"DecisionTreeClassifier(ccp_alpha=8.270676691729351e-05, random_state=0)",8.270676691729351e-05,0.996625,0.864,0.006181016702746697,1339,49
"DecisionTreeClassifier(ccp_alpha=8.306451612903295e-05, random_state=0)",8.306451612903295e-05,0.9965,0.864,0.006430210251133796,1333,49
"DecisionTreeClassifier(ccp_alpha=8.314393939393945e-05, random_state=0)",8.314393939393945e-05,0.99625,0.865,0.006929073887497432,1321,49
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.996,0.865,0.0071165738874974325,1313,49
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.996,0.865,0.007304073887497433,1313,49
"DecisionTreeClassifier(ccp_alpha=9.541318248893213e-05, random_state=0)",9.541318248893213e-05,0.99575,0.865,0.007781139799942093,1303,49
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.995625,0.865,0.007981139799942093,1299,49
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9955,0.865,0.008195425514227807,1295,49
"DecisionTreeClassifier(ccp_alpha=0.0001074888576120103, random_state=0)",0.0001074888576120103,0.99525,0.865,0.008732869802287858,1285,49
"DecisionTreeClassifier(ccp_alpha=0.00010917030567685607, random_state=0)",0.00010917030567685607,0.99475,0.865,0.009715402553379562,1267,49
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.9945,0.866,0.009934152553379563,1259,49
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.9945,0.866,0.010152902553379563,1259,49
"DecisionTreeClassifier(ccp_alpha=0.00011010971786833861, random_state=0)",0.00011010971786833861,0.99425,0.866,0.010593341424852918,1251,49
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.994125,0.866,0.01081556364707514,1247,49
"DecisionTreeClassifier(ccp_alpha=0.00011209349593495936, random_state=0)",0.00011209349593495936,0.993875,0.866,0.011488124622684896,1235,43
"DecisionTreeClassifier(ccp_alpha=0.00011250000000000002, random_state=0)",0.00011250000000000002,0.99325,0.8665,0.012163124622684896,1215,43
"DecisionTreeClassifier(ccp_alpha=0.00011250000000000002, random_state=0)",0.00011250000000000002,0.99325,0.8665,0.012388124622684895,1215,43
"DecisionTreeClassifier(ccp_alpha=0.00011250000000000002, random_state=0)",0.00011250000000000002,0.99325,0.8665,0.012613124622684895,1215,43
"DecisionTreeClassifier(ccp_alpha=0.00011290322580645162, random_state=0)",0.00011290322580645162,0.992875,0.867,0.013290543977523604,1203,43
"DecisionTreeClassifier(ccp_alpha=0.00011363636363636365, random_state=0)",0.00011363636363636365,0.99275,0.867,0.013517816704796331,1199,43
"DecisionTreeClassifier(ccp_alpha=0.00011458333333333334, random_state=0)",0.00011458333333333334,0.99225,0.8675,0.013746983371462998,1183,43
"DecisionTreeClassifier(ccp_alpha=0.00011458333333333334, random_state=0)",0.00011458333333333334,0.99225,0.8675,0.013976150038129666,1183,43
"DecisionTreeClassifier(ccp_alpha=0.00011458333333333334, random_state=0)",0.00011458333333333334,0.99225,0.8675,0.014205316704796333,1183,43
"DecisionTreeClassifier(ccp_alpha=0.00011458333333333334, random_state=0)",0.00011458333333333334,0.99225,0.8675,0.014434483371463,1183,43
"DecisionTreeClassifier(ccp_alpha=0.00011519607843137253, random_state=0)",0.00011519607843137253,0.99175,0.8685,0.015356051998913982,1167,43
"DecisionTreeClassifier(ccp_alpha=0.00011538461538461534, random_state=0)",0.00011538461538461534,0.991375,0.8685,0.015586821229683212,1155,43
"DecisionTreeClassifier(ccp_alpha=0.00011538461538461534, random_state=0)",0.00011538461538461534,0.991375,0.8685,0.015817590460452443,1155,43
"DecisionTreeClassifier(ccp_alpha=0.00011538461538461534, random_state=0)",0.00011538461538461534,0.991375,0.8685,0.016048359691221675,1155,43
"DecisionTreeClassifier(ccp_alpha=0.00011666666666666669, random_state=0)",0.00011666666666666669,0.991125,0.8685,0.016515026357888343,1147,43
"DecisionTreeClassifier(ccp_alpha=0.00011764705882352944, random_state=0)",0.00011764705882352944,0.990875,0.8685,0.016750320475535402,1139,43
"DecisionTreeClassifier(ccp_alpha=0.00011764705882352944, random_state=0)",0.00011764705882352944,0.990875,0.8685,0.01698561459318246,1139,43
"DecisionTreeClassifier(ccp_alpha=0.00011791007793846004, random_state=0)",0.00011791007793846004,0.99075,0.8685,0.01722143474905938,1135,43
"DecisionTreeClassifier(ccp_alpha=0.0001183333333333334, random_state=0)",0.0001183333333333334,0.99025,0.8685,0.01816810141572605,1119,43
"DecisionTreeClassifier(ccp_alpha=0.00011842105263157901, random_state=0)",0.00011842105263157901,0.990125,0.869,0.018404943520989207,1115,43
"DecisionTreeClassifier(ccp_alpha=0.00011858974358974356, random_state=0)",0.00011858974358974356,0.989875,0.87,0.01887930249534818,1107,43
"DecisionTreeClassifier(ccp_alpha=0.00011874999999999997, random_state=0)",0.00011874999999999997,0.989625,0.8705,0.01911680249534818,1099,43
"DecisionTreeClassifier(ccp_alpha=0.00011874999999999997, random_state=0)",0.00011874999999999997,0.989625,0.8705,0.019354302495348183,1099,43
"DecisionTreeClassifier(ccp_alpha=0.00011904761904761909, random_state=0)",0.00011904761904761909,0.98925,0.87,0.01959239773344342,1087,43
"DecisionTreeClassifier(ccp_alpha=0.00011904761904761909, random_state=0)",0.00011904761904761909,0.98925,0.87,0.01983049297153866,1087,43
"DecisionTreeClassifier(ccp_alpha=0.00011904761904761909, random_state=0)",0.00011904761904761909,0.98925,0.87,0.0200685882096339,1087,43
"DecisionTreeClassifier(ccp_alpha=0.0001191860465116279, random_state=0)",0.0001191860465116279,0.989,0.87,0.02054533239568041,1079,43
"DecisionTreeClassifier(ccp_alpha=0.00011931818181818187, random_state=0)",0.00011931818181818187,0.988625,0.872,0.020783968759316776,1067,43
"DecisionTreeClassifier(ccp_alpha=0.00011931818181818187, random_state=0)",0.00011931818181818187,0.988625,0.872,0.021261241486589505,1067,43
"DecisionTreeClassifier(ccp_alpha=0.00011956521739130438, random_state=0)",0.00011956521739130438,0.9885,0.872,0.021500371921372115,1063,43
"DecisionTreeClassifier(ccp_alpha=0.00011988256841198033, random_state=0)",0.00011988256841198033,0.98825,0.872,0.021979902195020037,1055,43
"DecisionTreeClassifier(ccp_alpha=0.00011998697916666665, random_state=0)",0.00011998697916666665,0.988,0.872,0.022459850111686705,1047,43
"DecisionTreeClassifier(ccp_alpha=0.00012009214743589744, random_state=0)",0.00012009214743589744,0.9875,0.874,0.023420587291173883,1031,43
"DecisionTreeClassifier(ccp_alpha=0.00012019230769230777, random_state=0)",0.00012019230769230777,0.987375,0.874,0.023660971906558498,1027,43
"DecisionTreeClassifier(ccp_alpha=0.00012082040131365136, random_state=0)",0.00012082040131365136,0.98725,0.874,0.0239026127091858,1023,43
"DecisionTreeClassifier(ccp_alpha=0.00012109375, random_state=0)",0.00012109375,0.987125,0.874,0.0241448002091858,1019,43
"DecisionTreeClassifier(ccp_alpha=0.00012126865671641799, random_state=0)",0.00012126865671641799,0.986875,0.8745,0.024629874836051474,1011,43
"DecisionTreeClassifier(ccp_alpha=0.00012132352941176467, random_state=0)",0.00012132352941176467,0.98675,0.8745,0.024872521894875002,1007,43
"DecisionTreeClassifier(ccp_alpha=0.00012142857142857143, random_state=0)",0.00012142857142857143,0.9865,0.8745,0.025115379037732144,999,43
"DecisionTreeClassifier(ccp_alpha=0.00012142857142857143, random_state=0)",0.00012142857142857143,0.9865,0.8745,0.025358236180589286,999,43
"DecisionTreeClassifier(ccp_alpha=0.00012152777777777781, random_state=0)",0.00012152777777777781,0.986375,0.8745,0.02560129173614484,995,43
"DecisionTreeClassifier(ccp_alpha=0.0001219191985332636, random_state=0)",0.0001219191985332636,0.986125,0.8745,0.026088968530277895,987,43
"DecisionTreeClassifier(ccp_alpha=0.00012193166399407951, random_state=0)",0.00012193166399407951,0.985625,0.8755,0.02706442184223053,971,43
"DecisionTreeClassifier(ccp_alpha=0.00012195121951219518, random_state=0)",0.00012195121951219518,0.9855,0.8755,0.02730832428125492,967,43
"DecisionTreeClassifier(ccp_alpha=0.00012200510604870359, random_state=0)",0.00012200510604870359,0.985125,0.876,0.028040354917547142,955,43
"DecisionTreeClassifier(ccp_alpha=0.00012202380952380947, random_state=0)",0.00012202380952380947,0.984875,0.876,0.02852845015564238,947,43
"DecisionTreeClassifier(ccp_alpha=0.00012215909090909088, random_state=0)",0.00012215909090909088,0.98475,0.876,0.028772768337460564,943,43
"DecisionTreeClassifier(ccp_alpha=0.00012236842105263157, random_state=0)",0.00012236842105263157,0.9845,0.8765,0.02926224202167109,935,43
"DecisionTreeClassifier(ccp_alpha=0.00012250000000000005, random_state=0)",0.00012250000000000005,0.984375,0.8765,0.029507242021671088,931,43
"DecisionTreeClassifier(ccp_alpha=0.0001225490196078433, random_state=0)",0.0001225490196078433,0.98425,0.8765,0.029752340060886773,927,43
"DecisionTreeClassifier(ccp_alpha=0.000122596153846154, random_state=0)",0.000122596153846154,0.983875,0.877,0.0304879169839637,915,43
"DecisionTreeClassifier(ccp_alpha=0.0001232394366197183, random_state=0)",0.0001232394366197183,0.98375,0.877,0.030734395857203136,911,43
"DecisionTreeClassifier(ccp_alpha=0.0001234177215189873, random_state=0)",0.0001234177215189873,0.983625,0.877,0.03098123130024111,907,43
