models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.99625,0.28,0.00375,621,30
DecisionTreeClassifier(random_state=0),0.0,0.99625,0.28,0.00375,621,30
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428571, random_state=0)",0.0003571428571428571,0.99625,0.28,0.004821428571428571,613,30
"DecisionTreeClassifier(ccp_alpha=0.0006249999999999999, random_state=0)",0.0006249999999999999,0.99625,0.28,0.005446428571428571,611,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.995,0.28,0.007113095238095238,607,28
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333335, random_state=0)",0.0008333333333333335,0.99375,0.28,0.007946428571428571,605,28
"DecisionTreeClassifier(ccp_alpha=0.0009765624999999999, random_state=0)",0.0009765624999999999,0.9925,0.28,0.011852678571428571,597,26
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.99125,0.28,0.013852678571428571,593,26
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.98625,0.28,0.015936011904761904,577,26
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.98625,0.28,0.018019345238095237,577,26
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.98625,0.28,0.02010267857142857,577,26
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.98625,0.28,0.022186011904761903,577,26
"DecisionTreeClassifier(ccp_alpha=0.0010714285714285717, random_state=0)",0.0010714285714285717,0.985,0.28,0.024328869047619047,573,26
"DecisionTreeClassifier(ccp_alpha=0.001102941176470588, random_state=0)",0.001102941176470588,0.9825,0.29,0.028740633753501398,565,26
"DecisionTreeClassifier(ccp_alpha=0.0011111111111111111, random_state=0)",0.0011111111111111111,0.98125,0.29,0.03096285597572362,561,26
"DecisionTreeClassifier(ccp_alpha=0.0011250000000000003, random_state=0)",0.0011250000000000003,0.98,0.295,0.03321285597572362,557,26
"DecisionTreeClassifier(ccp_alpha=0.0011363636363636365, random_state=0)",0.0011363636363636365,0.97875,0.295,0.03548558324845089,553,26
"DecisionTreeClassifier(ccp_alpha=0.001171875, random_state=0)",0.001171875,0.9775,0.295,0.03782933324845089,549,26
"DecisionTreeClassifier(ccp_alpha=0.0011999999999999997, random_state=0)",0.0011999999999999997,0.97625,0.3,0.04022933324845089,545,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94125,0.305,0.04147933324845089,489,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94125,0.305,0.04272933324845089,489,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94125,0.305,0.043979333248450894,489,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94125,0.305,0.045229333248450895,489,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94125,0.305,0.046479333248450896,489,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94125,0.305,0.0477293332484509,489,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94125,0.305,0.0489793332484509,489,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94125,0.305,0.0502293332484509,489,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94125,0.305,0.0514793332484509,489,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94125,0.305,0.0527293332484509,489,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94125,0.305,0.0539793332484509,489,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94125,0.305,0.056479333248450905,489,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94125,0.305,0.057729333248450906,489,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94125,0.305,0.05897933324845091,489,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94125,0.305,0.06022933324845091,489,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94125,0.305,0.06147933324845091,489,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94125,0.305,0.06272933324845091,489,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94125,0.305,0.06522933324845091,489,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94125,0.305,0.06772933324845092,489,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94125,0.305,0.06897933324845092,489,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94125,0.305,0.07022933324845092,489,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94125,0.305,0.07147933324845092,489,26
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.94125,0.305,0.07272933324845092,489,26
