models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9975,0.515,0.0025,465,26
"DecisionTreeClassifier(ccp_alpha=0.00031250000000000006, random_state=0)",0.00031250000000000006,0.9975,0.515,0.0034375000000000005,459,23
"DecisionTreeClassifier(ccp_alpha=0.000340909090909091, random_state=0)",0.000340909090909091,0.9975,0.515,0.004460227272727274,453,23
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.99625,0.515,0.0065435606060606066,449,23
"DecisionTreeClassifier(ccp_alpha=0.0011111111111111111, random_state=0)",0.0011111111111111111,0.995,0.515,0.00876578282828283,445,23
"DecisionTreeClassifier(ccp_alpha=0.0011538461538461533, random_state=0)",0.0011538461538461533,0.99375,0.515,0.011073475135975137,441,23
"DecisionTreeClassifier(ccp_alpha=0.001160714285714286, random_state=0)",0.001160714285714286,0.9925,0.515,0.013394903707403708,437,23
"DecisionTreeClassifier(ccp_alpha=0.0011842105263157902, random_state=0)",0.0011842105263157902,0.99125,0.515,0.015763324760035287,433,23
"DecisionTreeClassifier(ccp_alpha=0.001185344827586207, random_state=0)",0.001185344827586207,0.98875,0.515,0.020504704070380117,425,23
"DecisionTreeClassifier(ccp_alpha=0.0011895161290322576, random_state=0)",0.0011895161290322576,0.98625,0.515,0.025262768586509148,417,23
"DecisionTreeClassifier(ccp_alpha=0.001240530303030303, random_state=0)",0.001240530303030303,0.98375,0.515,0.028984359495600055,411,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.98,0.515,0.030234359495600056,405,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.98,0.515,0.03148435949560006,405,23
"DecisionTreeClassifier(ccp_alpha=0.00125, random_state=0)",0.00125,0.98,0.515,0.03273435949560006,405,23
"DecisionTreeClassifier(ccp_alpha=0.0012762237762237762, random_state=0)",0.0012762237762237762,0.9775,0.515,0.03528680704804761,401,23
"DecisionTreeClassifier(ccp_alpha=0.0014814814814814814, random_state=0)",0.0014814814814814814,0.9725,0.515,0.039731251492492056,389,23
"DecisionTreeClassifier(ccp_alpha=0.0014814814814814814, random_state=0)",0.0014814814814814814,0.9725,0.515,0.0441756959369365,389,23
"DecisionTreeClassifier(ccp_alpha=0.0015, random_state=0)",0.0015,0.965,0.515,0.047175695936936504,377,23
"DecisionTreeClassifier(ccp_alpha=0.0015, random_state=0)",0.0015,0.965,0.515,0.05017569593693651,377,23
"DecisionTreeClassifier(ccp_alpha=0.0015, random_state=0)",0.0015,0.965,0.515,0.05317569593693651,377,23
"DecisionTreeClassifier(ccp_alpha=0.0015180652680652675, random_state=0)",0.0015180652680652675,0.9625,0.515,0.057729891741132314,371,23
"DecisionTreeClassifier(ccp_alpha=0.0015277777777777779, random_state=0)",0.0015277777777777779,0.96,0.515,0.06231322507446565,365,23
"DecisionTreeClassifier(ccp_alpha=0.0015625, random_state=0)",0.0015625,0.9575,0.515,0.06543822507446564,361,23
"DecisionTreeClassifier(ccp_alpha=0.0015833333333333333, random_state=0)",0.0015833333333333333,0.95625,0.515,0.06702155840779898,359,23
"DecisionTreeClassifier(ccp_alpha=0.0016378205128205127, random_state=0)",0.0016378205128205127,0.95125,0.52,0.07193501994626052,353,23
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.9325,0.525,0.07526835327959384,321,23
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.9325,0.525,0.07693501994626051,321,23
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.9325,0.525,0.07860168661292717,321,23
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.9325,0.525,0.08026835327959383,321,23
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.9325,0.525,0.0819350199462605,321,23
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.9325,0.525,0.08360168661292716,321,23
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.9325,0.525,0.08526835327959383,321,23
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.9325,0.525,0.08693501994626049,321,23
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.9325,0.525,0.08860168661292715,321,23
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.9325,0.525,0.09026835327959382,321,23
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.9325,0.525,0.09360168661292714,321,23
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.9325,0.525,0.0952683532795938,321,23
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.9325,0.525,0.09693501994626047,321,23
"DecisionTreeClassifier(ccp_alpha=0.0016666666666666666, random_state=0)",0.0016666666666666666,0.9325,0.525,0.09860168661292713,321,23
"DecisionTreeClassifier(ccp_alpha=0.0017629629629629634, random_state=0)",0.0017629629629629634,0.92875,0.52,0.10389057550181602,315,23
"DecisionTreeClassifier(ccp_alpha=0.001777777777777777, random_state=0)",0.001777777777777777,0.9275,0.52,0.1056683532795938,313,23
"DecisionTreeClassifier(ccp_alpha=0.001791666666666667, random_state=0)",0.001791666666666667,0.92625,0.52,0.10746001994626046,311,23
"DecisionTreeClassifier(ccp_alpha=0.0017999999999999995, random_state=0)",0.0017999999999999995,0.92125,0.525,0.11646001994626046,301,23
"DecisionTreeClassifier(ccp_alpha=0.001818181818181818, random_state=0)",0.001818181818181818,0.9175,0.525,0.1219145654008059,295,23
"DecisionTreeClassifier(ccp_alpha=0.001875, random_state=0)",0.001875,0.90375,0.525,0.1237895654008059,273,23
"DecisionTreeClassifier(ccp_alpha=0.001875, random_state=0)",0.001875,0.90375,0.525,0.1256645654008059,273,23
"DecisionTreeClassifier(ccp_alpha=0.001875, random_state=0)",0.001875,0.90375,0.525,0.12753956540080588,273,23
"DecisionTreeClassifier(ccp_alpha=0.001875, random_state=0)",0.001875,0.90375,0.525,0.12941456540080587,273,23
"DecisionTreeClassifier(ccp_alpha=0.001875, random_state=0)",0.001875,0.90375,0.525,0.13128956540080586,273,23
"DecisionTreeClassifier(ccp_alpha=0.001875, random_state=0)",0.001875,0.90375,0.525,0.13316456540080585,273,23
"DecisionTreeClassifier(ccp_alpha=0.001875, random_state=0)",0.001875,0.90375,0.525,0.13503956540080583,273,23
"DecisionTreeClassifier(ccp_alpha=0.001875, random_state=0)",0.001875,0.90375,0.525,0.14253956540080584,273,23
"DecisionTreeClassifier(ccp_alpha=0.0018750000000000001, random_state=0)",0.0018750000000000001,0.90125,0.52,0.14441456540080583,269,23
"DecisionTreeClassifier(ccp_alpha=0.0018750000000000001, random_state=0)",0.0018750000000000001,0.90125,0.52,0.14628956540080582,269,23
"DecisionTreeClassifier(ccp_alpha=0.0018861607142857141, random_state=0)",0.0018861607142857141,0.89875,0.52,0.15006188682937724,265,23
"DecisionTreeClassifier(ccp_alpha=0.0019270833333333332, random_state=0)",0.0019270833333333332,0.89375,0.525,0.15777022016271058,257,23
"DecisionTreeClassifier(ccp_alpha=0.0019444444444444442, random_state=0)",0.0019444444444444442,0.89,0.525,0.1636035534960439,251,23
"DecisionTreeClassifier(ccp_alpha=0.0019444444444444446, random_state=0)",0.0019444444444444446,0.8875,0.525,0.1674924423849328,247,21
"DecisionTreeClassifier(ccp_alpha=0.0019653846153846136, random_state=0)",0.0019653846153846136,0.88625,0.525,0.16945782700031742,245,21
"DecisionTreeClassifier(ccp_alpha=0.00197802197802198, random_state=0)",0.00197802197802198,0.885,0.525,0.1714358489783394,243,21
"DecisionTreeClassifier(ccp_alpha=0.0019791666666666673, random_state=0)",0.0019791666666666673,0.88375,0.525,0.17341501564500608,241,21
"DecisionTreeClassifier(ccp_alpha=0.0019999999999999996, random_state=0)",0.0019999999999999996,0.87875,0.525,0.17541501564500608,233,21
"DecisionTreeClassifier(ccp_alpha=0.0019999999999999996, random_state=0)",0.0019999999999999996,0.87875,0.525,0.17741501564500609,233,21
"DecisionTreeClassifier(ccp_alpha=0.0019999999999999996, random_state=0)",0.0019999999999999996,0.87875,0.525,0.1794150156450061,233,21
"DecisionTreeClassifier(ccp_alpha=0.0019999999999999996, random_state=0)",0.0019999999999999996,0.87875,0.525,0.1814150156450061,233,21
"DecisionTreeClassifier(ccp_alpha=0.0020120967741935492, random_state=0)",0.0020120967741935492,0.87625,0.525,0.18543920919339318,229,21
"DecisionTreeClassifier(ccp_alpha=0.0020476190476190464, random_state=0)",0.0020476190476190464,0.875,0.525,0.18748682824101223,227,21
"DecisionTreeClassifier(ccp_alpha=0.0020500324886289795, random_state=0)",0.0020500324886289795,0.87125,0.525,0.19363692570689917,221,21
"DecisionTreeClassifier(ccp_alpha=0.0020833333333333333, random_state=0)",0.0020833333333333333,0.87,0.525,0.1957202590402325,219,21
"DecisionTreeClassifier(ccp_alpha=0.0021130952380952386, random_state=0)",0.0021130952380952386,0.8675,0.525,0.19994644951642296,215,21
"DecisionTreeClassifier(ccp_alpha=0.0021180555555555558, random_state=0)",0.0021180555555555558,0.85625,0.52,0.2126547828497563,203,21
"DecisionTreeClassifier(ccp_alpha=0.00212568058076225, random_state=0)",0.00212568058076225,0.8525,0.52,0.21903182459204307,197,21
