models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.999375,0.8535,0.001059981684981685,1369,35
"DecisionTreeClassifier(ccp_alpha=4.761904761904764e-06, random_state=0)",4.761904761904764e-06,0.999375,0.8535,0.0010647435897435898,1367,35
"DecisionTreeClassifier(ccp_alpha=1.111111111111099e-05, random_state=0)",1.111111111111099e-05,0.999375,0.8535,0.0010758547008547009,1365,35
"DecisionTreeClassifier(ccp_alpha=1.3420724094881313e-05, random_state=0)",1.3420724094881313e-05,0.999375,0.8535,0.0011161168731393448,1359,35
"DecisionTreeClassifier(ccp_alpha=4.2440318302387086e-05, random_state=0)",4.2440318302387086e-05,0.999375,0.8535,0.001158557191441732,1357,35
"DecisionTreeClassifier(ccp_alpha=4.9973474801061095e-05, random_state=0)",4.9973474801061095e-05,0.99925,0.8535,0.0014084245654470374,1347,35
"DecisionTreeClassifier(ccp_alpha=8.305462653288748e-05, random_state=0)",8.305462653288748e-05,0.999125,0.8535,0.0016575884450457,1341,35
"DecisionTreeClassifier(ccp_alpha=8.30753353973166e-05, random_state=0)",8.30753353973166e-05,0.999,0.8535,0.0019068144512376498,1335,35
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.998875,0.8535,0.002115147784570983,1331,35
"DecisionTreeClassifier(ccp_alpha=0.0001095571095571095, random_state=0)",0.0001095571095571095,0.998375,0.854,0.003101161770584969,1313,35
"DecisionTreeClassifier(ccp_alpha=0.0001102941176470588, random_state=0)",0.0001102941176470588,0.998125,0.854,0.003542338241173204,1305,35
"DecisionTreeClassifier(ccp_alpha=0.00011363636363636365, random_state=0)",0.00011363636363636365,0.99775,0.854,0.0037696109684459316,1293,35
"DecisionTreeClassifier(ccp_alpha=0.00011363636363636365, random_state=0)",0.00011363636363636365,0.99775,0.854,0.003996883695718659,1293,35
"DecisionTreeClassifier(ccp_alpha=0.00011363636363636365, random_state=0)",0.00011363636363636365,0.99775,0.854,0.004224156422991386,1293,35
"DecisionTreeClassifier(ccp_alpha=0.00011458333333333334, random_state=0)",0.00011458333333333334,0.99725,0.854,0.004453323089658052,1277,35
"DecisionTreeClassifier(ccp_alpha=0.00011458333333333334, random_state=0)",0.00011458333333333334,0.99725,0.854,0.004682489756324719,1277,35
"DecisionTreeClassifier(ccp_alpha=0.00011458333333333334, random_state=0)",0.00011458333333333334,0.99725,0.854,0.005140823089658052,1277,35
